Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,190.879205,[  7 113] ; [412 149],[73.83259912 46.16740088] ; [345.16740088 215.83259912],1
d4,1,0.0,131.523056,[54 65] ; [503  57],[97.6185567 21.3814433] ; [459.3814433 100.6185567],1
d3,1,0.0,53.455519,[49 70] ; [422 139],[82.425 36.575] ; [388.575 172.425],1
d2,1,0.0,42.340518,[31 89] ; [326 231],[63.27917282 56.72082718] ; [293.72082718 263.27917282],1
a3,1,0.0,41.156521,[60 58] ; [443 116],[87.67208272 30.32791728] ; [415.32791728 143.67208272],1
a4,1,0.0,38.808685,[27 90] ; [306 253],[57.63461538 59.36538462] ; [275.36538462 283.63461538],1
a5,1,0.0,34.280128,[68 51] ; [459 102],[92.225 26.775] ; [434.775 126.225],1
a2,1,0.0,26.849088,[  9 111] ; [171 390],[31.71806167 88.28193833] ; [148.28193833 412.71806167],1
u1,1,1e-06,25.228411,[  4 116] ; [132 429],[23.96475771 96.03524229] ; [112.03524229 448.96475771],1
p2,1,2e-06,23.044916,[81 37] ; [482  74],[98.56676558 19.43323442] ; [464.43323442  91.56676558],1
r3,1,0.000108,14.992997,[105  15] ; [537  21],[113.62831858   6.37168142] ; [528.37168142  29.62831858],1
p4,1,0.000316,12.970942,[55 62] ; [361 196],[72.21364985 44.78635015] ; [343.78635015 213.21364985],1
s8,1,0.000363,12.713997,[37 81] ; [275 282],[54.54222222 63.45777778] ; [257.45777778 299.54222222],1
p1,1,0.001604,9.954964,[21 97] ; [ 46 512],[ 11.69526627 106.30473373] ; [ 55.30473373 502.69526627],0
p7,1,0.001903,9.640761,[60 57] ; [363 183],[74.64705882 42.35294118] ; [348.35294118 197.64705882],0
p9,1,0.005808,7.608886,[88 28] ; [477  77],[97.82089552 18.17910448] ; [467.17910448  86.82089552],0
p10,1,0.005947,7.566409,[85 31] ; [468  89],[95.31649331 20.68350669] ; [457.68350669  99.31649331],0
a7,1,0.008813,6.860435,[74 45] ; [414 145],[85.6519174 33.3480826] ; [402.3480826 156.6519174],0
v2,1,0.013112,6.153888,[53 61] ; [320 221],[64.91908397 49.08091603] ; [308.08091603 232.91908397],0
s6,1,0.021707,5.269084,[68 48] ; [380 166],[78.50151057 37.49848943] ; [369.49848943 176.50151057],0
s2,1,0.03636,4.380163,[50 66] ; [299 257],[60.24404762 55.75595238] ; [288.75595238 267.24404762],0
r1,1,0.039831,4.225079,[93 27] ; [475  83],[100.53097345  19.46902655] ; [467.46902655  90.53097345],0
p3,1,0.051651,3.787029,[53 65] ; [305 252],[62.5837037 55.4162963] ; [295.4162963 261.5837037],0
v1,1,0.057201,3.616737,[57 60] ; [319 228],[66.25301205 50.74698795] ; [309.74698795 237.25301205],0
r4,1,0.061199,3.504591,[107  13] ; [527  34],[111.71806167   8.28193833] ; [522.28193833  38.71806167],0
n6,1,0.068482,3.319047,[100  20] ; [498  60],[105.84070796  14.15929204] ; [492.15929204  65.84070796],0
