Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000765,11.324696,[44 87] ; [19  9],[51.90566038 79.09433962] ; [11.09433962 16.90566038],1
s8,1,0.002803,8.931419,[35 98] ; [15 12],[41.5625 91.4375] ; [ 8.4375 18.5625],0
s6,1,0.003119,8.736404,[61 70] ; [21  6],[67.98734177 63.01265823] ; [14.01265823 12.98734177],0
s7,1,0.005586,7.679247,[45 80] ; [17  9],[51.32450331 73.67549669] ; [10.67549669 15.32450331],0
p4,1,0.029504,4.737978,[38 94] ; [14 14],[42.9 89.1] ; [ 9.1 18.9],0
p9,1,0.04212,4.130378,[80 49] ; [23  5],[84.63057325 44.36942675] ; [18.36942675  9.63057325],0
r2,1,0.062236,3.476785,[109  23] ; [27  1],[112.2  19.8] ; [23.8  4.2],0
r3,1,0.063227,3.450645,[103  30] ; [26  2],[106.56521739  26.43478261] ; [22.43478261  5.56521739],0
p3,1,0.084632,2.973621,[35 97] ; [12 16],[38.775 93.225] ; [ 8.225 19.775],0
p11,1,0.11803,2.44327,[84 49] ; [22  6],[87.56521739 45.43478261] ; [18.43478261  9.56521739],0
u1,1,0.123736,2.369378,[  5 128] ; [ 3 25],[  6.60869565 126.39130435] ; [ 1.39130435 26.60869565],0
s2,1,0.132346,2.264767,[50 81] ; [15 13],[53.55345912 77.44654088] ; [11.44654088 16.55345912],0
b5,1,0.137991,2.200226,[65 68] ; [18 10],[68.56521739 64.43478261] ; [14.43478261 13.56521739],0
n6,1,0.154539,2.026868,[90 41] ; [23  5],[93.10062893 37.89937107] ; [19.89937107  8.10062893],0
p2,1,0.174128,1.847042,[76 56] ; [20  8],[79.2 52.8] ; [16.8 11.2],0
v2,1,0.197021,1.664317,[44 82] ; [13 14],[46.94117647 79.05882353] ; [10.05882353 16.94117647],0
a6,1,0.207495,1.588816,[60 73] ; [ 9 19],[57. 76.] ; [12. 16.],0
v4,1,0.22441,1.475945,[104  27] ; [25  3],[106.28301887  24.71698113] ; [22.71698113  5.28301887],0
d5,1,0.231775,1.429934,[84 49] ; [21  7],[86.73913043 46.26086957] ; [18.26086957  9.73913043],0
b3,1,0.320122,0.98845,[36 53] ; [11 10],[38.02727273 50.97272727] ; [ 8.97272727 12.02727273],0
b2,1,0.320122,0.98845,[36 53] ; [11 10],[38.02727273 50.97272727] ; [ 8.97272727 12.02727273],0
d3,1,0.32925,0.951846,[51 82] ; [ 8 20],[48.73913043 84.26086957] ; [10.26086957 17.73913043],0
s5,1,0.349058,0.87688,[34 93] ; [ 9 16],[35.92763158 91.07236842] ; [ 7.07236842 17.92763158],0
p1,1,0.370367,0.802432,[  8 125] ; [ 3 25],[  9.08695652 123.91304348] ; [ 1.91304348 26.08695652],0
n4,1,0.390064,0.738742,[88 44] ; [21  7],[89.925 42.075] ; [19.075  8.925],0
r4,1,0.403386,0.69821,[89 44] ; [21  7],[90.86956522 42.13043478] ; [19.13043478  8.86956522],0
s4,1,0.478625,0.501996,[ 22 111] ; [ 3 24],[ 20.78125 112.21875] ; [ 4.21875 22.78125],0
n3,1,0.498404,0.458333,[37 17] ; [7 5],[36. 18.] ; [8. 4.],0
p10,1,0.535355,0.384217,[74 57] ; [17 10],[75.44936709 55.55063291] ; [15.55063291 11.44936709],0
a1,1,0.572689,0.318204,[ 10 123] ; [ 3 25],[ 10.73913043 122.26086957] ; [ 2.26086957 25.73913043],0
v3,1,0.579483,0.307071,[35 90] ; [ 9 18],[36.18421053 88.81578947] ; [ 7.81578947 19.18421053],0
a4,1,0.584529,0.29897,[56 76] ; [13 14],[57.28301887 74.71698113] ; [11.71698113 15.28301887],0
p5,1,0.592788,0.286011,[  8 122] ; [ 1 27],[  7.40506329 122.59493671] ; [ 1.59493671 26.40506329],0
