Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.5e-05,18.776047,[ 1 15] ; [45 23],[8.76190476 7.23809524] ; [37.23809524 30.76190476],1
v4,1,0.002768,8.954385,[ 6 10] ; [51 16],[10.98795181  5.01204819] ; [46.01204819 20.98795181],0
r1,1,0.003347,8.607962,[ 5 11] ; [48 20],[10.0952381  5.9047619] ; [42.9047619 25.0952381],0
r3,1,0.004399,8.111434,[ 6 10] ; [50 17],[10.79518072  5.20481928] ; [45.20481928 21.79518072],0
d3,1,0.009549,6.71712,[ 5 11] ; [44 22],[9.56097561 6.43902439] ; [39.43902439 26.56097561],0
s6,1,0.017164,5.679569,[ 2 14] ; [30 37],[6.1686747 9.8313253] ; [25.8313253 41.1686747],0
s2,1,0.039458,4.241047,[ 2 14] ; [27 41],[ 5.52380952 10.47619048] ; [23.47619048 44.52380952],0
a6,1,0.062437,3.471432,[7 9] ; [46 21],[10.21686747  5.78313253] ; [42.78313253 24.21686747],0
d2,1,0.063286,3.449097,[ 4 12] ; [34 33],[7.3253012 8.6746988] ; [30.6746988 36.3253012],0
p9,1,0.102426,2.667356,[ 4 11] ; [32 32],[6.83544304 8.16455696] ; [29.16455696 34.83544304],0
p8,1,0.103279,2.654168,[ 1 14] ; [17 48],[ 3.375 11.625] ; [14.625 50.375],0
s7,1,0.107726,2.587268,[ 1 12] ; [18 44],[3.29333333 9.70666667] ; [15.70666667 46.29333333],0
d1,1,0.108665,2.573529,[ 4 12] ; [32 36],[6.85714286 9.14285714] ; [29.14285714 38.85714286],0
a5,1,0.12311,2.377305,[ 6 10] ; [40 28],[8.76190476 7.23809524] ; [37.23809524 30.76190476],0
p2,1,0.131147,2.278872,[ 5 11] ; [35 32],[7.71084337 8.28915663] ; [32.28915663 34.71084337],0
s5,1,0.133279,2.253892,[ 1 15] ; [14 47],[ 3.11688312 12.88311688] ; [11.88311688 49.11688312],0
p3,1,0.133463,2.251753,[ 2 13] ; [22 45],[ 4.3902439 10.6097561] ; [19.6097561 47.3902439],0
v3,1,0.157819,1.995,[ 2 14] ; [18 42],[ 4.21052632 11.78947368] ; [15.78947368 44.21052632],0
n3,1,0.182782,1.774859,[4 5] ; [20  9],[5.68421053 3.31578947] ; [18.31578947 10.68421053],0
n2,1,0.190891,1.710728,[3 6] ; [18 13],[4.725 4.275] ; [16.275 14.725],0
a3,1,0.193854,1.688082,[7 8] ; [44 24],[9.21686747 5.78313253] ; [41.78313253 26.21686747],0
d5,1,0.233019,1.422339,[9 7] ; [48 19],[10.98795181  5.01204819] ; [46.01204819 20.98795181],0
u3,1,0.238185,1.391304,[3 6] ; [13 10],[4.5 4.5] ; [11.5 11.5],0
b1,1,0.251774,1.313432,[11  5] ; [36 32],[8.95238095 7.04761905] ; [38.04761905 29.95238095],0
s3,1,0.284964,1.143261,[ 5 10] ; [33 35],[6.86746988 8.13253012] ; [31.13253012 36.86746988],0
v1,1,0.320174,0.988235,[ 4 12] ; [26 42],[ 5.71428571 10.28571429] ; [24.28571429 43.71428571],0
a2,1,0.391864,0.733151,[ 2 14] ; [15 53],[ 3.23809524 12.76190476] ; [13.76190476 54.23809524],0
v2,1,0.406957,0.687673,[ 4 11] ; [24 39],[5.38461538 9.61538462] ; [22.61538462 40.38461538],0
a7,1,0.455924,0.555882,[9 7] ; [45 23],[10.28571429  5.71428571] ; [43.71428571 24.28571429],0
s4,1,0.534039,0.386701,[ 2 14] ; [13 55],[ 2.85714286 13.14285714] ; [12.14285714 55.85714286],0
b5,1,0.578403,0.308824,[7 9] ; [35 33],[8. 8.] ; [34. 34.],0
p1,1,0.62002,0.24584,[ 1 15] ; [ 7 61],[ 1.52380952 14.47619048] ; [ 6.47619048 61.52380952],0
p6,1,0.63752,0.222,[ 2 13] ; [12 53],[ 2.625 12.375] ; [11.375 53.625],0
a1,1,0.652171,0.203173,[ 2 14] ; [ 6 62],[ 1.52380952 14.47619048] ; [ 6.47619048 61.52380952],0
s1,1,0.665983,0.186337,[ 2 14] ; [ 6 61],[ 1.54216867 14.45783133] ; [ 6.45783133 60.54216867],0
n5,1,0.673828,0.177157,[ 6 10] ; [29 38],[6.74698795 9.25301205] ; [28.25301205 38.74698795],0
p7,1,0.693082,0.155769,[ 6 10] ; [21 44],[ 5.33333333 10.66666667] ; [21.66666667 43.33333333],0
a8,1,0.694583,0.154169,[ 2 14] ; [ 6 59],[ 1.58024691 14.41975309] ; [ 6.41975309 58.58024691],0
a4,1,0.707114,0.141176,[ 6 10] ; [29 39],[6.66666667 9.33333333] ; [28.33333333 39.66666667],0
d4,1,0.750703,0.100941,[11  5] ; [48 18],[11.51219512  4.48780488] ; [47.48780488 18.51219512],0
p4,1,0.787428,0.072713,[ 4 12] ; [19 48],[ 4.43373494 11.56626506] ; [18.56626506 48.43373494],0
b3,1,0.793866,0.068275,[3 8] ; [11 24],[3.34782609 7.65217391] ; [10.65217391 24.34782609],0
b2,1,0.793866,0.068275,[3 8] ; [11 24],[3.34782609 7.65217391] ; [10.65217391 24.34782609],0
