Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.012569,6.228803,[7 1] ; [17 26],[3.76470588 4.23529412] ; [20.23529412 22.76470588],0
n1,1,0.045466,4.001277,[1 7] ; [18 17],[3.53488372 4.46511628] ; [15.46511628 19.53488372],0
d3,1,0.056737,3.630296,[17  7] ; [60 61],[12.74482759 11.25517241] ; [64.25517241 56.74482759],0
p10,1,0.091337,2.850658,[13 10] ; [88 31],[16.35915493  6.64084507] ; [84.64084507 34.35915493],0
p4,1,0.119523,2.42356,[ 8 15] ; [63 57],[11.41958042 11.58041958] ; [59.58041958 60.41958042],0
a7,1,0.122315,2.387425,[17  7] ; [65 56],[13.57241379 10.42758621] ; [68.42758621 52.57241379],0
d4,1,0.145926,2.114328,[20  4] ; [83 38],[17.04827586  6.95172414] ; [85.95172414 35.04827586],0
p8,1,0.15242,2.047859,[ 6 17] ; [50 69],[ 9.07042254 13.92957746] ; [46.92957746 72.07042254],0
b5,1,0.152944,2.042637,[18  6] ; [72 49],[14.89655172  9.10344828] ; [75.10344828 45.89655172],0
p6,1,0.170422,1.879227,[ 4 17] ; [40 77],[ 6.69565217 14.30434783] ; [37.30434783 79.69565217],0
p9,1,0.193218,1.692905,[16  7] ; [97 22],[18.3028169  4.6971831] ; [94.6971831 24.3028169],0
s1,1,0.263138,1.252174,[ 2 22] ; [  4 116],[ 1. 23.] ; [  5. 115.],0
p1,1,0.276619,1.183624,[ 1 23] ; [ 14 107],[ 2.48275862 21.51724138] ; [ 12.51724138 108.48275862],0
s4,1,0.306616,1.045195,[ 2 22] ; [ 20 101],[ 3.64137931 20.35862069] ; [ 18.35862069 102.64137931],0
b1,1,0.34789,0.881138,[12 12] ; [48 73],[ 9.93103448 14.06896552] ; [50.06896552 70.93103448],0
n3,1,0.366701,0.814815,[7 1] ; [26 10],[6. 2.] ; [27.  9.],0
v1,1,0.374269,0.789442,[ 8 15] ; [52 64],[ 9.92805755 13.07194245] ; [50.07194245 65.92805755],0
a5,1,0.388925,0.742302,[12 12] ; [72 49],[13.90344828 10.09655172] ; [70.09655172 50.90344828],0
n6,1,0.390154,0.738462,[18  6] ; [99 21],[19.5  4.5] ; [97.5 22.5],0
a4,1,0.395313,0.722538,[ 7 17] ; [46 74],[ 8.83333333 15.16666667] ; [44.16666667 75.83333333],0
b4,1,0.421937,0.644913,[16  8] ; [70 51],[14.23448276  9.76551724] ; [71.76551724 49.23448276],0
s7,1,0.553276,0.35148,[ 8 16] ; [45 68],[ 9.28467153 14.71532847] ; [43.71532847 69.28467153],0
a8,1,0.553766,0.350614,[ 2 21] ; [15 99],[ 2.8540146 20.1459854] ; [14.1459854 99.8540146],0
p5,1,0.563613,0.333488,[ 2 22] ; [ 15 105],[ 2.83333333 21.16666667] ; [ 14.16666667 105.83333333],0
v3,1,0.563949,0.332912,[ 7 17] ; [42 77],[ 8.22377622 15.77622378] ; [40.77622378 78.22377622],0
s6,1,0.573625,0.316655,[11 13] ; [61 56],[12.25531915 11.74468085] ; [59.74468085 57.25531915],0
s3,1,0.605227,0.267184,[11 10] ; [56 65],[ 9.9084507 11.0915493] ; [57.0915493 63.9084507],0
u1,1,0.636473,0.223385,[ 2 22] ; [  7 114],[ 1.48965517 22.51034483] ; [  7.51034483 113.48965517],0
v2,1,0.643354,0.214383,[12 12] ; [52 64],[10.97142857 13.02857143] ; [53.02857143 62.97142857],0
p12,1,0.651962,0.203435,[ 2 22] ; [  7 112],[ 1.51048951 22.48951049] ; [  7.48951049 111.51048951],0
r2,1,0.663146,0.189725,[16  5] ; [94 23],[16.73913043  4.26086957] ; [93.26086957 23.73913043],0
a6,1,0.672726,0.17843,[15  9] ; [70 51],[14.06896552  9.93103448] ; [70.93103448 50.06896552],0
d5,1,0.696459,0.152182,[18  6] ; [86 35],[17.2137931  6.7862069] ; [86.7862069 34.2137931],0
u3,1,0.700717,0.147727,[2 6] ; [14 30],[2.46153846 5.53846154] ; [13.53846154 30.46153846],0
d2,1,0.73791,0.111972,[ 9 15] ; [49 70],[ 9.73426573 14.26573427] ; [48.26573427 70.73426573],0
s5,1,0.753245,0.098825,[ 4 17] ; [25 88],[ 4.54477612 16.45522388] ; [24.45522388 88.54477612],0
a3,1,0.777357,0.079956,[16  8] ; [77 44],[15.39310345  8.60689655] ; [77.60689655 43.39310345],0
d1,1,0.789545,0.071237,[10 14] ; [54 67],[10.59310345 13.40689655] ; [53.40689655 67.59310345],0
s8,1,0.828584,0.04688,[ 7 17] ; [38 83],[ 7.44827586 16.55172414] ; [37.55172414 83.44827586],0
s2,1,0.842444,0.039509,[ 9 15] ; [48 73],[ 9.43448276 14.56551724] ; [47.56551724 73.43448276],0
p3,1,0.880346,0.022659,[10 14] ; [52 68],[10.33333333 13.66666667] ; [51.66666667 68.33333333],0
p2,1,0.886345,0.020429,[17  7] ; [86 33],[17.28671329  6.71328671] ; [85.71328671 33.28671329],0
a1,1,0.905535,0.014083,[ 2 22] ; [ 11 110],[ 2.15172414 21.84827586] ; [ 10.84827586 110.15172414],0
p11,1,0.915518,0.011253,[17  7] ; [87 34],[17.2137931  6.7862069] ; [86.7862069 34.2137931],0
r3,1,0.92596,0.008636,[19  5] ; [96 24],[19.16666667  4.83333333] ; [95.83333333 24.16666667],0
v4,1,0.92596,0.008636,[19  5] ; [96 24],[19.16666667  4.83333333] ; [95.83333333 24.16666667],0
b3,1,0.933802,0.006899,[ 6 11] ; [28 49],[ 6.14893617 10.85106383] ; [27.85106383 49.14893617],0
b2,1,0.933802,0.006899,[ 6 11] ; [28 49],[ 6.14893617 10.85106383] ; [27.85106383 49.14893617],0
p7,1,0.940578,0.005557,[12 12] ; [61 59],[12.16666667 11.83333333] ; [60.83333333 59.16666667],0
r4,1,0.975039,0.000979,[14 10] ; [71 50],[14.06896552  9.93103448] ; [70.93103448 50.06896552],0
a2,1,0.988813,0.000197,[ 3 21] ; [ 15 106],[ 2.97931034 21.02068966] ; [ 15.02068966 105.97931034],0
n2,1,1.0,0.0,[6 2] ; [27  9],[6. 2.] ; [27.  9.],0
