Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,27.188811,[22  4] ; [ 2 20],[13. 13.] ; [11. 11.],1
p11,1,0.000109,14.966367,[18  8] ; [ 3 19],[11.375 14.625] ; [ 9.625 12.375],1
r3,1,0.000275,13.230837,[21  4] ; [ 7 15],[14.89361702 10.10638298] ; [13.10638298  8.89361702],1
p2,1,0.000608,11.750157,[17  8] ; [ 4 18],[11.17021277 13.82978723] ; [ 9.82978723 12.17021277],1
n6,1,0.003723,8.41421,[20  5] ; [ 8 13],[15.2173913  9.7826087] ; [12.7826087  8.2173913],0
p7,1,0.007748,7.090909,[13 13] ; [ 3 19],[ 8.66666667 17.33333333] ; [ 7.33333333 14.66666667],0
p6,1,0.010511,6.546116,[ 9 16] ; [ 1 20],[ 5.43478261 19.56521739] ; [ 4.56521739 16.43478261],0
n3,1,0.010566,6.536905,[6 1] ; [3 9],[3.31578947 3.68421053] ; [5.68421053 6.31578947],0
a5,1,0.011015,6.462909,[20  6] ; [ 9 13],[15.70833333 10.29166667] ; [13.29166667  8.70833333],0
v2,1,0.028043,4.825403,[14 12] ; [ 5 17],[10.29166667 15.70833333] ; [ 8.70833333 13.29166667],0
s8,1,0.036045,4.394976,[ 9 17] ; [ 2 20],[ 5.95833333 20.04166667] ; [ 5.04166667 16.95833333],0
p8,1,0.038191,4.296503,[ 7 19] ; [ 1 21],[ 4.33333333 21.66666667] ; [ 3.66666667 18.33333333],0
p4,1,0.040524,4.195804,[12 14] ; [ 4 18],[ 8.66666667 17.33333333] ; [ 7.33333333 14.66666667],0
s6,1,0.100255,2.701484,[11 13] ; [ 5 17],[ 8.34782609 15.65217391] ; [ 7.65217391 14.34782609],0
n2,1,0.108664,2.573545,[5 2] ; [4 8],[3.31578947 3.68421053] ; [5.68421053 6.31578947],0
p5,1,0.125311,2.34965,[ 5 21] ; [ 1 21],[ 3.25 22.75] ; [ 2.75 19.25],0
r4,1,0.151613,2.055944,[11 15] ; [ 5 17],[ 8.66666667 17.33333333] ; [ 7.33333333 14.66666667],0
s5,1,0.155022,2.022129,[ 6 18] ; [ 2 20],[ 4.17391304 19.82608696] ; [ 3.82608696 18.17391304],0
n5,1,0.164046,1.936525,[23  3] ; [16  6],[21.125  4.875] ; [17.875  4.125],0
n1,1,0.210096,1.570767,[5 2] ; [5 7],[3.68421053 3.31578947] ; [6.31578947 5.68421053],0
u3,1,0.21289,1.551667,[3 6] ; [1 9],[1.89473684 7.10526316] ; [2.10526316 7.89473684],0
p3,1,0.241268,1.373172,[10 16] ; [ 5 17],[ 8.125 17.875] ; [ 6.875 15.125],0
v1,1,0.241268,1.373172,[10 16] ; [ 5 17],[ 8.125 17.875] ; [ 6.875 15.125],0
b5,1,0.246566,1.342657,[15 11] ; [ 9 13],[13. 13.] ; [11. 11.],0
d3,1,0.265139,1.241723,[10 16] ; [12 10],[11.91666667 14.08333333] ; [10.08333333 11.91666667],0
s7,1,0.297264,1.086429,[ 7 18] ; [ 3 17],[ 5.55555556 19.44444444] ; [ 4.44444444 15.55555556],0
r2,1,0.314267,1.012658,[13 12] ; [14  7],[14.67391304 10.32608696] ; [12.32608696  8.67391304],0
a8,1,0.367583,0.811818,[ 6 19] ; [ 3 19],[ 4.78723404 20.21276596] ; [ 4.21276596 17.78723404],0
s3,1,0.37324,0.792848,[12 14] ; [ 7 14],[10.5106383 15.4893617] ; [ 8.4893617 12.5106383],0
v3,1,0.472787,0.515455,[ 7 19] ; [ 4 18],[ 5.95833333 20.04166667] ; [ 5.04166667 16.95833333],0
a4,1,0.476845,0.506071,[10 16] ; [ 6 15],[ 8.85106383 17.14893617] ; [ 7.14893617 13.85106383],0
d5,1,0.481997,0.494342,[19  7] ; [14  8],[17.875  8.125] ; [15.125  6.875],0
d2,1,0.491407,0.473443,[15 11] ; [10 11],[13.82978723 12.17021277] ; [11.17021277  9.82978723],0
s4,1,0.501768,0.451195,[ 2 24] ; [ 3 19],[ 2.70833333 23.29166667] ; [ 2.29166667 19.70833333],0
s1,1,0.501768,0.451195,[ 2 24] ; [ 3 19],[ 2.70833333 23.29166667] ; [ 2.29166667 19.70833333],0
u2,1,0.509893,0.434286,[3 6] ; [2 8],[2.36842105 6.63157895] ; [2.63157895 7.36842105],0
a2,1,0.51122,0.431568,[ 4 22] ; [ 2 20],[ 3.25 22.75] ; [ 2.75 19.25],0
a1,1,0.515835,0.422212,[ 3 23] ; [ 4 18],[ 3.79166667 22.20833333] ; [ 3.20833333 18.79166667],0
s2,1,0.532165,0.390256,[ 8 18] ; [ 5 17],[ 7.04166667 18.95833333] ; [ 5.95833333 16.04166667],0
a3,1,0.563352,0.333933,[17  9] ; [12  9],[16.04255319  9.95744681] ; [12.95744681  8.04255319],0
d1,1,0.624379,0.23976,[10 16] ; [10 12],[10.83333333 15.16666667] ; [ 9.16666667 12.83333333],0
b2,1,0.625444,0.23829,[ 7 11] ; [8 9],[ 7.71428571 10.28571429] ; [7.28571429 9.71428571],0
b3,1,0.625444,0.23829,[ 7 11] ; [8 9],[ 7.71428571 10.28571429] ; [7.28571429 9.71428571],0
p12,1,0.62879,0.233705,[ 2 23] ; [ 1 21],[ 1.59574468 23.40425532] ; [ 1.40425532 20.59574468],0
b4,1,0.653594,0.201399,[17  9] ; [13  9],[16.25  9.75] ; [13.75  8.25],0
d4,1,0.682046,0.167832,[18  8] ; [14  8],[17.33333333  8.66666667] ; [14.66666667  7.33333333],0
p1,1,0.826666,0.047952,[ 3 23] ; [ 3 19],[ 3.25 22.75] ; [ 2.75 19.25],0
r1,1,0.826666,0.047952,[11 15] ; [10 12],[11.375 14.625] ; [ 9.625 12.375],0
b1,1,0.86283,0.02985,[16 10] ; [13  9],[15.70833333 10.29166667] ; [13.29166667  8.70833333],0
a7,1,0.961358,0.002347,[12 14] ; [10 12],[11.91666667 14.08333333] ; [10.08333333 11.91666667],0
a6,1,1.0,0.0,[13 13] ; [11 11],[13. 13.] ; [11. 11.],0
