Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3.4e-05,17.162573,[30  1] ; [3 5],[26.23076923  4.76923077] ; [6.76923077 1.23076923],1
s7,1,0.039004,4.260694,[22  5] ; [3 4],[19.85294118  7.14705882] ; [5.14705882 1.85294118],0
b1,1,0.046697,3.95626,[16 15] ; [1 7],[13.51282051 17.48717949] ; [3.48717949 4.51282051],0
b5,1,0.065796,3.384894,[15 16] ; [1 7],[12.71794872 18.28205128] ; [3.28205128 4.71794872],0
a7,1,0.121773,2.394366,[18 13] ; [7 1],[19.87179487 11.12820513] ; [5.12820513 2.87179487],0
v1,1,0.160902,1.965726,[12 19] ; [1 7],[10.33333333 20.66666667] ; [2.66666667 5.33333333],0
p6,1,0.178243,1.812212,[16 15] ; [2 6],[14.30769231 16.69230769] ; [3.69230769 4.30769231],0
p3,1,0.178243,1.812212,[16 15] ; [2 6],[14.30769231 16.69230769] ; [3.69230769 4.30769231],0
a5,1,0.226346,1.463677,[19 12] ; [3 5],[17.48717949 13.51282051] ; [4.51282051 3.48717949],0
d3,1,0.339702,0.911555,[ 9 22] ; [1 7],[ 7.94871795 23.05128205] ; [2.05128205 5.94871795],0
p5,1,0.343641,0.896802,[10 21] ; [1 6],[ 8.97368421 22.02631579] ; [2.02631579 4.97368421],0
s8,1,0.426135,0.633333,[16 14] ; [3 5],[15. 15.] ; [4. 4.],0
u2,1,0.435488,0.608144,[7 8] ; [1 3],[6.31578947 8.68421053] ; [1.68421053 2.31578947],0
s6,1,0.446459,0.579626,[25  4] ; [6 2],[24.2972973  4.7027027] ; [6.7027027 1.2972973],0
s2,1,0.451801,0.566129,[20 11] ; [4 4],[19.07692308 11.92307692] ; [4.92307692 3.07692308],0
p11,1,0.528998,0.396316,[24  7] ; [7 1],[24.64102564  6.35897436] ; [6.35897436 1.64102564],0
a6,1,0.581831,0.303283,[16 15] ; [5 3],[16.69230769 14.30769231] ; [4.30769231 3.69230769],0
p2,1,0.589032,0.291859,[25  6] ; [5 2],[24.47368421  6.52631579] ; [5.52631579 1.47368421],0
s3,1,0.610745,0.259091,[18 12] ; [4 4],[17.36842105 12.63157895] ; [4.63157895 3.36842105],0
p9,1,0.626814,0.236406,[24  6] ; [7 1],[24.47368421  5.52631579] ; [6.52631579 1.47368421],0
p1,1,0.626814,0.236406,[ 7 24] ; [1 6],[ 6.52631579 24.47368421] ; [1.47368421 5.52631579],0
s4,1,0.643615,0.214046,[ 9 22] ; [3 5],[ 9.53846154 21.46153846] ; [2.46153846 5.53846154],0
p4,1,0.681725,0.16819,[18 13] ; [4 4],[17.48717949 13.51282051] ; [4.51282051 3.48717949],0
d5,1,0.681725,0.16819,[13 18] ; [4 4],[13.51282051 17.48717949] ; [3.48717949 4.51282051],0
r1,1,0.724433,0.124285,[25  6] ; [6 2],[24.64102564  6.35897436] ; [6.35897436 1.64102564],0
a8,1,0.765875,0.08867,[ 3 26] ; [1 6],[ 3.22222222 25.77777778] ; [0.77777778 6.22222222],0
p12,1,0.814514,0.05504,[ 3 28] ; [1 7],[ 3.17948718 27.82051282] ; [0.82051282 7.17948718],0
d2,1,0.821233,0.051058,[ 9 22] ; [2 6],[ 8.74358974 22.25641026] ; [2.25641026 5.74358974],0
p8,1,0.825309,0.048718,[20 10] ; [5 3],[19.73684211 10.26315789] ; [5.26315789 2.73684211],0
b2,1,0.828812,0.046753,[6 9] ; [1 2],[5.83333333 9.16666667] ; [1.16666667 1.83333333],0
b3,1,0.828812,0.046753,[6 9] ; [1 2],[5.83333333 9.16666667] ; [1.16666667 1.83333333],0
v2,1,0.866761,0.028148,[16 14] ; [4 4],[15.78947368 14.21052632] ; [4.21052632 3.78947368],0
p7,1,0.880726,0.022515,[23  8] ; [5 2],[22.84210526  8.15789474] ; [5.15789474 1.84210526],0
u3,1,0.905565,0.014074,[8 7] ; [2 2],[7.89473684 7.10526316] ; [2.10526316 1.89473684],0
v3,1,0.911824,0.012263,[14 17] ; [3 4],[13.86842105 17.13157895] ; [3.13157895 3.86842105],0
a3,1,0.935146,0.006621,[16 15] ; [4 4],[15.8974359 15.1025641] ; [4.1025641 3.8974359],0
b4,1,0.950004,0.003931,[19 12] ; [5 3],[19.07692308 11.92307692] ; [4.92307692 3.07692308],0
a4,1,0.962853,0.002169,[ 8 23] ; [2 6],[ 7.94871795 23.05128205] ; [2.05128205 5.94871795],0
r4,1,0.975736,0.000925,[27  4] ; [7 1],[27.02564103  3.97435897] ; [6.97435897 1.02564103],0
n1,1,1.0,0.0,[5 5] ; [1 1],[5. 5.] ; [1. 1.],0
