Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,28.393448,[16 21] ; [81 11],[27.82170543  9.17829457] ; [69.17829457 22.82170543],1
s3,1,0.003847,8.354825,[15 22] ; [62 29],[22.2578125 14.7421875] ; [54.7421875 36.2578125],0
n6,1,0.00464,8.014625,[26 11] ; [83  9],[31.26356589  5.73643411] ; [77.73643411 14.26356589],0
p9,1,0.015205,5.892566,[26 11] ; [81 11],[30.68992248  6.31007752] ; [76.31007752 15.68992248],0
b3,1,0.037667,4.320001,[ 6 17] ; [27 25],[10.12 12.88] ; [22.88 29.12],0
b2,1,0.037667,4.320001,[ 6 17] ; [27 25],[10.12 12.88] ; [22.88 29.12],0
p2,1,0.043964,4.057954,[29  8] ; [84  8],[32.41085271  4.58914729] ; [80.58914729 11.41085271],0
p4,1,0.060509,3.523374,[23 14] ; [72 20],[27.24806202  9.75193798] ; [67.75193798 24.24806202],0
u2,1,0.092696,2.826923,[11  2] ; [15 11],[8.66666667 4.33333333] ; [17.33333333  8.66666667],0
s2,1,0.106208,2.609756,[17 20] ; [56 35],[21.1015625 15.8984375] ; [51.8984375 39.1015625],0
u3,1,0.107102,2.596467,[10  3] ; [13 13],[7.66666667 5.33333333] ; [15.33333333 10.66666667],0
v3,1,0.140305,2.174606,[ 6 30] ; [27 65],[ 9.28125 26.71875] ; [23.71875 68.28125],0
p5,1,0.141077,2.166173,[ 3 34] ; [17 75],[ 5.73643411 31.26356589] ; [14.26356589 77.73643411],0
s6,1,0.143863,2.136142,[22 15] ; [64 24],[25.456 11.544] ; [60.544 27.456],0
p10,1,0.156692,2.005862,[25 12] ; [73 19],[28.10852713  8.89147287] ; [69.89147287 22.10852713],0
s7,1,0.162786,1.948157,[17 19] ; [53 34],[20.48780488 15.51219512] ; [49.51219512 37.48780488],0
p8,1,0.192955,1.694908,[20 17] ; [61 31],[23.23255814 13.76744186] ; [57.76744186 34.23255814],0
s4,1,0.196093,1.671235,[13 24] ; [21 67],[10.064 26.936] ; [23.936 64.064],0
s8,1,0.210277,1.569519,[13 24] ; [43 48],[16.1875 20.8125] ; [39.8125 51.1875],0
d3,1,0.223997,1.478578,[27  9] ; [58 33],[24.09448819 11.90551181] ; [60.90551181 30.09448819],0
p1,1,0.224334,1.476431,[ 3 34] ; [15 77],[ 5.1627907 31.8372093] ; [12.8372093 79.1627907],0
r1,1,0.245757,1.347265,[24 13] ; [69 23],[26.6744186 10.3255814] ; [66.3255814 25.6744186],0
s5,1,0.249837,1.324213,[10 24] ; [35 51],[12.75 21.25] ; [32.25 53.75],0
a6,1,0.254083,1.300713,[21 16] ; [62 30],[23.80620155 13.19379845] ; [59.19379845 32.80620155],0
n2,1,0.281984,1.157503,[10  6] ; [18  5],[11.48717949  4.51282051] ; [16.51282051  6.48717949],0
r3,1,0.28477,1.144184,[36  1] ; [83  7],[34.66929134  2.33070866] ; [84.33070866  5.66929134],0
n1,1,0.307431,1.041678,[ 4 12] ; [ 9 13],[ 5.47368421 10.52631579] ; [ 7.52631579 14.47368421],0
d5,1,0.34159,0.904455,[24 12] ; [69 23],[26.15625  9.84375] ; [66.84375 25.15625],0
a8,1,0.352802,0.863352,[ 3 34] ; [12 73],[ 4.54918033 32.45081967] ; [10.45081967 74.54918033],0
d2,1,0.358858,0.841887,[21 16] ; [44 48],[18.64341085 18.35658915] ; [46.35658915 45.64341085],0
p7,1,0.36448,0.822399,[31  5] ; [72 19],[29.19685039  6.80314961] ; [73.80314961 17.19685039],0
v4,1,0.402347,0.701299,[34  3] ; [87  4],[34.9765625  2.0234375] ; [86.0234375  4.9765625],0
u1,1,0.41669,0.659631,[ 5 32] ; [18 74],[ 6.59689922 30.40310078] ; [16.40310078 75.59689922],0
p3,1,0.435141,0.609062,[21 16] ; [59 33],[22.94573643 14.05426357] ; [57.05426357 34.94573643],0
a3,1,0.441961,0.591187,[24 13] ; [66 26],[25.81395349 11.18604651] ; [64.18604651 27.81395349],0
b5,1,0.45251,0.564356,[22 15] ; [48 44],[20.07751938 16.92248062] ; [49.92248062 42.07751938],0
d4,1,0.459651,0.546744,[30  7] ; [69 23],[28.39534884  8.60465116] ; [70.60465116 21.39534884],0
s1,1,0.491107,0.4741,[ 1 36] ; [ 5 85],[ 1.7480315 35.2519685] ; [ 4.2519685 85.7480315],0
r2,1,0.552871,0.3522,[33  3] ; [86  5],[33.73228346  2.26771654] ; [85.26771654  5.73228346],0
a1,1,0.569097,0.324196,[ 3 34] ; [ 5 87],[ 2.29457364 34.70542636] ; [ 5.70542636 86.29457364],0
p11,1,0.581309,0.304123,[26 11] ; [69 23],[27.24806202  9.75193798] ; [67.75193798 24.24806202],0
n3,1,0.592704,0.286141,[13  3] ; [17  6],[12.30769231  3.69230769] ; [17.69230769  5.30769231],0
p12,1,0.624741,0.239259,[ 3 34] ; [10 81],[ 3.7578125 33.2421875] ; [ 9.2421875 81.7578125],0
v2,1,0.639703,0.21913,[12 24] ; [34 56],[13.14285714 22.85714286] ; [32.85714286 57.14285714],0
d1,1,0.718494,0.12994,[21 16] ; [49 43],[20.07751938 16.92248062] ; [49.92248062 42.07751938],0
a2,1,0.721755,0.126817,[ 7 30] ; [20 72],[ 7.74418605 29.25581395] ; [19.25581395 72.74418605],0
r4,1,0.727879,0.121068,[33  4] ; [80 12],[32.41085271  4.58914729] ; [80.58914729 11.41085271],0
a5,1,0.783081,0.075793,[24 13] ; [62 30],[24.66666667 12.33333333] ; [61.33333333 30.66666667],0
b1,1,0.798526,0.065156,[17 20] ; [40 52],[16.34883721 20.65116279] ; [40.65116279 51.34883721],0
b4,1,0.889577,0.019276,[18 19] ; [46 46],[18.35658915 18.64341085] ; [45.64341085 46.35658915],0
a4,1,0.934894,0.006673,[17 20] ; [43 49],[17.20930233 19.79069767] ; [42.79069767 49.20930233],0
a7,1,0.968874,0.001523,[24 12] ; [61 31],[23.90625 12.09375] ; [61.09375 30.90625],0
