Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,4.4e-05,16.681304,[6 2] ; [ 6 44],[1.65517241 6.34482759] ; [10.34482759 39.65517241],1
s8,1,0.003283,8.64305,[4 4] ; [ 5 46],[1.22033898 6.77966102] ; [ 7.77966102 43.22033898],0
p5,1,0.006386,7.438061,[2 6] ; [ 1 49],[0.4137931 7.5862069] ; [ 2.5862069 47.4137931],0
s5,1,0.006602,7.378269,[3 5] ; [ 3 47],[0.82758621 7.17241379] ; [ 5.17241379 44.82758621],0
s3,1,0.015816,5.823251,[6 2] ; [15 34],[2.94736842 5.05263158] ; [18.05263158 30.94736842],0
a3,1,0.0312,4.641905,[6 2] ; [17 32],[3.22807018 4.77192982] ; [19.77192982 29.22807018],0
s6,1,0.048548,3.890902,[5 3] ; [14 37],[2.57627119 5.42372881] ; [16.42372881 34.57627119],0
a5,1,0.112717,2.515715,[5 3] ; [17 34],[2.98305085 5.01694915] ; [19.01694915 31.98305085],0
n5,1,0.132922,2.258044,[7 1] ; [30 20],[5.10344828 2.89655172] ; [31.89655172 18.10344828],0
s1,1,0.150229,2.069928,[2 6] ; [ 4 45],[0.84210526 7.15789474] ; [ 5.15789474 43.84210526],0
n4,1,0.158867,1.984974,[7 1] ; [31 19],[5.24137931 2.75862069] ; [32.75862069 17.24137931],0
v1,1,0.197808,1.658483,[4 4] ; [14 37],[2.44067797 5.55932203] ; [15.55932203 35.44067797],0
d5,1,0.199549,1.645675,[1 7] ; [18 33],[2.57627119 5.42372881] ; [16.42372881 34.57627119],0
r3,1,0.263102,1.252362,[4 4] ; [35 15],[5.37931034 2.62068966] ; [33.62068966 16.37931034],0
n1,1,0.270673,1.213333,[3 2] ; [ 7 14],[1.92307692 3.07692308] ; [ 8.07692308 12.92307692],0
a6,1,0.306764,1.044557,[5 3] ; [22 29],[3.66101695 4.33898305] ; [23.33898305 27.66101695],0
a4,1,0.341488,0.904838,[3 5] ; [11 39],[1.93103448 6.06896552] ; [12.06896552 37.93103448],0
v3,1,0.341488,0.904838,[3 5] ; [11 39],[1.93103448 6.06896552] ; [12.06896552 37.93103448],0
n2,1,0.34509,0.891429,[4 1] ; [12  9],[3.07692308 1.92307692] ; [12.92307692  8.07692308],0
p4,1,0.35999,0.837928,[4 4] ; [17 34],[2.84745763 5.15254237] ; [18.15254237 32.84745763],0
a7,1,0.361437,0.832894,[2 6] ; [21 29],[3.17241379 4.82758621] ; [19.82758621 30.17241379],0
n6,1,0.361437,0.832894,[6 2] ; [29 21],[4.82758621 3.17241379] ; [30.17241379 19.82758621],0
b5,1,0.38309,0.760763,[6 2] ; [30 21],[4.88135593 3.11864407] ; [31.11864407 19.88135593],0
r2,1,0.407393,0.686396,[7 1] ; [37 13],[6.06896552 1.93103448] ; [37.93103448 12.06896552],0
a8,1,0.493187,0.469565,[2 6] ; [ 7 39],[1.33333333 6.66666667] ; [ 7.66666667 38.33333333],0
s4,1,0.513884,0.42615,[2 6] ; [ 8 43],[1.3559322 6.6440678] ; [ 8.6440678 42.3559322],0
u2,1,0.539038,0.377326,[1 1] ; [10 24],[0.61111111 1.38888889] ; [10.38888889 23.61111111],0
d2,1,0.644127,0.213385,[3 5] ; [15 36],[2.44067797 5.55932203] ; [15.55932203 35.44067797],0
p3,1,0.644127,0.213385,[3 5] ; [15 36],[2.44067797 5.55932203] ; [15.55932203 35.44067797],0
p7,1,0.65354,0.201466,[3 5] ; [23 27],[3.5862069 4.4137931] ; [22.4137931 27.5862069],0
n3,1,0.656005,0.198413,[4 1] ; [14  6],[3.6 1.4] ; [14.4  5.6],0
a2,1,0.660146,0.193346,[1 7] ; [ 4 47],[0.6779661 7.3220339] ; [ 4.3220339 46.6779661],0
p2,1,0.687351,0.161968,[5 3] ; [28 23],[4.47457627 3.52542373] ; [28.52542373 22.47457627],0
p11,1,0.687351,0.161968,[3 5] ; [23 28],[3.52542373 4.47457627] ; [22.47457627 28.52542373],0
p6,1,0.745825,0.105072,[2 6] ; [10 40],[1.65517241 6.34482759] ; [10.34482759 39.65517241],0
b4,1,0.795833,0.066948,[4 4] ; [28 23],[4.33898305 3.66101695] ; [27.66101695 23.33898305],0
p9,1,0.797824,0.06562,[2 6] ; [15 36],[2.30508475 5.69491525] ; [14.69491525 36.30508475],0
p1,1,0.814541,0.055024,[1 7] ; [ 5 46],[0.81355932 7.18644068] ; [ 5.18644068 45.81355932],0
d3,1,0.884728,0.021019,[2 6] ; [14 37],[2.16949153 5.83050847] ; [13.83050847 37.16949153],0
r1,1,0.91629,0.011048,[4 4] ; [26 24],[4.13793103 3.86206897] ; [25.86206897 24.13793103],0
r4,1,0.926295,0.008558,[5 3] ; [31 20],[4.88135593 3.11864407] ; [31.11864407 19.88135593],0
b2,1,0.944277,0.004885,[2 5] ; [ 9 24],[1.925 5.075] ; [ 9.075 23.925],0
b3,1,0.944277,0.004885,[2 5] ; [ 9 24],[1.925 5.075] ; [ 9.075 23.925],0
v4,1,0.951065,0.003766,[6 2] ; [38 12],[6.06896552 1.93103448] ; [37.93103448 12.06896552],0
p8,1,0.952176,0.003597,[2 6] ; [13 37],[2.06896552 5.93103448] ; [12.93103448 37.06896552],0
b1,1,0.958871,0.002659,[4 4] ; [25 26],[3.93220339 4.06779661] ; [25.06779661 25.93220339],0
v2,1,0.975203,0.000966,[2 6] ; [12 37],[1.96491228 6.03508772] ; [12.03508772 36.96491228],0
