Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.004278,8.162041,[101  53] ; [25 32],[91.96208531 62.03791469] ; [34.03791469 22.96208531],0
p5,1,0.005112,7.839548,[ 13 140] ; [13 44],[ 18.94285714 134.05714286] ; [ 7.05714286 49.94285714],0
s3,1,0.005158,7.823142,[58 93] ; [10 46],[ 49.60386473 101.39613527] ; [18.39613527 37.60386473],0
v1,1,0.008438,6.938119,[88 61] ; [22 35],[79.5631068 69.4368932] ; [30.4368932 26.5631068],0
d2,1,0.023051,5.164625,[57 97] ; [31 26],[64.22748815 89.77251185] ; [23.77251185 33.22748815],0
a7,1,0.027891,4.834821,[118  36] ; [35 22],[111.66824645  42.33175355] ; [41.33175355 15.66824645],0
p12,1,0.032429,4.57566,[  8 145] ; [ 8 49],[ 11.65714286 141.34285714] ; [ 4.34285714 52.65714286],0
a6,1,0.039068,4.257914,[112  42] ; [33 24],[105.82938389  48.17061611] ; [39.17061611 17.82938389],0
s4,1,0.039152,4.254251,[ 18 135] ; [13 43],[ 22.6937799 130.3062201] ; [ 8.3062201 47.6937799],0
b2,1,0.077383,3.119036,[26 65] ; [15 18],[30.08870968 60.91129032] ; [10.91129032 22.08870968],0
b3,1,0.077383,3.119036,[26 65] ; [15 18],[30.08870968 60.91129032] ; [10.91129032 22.08870968],0
r1,1,0.087833,2.913657,[118  35] ; [50  7],[122.4  30.6] ; [45.6 11.4],0
p1,1,0.111512,2.532667,[  7 146] ; [ 6 51],[  9.47142857 143.52857143] ; [ 3.52857143 53.47142857],0
u1,1,0.112338,2.521016,[ 19 135] ; [12 45],[ 22.62559242 131.37440758] ; [ 8.37440758 48.62559242],0
p11,1,0.145724,2.11645,[125  29] ; [41 16],[121.1563981  32.8436019] ; [44.8436019 12.1563981],0
a5,1,0.148061,2.09211,[106  48] ; [45 12],[110.20853081  43.79146919] ; [40.79146919 16.20853081],0
a1,1,0.157145,2.001482,[  6 148] ; [ 5 52],[  8.02843602 145.97156398] ; [ 2.97156398 54.02843602],0
a8,1,0.17208,1.864726,[ 16 122] ; [10 42],[ 18.88421053 119.11578947] ; [ 7.11578947 44.88421053],0
p3,1,0.2095,1.57488,[71 82] ; [32 25],[75.04285714 77.95714286] ; [27.95714286 29.04285714],0
p10,1,0.224835,1.47324,[118  33] ; [48  8],[121.09178744  29.90821256] ; [44.90821256 11.09178744],0
a3,1,0.241311,1.372918,[94 59] ; [40 17],[97.62857143 55.37142857] ; [36.37142857 20.62857143],0
n4,1,0.243171,1.362117,[120  34] ; [40 17],[116.77725118  37.22274882] ; [43.22274882 13.77725118],0
p7,1,0.297597,1.084932,[93 56] ; [40 17],[96.19902913 52.80097087] ; [36.80097087 20.19902913],0
n5,1,0.299524,1.076311,[118  35] ; [40 17],[115.11428571  37.88571429] ; [42.88571429 14.11428571],0
n2,1,0.300662,1.071255,[29 10] ; [9 6],[27.44444444 11.55555556] ; [10.55555556  4.44444444],0
p2,1,0.307258,1.042426,[129  23] ; [45 12],[126.54545455  25.45454545] ; [47.45454545  9.54545455],0
p4,1,0.310723,1.027601,[87 67] ; [36 20],[90.2 63.8] ; [32.8 23.2],0
d4,1,0.414388,0.666176,[119  35] ; [47 10],[121.1563981  32.8436019] ; [44.8436019 12.1563981],0
r2,1,0.41678,0.659376,[141  11] ; [50  6],[139.57692308  12.42307692] ; [51.42307692  4.57692308],0
v3,1,0.436977,0.604207,[57 93] ; [18 38],[54.61165049 95.38834951] ; [20.38834951 35.61165049],0
a4,1,0.451438,0.567038,[55 96] ; [24 33],[57.35096154 93.64903846] ; [21.64903846 35.35096154],0
d1,1,0.46336,0.537765,[75 79] ; [31 26],[77.36492891 76.63507109] ; [28.63507109 28.36492891],0
d3,1,0.526767,0.400625,[107  47] ; [37 20],[105.09952607  48.90047393] ; [38.90047393 18.09952607],0
p8,1,0.536079,0.382856,[77 73] ; [32 25],[78.98550725 71.01449275] ; [30.01449275 26.98550725],0
p6,1,0.593101,0.285527,[ 46 107] ; [19 37],[ 47.58373206 105.41626794] ; [17.41626794 38.58373206],0
n3,1,0.599579,0.275632,[28 11] ; [9 5],[27.22641509 11.77358491] ; [9.77358491 4.22641509],0
r4,1,0.632316,0.228933,[137  17] ; [52  5],[137.94312796  16.05687204] ; [51.05687204  5.94312796],0
s7,1,0.705772,0.142536,[54 96] ; [21 33],[55.14705882 94.85294118] ; [19.85294118 34.14705882],0
v2,1,0.722154,0.126438,[79 69] ; [32 25],[80.13658537 67.86341463] ; [30.86341463 26.13658537],0
r3,1,0.752946,0.099072,[145   9] ; [53  4],[144.51184834   9.48815166] ; [53.48815166  3.51184834],0
n6,1,0.765049,0.089316,[127  27] ; [48  9],[127.72511848  26.27488152] ; [47.27488152  9.72511848],0
s8,1,0.766474,0.088203,[ 53 100] ; [21 36],[53.91428571 99.08571429] ; [20.08571429 36.91428571],0
d5,1,0.799531,0.064492,[124  30] ; [45 12],[123.34597156  30.65402844] ; [45.65402844 11.34597156],0
b1,1,0.810734,0.05735,[ 54 100] ; [21 36],[54.73933649 99.26066351] ; [20.26066351 36.73933649],0
s1,1,0.812337,0.056365,[  2 150] ; [ 1 56],[  2.18181818 149.81818182] ; [ 0.81818182 56.18181818],0
u3,1,0.832173,0.044908,[33 26] ; [10  7],[33.38157895 25.61842105] ; [9.61842105 7.38157895],0
p9,1,0.83508,0.043344,[128  25] ; [47 10],[127.5  25.5] ; [47.5  9.5],0
n1,1,0.855652,0.033092,[15 24] ; [5 9],[14.71698113 24.28301887] ; [5.28301887 8.71698113],0
v4,1,0.867511,0.027829,[144  10] ; [52  4],[143.73333333  10.26666667] ; [52.26666667  3.73333333],0
u2,1,0.870503,0.026575,[36 23] ; [10  7],[35.71052632 23.28947368] ; [10.28947368  6.71052632],0
a2,1,0.938735,0.005907,[ 29 125] ; [11 46],[ 29.1943128 124.8056872] ; [10.8056872 46.1943128],0
b4,1,0.96987,0.001427,[95 59] ; [35 22],[94.88151659 59.11848341] ; [35.11848341 21.88151659],0
