Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1.1e-05,19.275738,[107  16] ; [16 15],[98.24025974 24.75974026] ; [24.75974026  6.24025974],1
p7,1,0.000823,11.188958,[85 40] ; [10 19],[77.11038961 47.88961039] ; [17.88961039 11.11038961],1
d5,1,0.001222,10.456349,[102  22] ; [17 14],[95.2 28.8] ; [23.8  7.2],0
p9,1,0.001826,9.716383,[109  15] ; [20 11],[103.2  20.8] ; [25.8  5.2],0
p8,1,0.002214,9.363286,[74 50] ; [ 9 22],[66.4 57.6] ; [16.6 14.4],0
s1,1,0.002392,9.221126,[  3 118] ; [ 5 26],[  6.36842105 114.63157895] ; [ 1.63157895 29.36842105],0
r3,1,0.003117,8.737745,[115   9] ; [23  8],[110.4  13.6] ; [27.6  3.4],0
d4,1,0.008343,6.958314,[100  24] ; [18 13],[94.4 29.6] ; [23.6  7.4],0
a7,1,0.009128,6.797658,[91 34] ; [15 16],[84.93589744 40.06410256] ; [21.06410256  9.93589744],0
p4,1,0.012202,6.281265,[83 42] ; [13 18],[76.92307692 48.07692308] ; [19.07692308 11.92307692],0
r4,1,0.015691,5.837183,[113  12] ; [23  8],[108.97435897  16.02564103] ; [27.02564103  3.97435897],0
n5,1,0.021008,5.326142,[101  24] ; [19 12],[96.15384615 28.84615385] ; [23.84615385  7.15384615],0
p3,1,0.021882,5.255177,[65 60] ; [ 9 22],[59.29487179 65.70512821] ; [14.70512821 16.29487179],0
v4,1,0.028545,4.794823,[118   6] ; [26  5],[115.2   8.8] ; [28.8  2.2],0
d3,1,0.036276,4.384103,[82 43] ; [14 17],[76.92307692 48.07692308] ; [19.07692308 11.92307692],0
p6,1,0.040255,4.207099,[48 75] ; [ 6 25],[43.12987013 79.87012987] ; [10.87012987 20.12987013],0
n4,1,0.070758,3.265348,[99 25] ; [20 11],[95.2 28.8] ; [23.8  7.2],0
n1,1,0.075585,3.157358,[10 13] ; [9 3],[12.48571429 10.51428571] ; [6.51428571 5.48571429],0
p11,1,0.079064,3.084041,[96 29] ; [19 12],[92.1474359 32.8525641] ; [22.8525641  8.1474359],0
s6,1,0.087959,2.911331,[88 35] ; [16 13],[84.15789474 38.84210526] ; [19.84210526  9.15789474],0
v3,1,0.100313,2.700566,[31 93] ; [12 18],[34.62337662 89.37662338] ; [ 8.37662338 21.62337662],0
n6,1,0.159833,1.975806,[102  22] ; [22  9],[99.2 24.8] ; [24.8  6.2],0
a8,1,0.193512,1.690677,[18 95] ; [ 2 28],[15.8041958 97.1958042] ; [ 4.1958042 25.8041958],0
p1,1,0.228596,1.449578,[ 11 114] ; [ 5 26],[ 12.82051282 112.17948718] ; [ 3.17948718 27.82051282],0
s5,1,0.229627,1.443169,[51 70] ; [ 8 19],[48.23648649 72.76351351] ; [10.76351351 16.23648649],0
a4,1,0.295206,1.095727,[53 71] ; [16 14],[55.55844156 68.44155844] ; [13.44155844 16.55844156],0
u2,1,0.312252,1.021126,[22 16] ; [4 6],[20.58333333 17.41666667] ; [5.41666667 4.58333333],0
n2,1,0.31786,0.99773,[18  5] ; [11  1],[19.05714286  3.94285714] ; [9.94285714 2.05714286],0
s2,1,0.325254,0.967703,[62 62] ; [18 12],[64.41558442 59.58441558] ; [15.58441558 14.41558442],0
s8,1,0.335388,0.92798,[58 67] ; [11 19],[55.64516129 69.35483871] ; [13.35483871 16.64516129],0
n3,1,0.353588,0.860537,[13  9] ; [9 3],[14.23529412  7.76470588] ; [7.76470588 4.23529412],0
d1,1,0.355719,0.852951,[64 61] ; [13 18],[61.69871795 63.30128205] ; [15.30128205 15.69871795],0
a5,1,0.362135,0.830477,[91 34] ; [20 11],[88.94230769 36.05769231] ; [22.05769231  8.94230769],0
r1,1,0.377783,0.777903,[100  23] ; [23  8],[98.24025974 24.75974026] ; [24.75974026  6.24025974],0
b1,1,0.444536,0.584547,[62 63] ; [13 18],[60.09615385 64.90384615] ; [14.90384615 16.09615385],0
b3,1,0.448103,0.575445,[32 50] ; [11 12],[33.58095238 48.41904762] ; [ 9.41904762 13.58095238],0
b2,1,0.448103,0.575445,[32 50] ; [11 12],[33.58095238 48.41904762] ; [ 9.41904762 13.58095238],0
a2,1,0.545592,0.365273,[26 99] ; [ 8 23],[27.24358974 97.75641026] ; [ 6.75641026 24.24358974],0
u4,1,0.555183,0.348114,[  2 123] ; [ 1 30],[  2.40384615 122.59615385] ; [ 0.59615385 30.40384615],0
b5,1,0.644618,0.212753,[75 50] ; [20 11],[76.12179487 48.87820513] ; [18.87820513 12.12179487],0
u3,1,0.687295,0.162029,[24 14] ; [7 3],[24.54166667 13.45833333] ; [6.45833333 3.54166667],0
a1,1,0.709007,0.139271,[  6 119] ; [ 2 29],[  6.41025641 118.58974359] ; [ 1.58974359 29.41025641],0
r2,1,0.709007,0.139271,[119   6] ; [29  2],[118.58974359   6.41025641] ; [29.41025641  1.58974359],0
s7,1,0.720131,0.128367,[55 63] ; [12 16],[54.15068493 63.84931507] ; [12.84931507 15.15068493],0
a6,1,0.780556,0.077615,[76 49] ; [18 13],[75.32051282 49.67948718] ; [18.67948718 12.32051282],0
d2,1,0.780996,0.077296,[53 72] ; [14 17],[53.68589744 71.31410256] ; [13.31410256 17.68589744],0
s3,1,0.831854,0.045081,[70 54] ; [17 12],[70.50980392 53.49019608] ; [16.49019608 12.50980392],0
s4,1,0.853424,0.034133,[27 97] ; [ 7 23],[27.37662338 96.62337662] ; [ 6.62337662 23.37662338],0
u1,1,0.897886,0.016469,[ 19 106] ; [ 5 26],[ 19.23076923 105.76923077] ; [ 4.76923077 26.23076923],0
b4,1,0.907229,0.01358,[70 55] ; [17 14],[69.71153846 55.28846154] ; [17.28846154 13.71153846],0
