Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,1.6e-05,18.578596,[3 2] ; [ 4 75],[0.41666667 4.58333333] ; [ 6.58333333 72.41666667],1
a4,1,0.001716,9.830523,[4 1] ; [15 63],[1.14457831 3.85542169] ; [17.85542169 60.14457831],0
u1,1,0.098972,2.722025,[1 4] ; [ 3 76],[0.23809524 4.76190476] ; [ 3.76190476 75.23809524],0
b4,1,0.166528,1.913924,[1 4] ; [41 38],[2.5 2.5] ; [39.5 39.5],0
b3,1,0.178277,1.811928,[2 2] ; [ 9 35],[0.91666667 3.08333333] ; [10.08333333 33.91666667],0
b2,1,0.178277,1.811928,[2 2] ; [ 9 35],[0.91666667 3.08333333] ; [10.08333333 33.91666667],0
a8,1,0.192426,1.698942,[1 3] ; [ 5 67],[0.31578947 3.68421053] ; [ 5.68421053 66.31578947],0
s2,1,0.200065,1.641896,[3 2] ; [25 53],[1.68674699 3.31325301] ; [26.31325301 51.68674699],0
v2,1,0.203458,1.617377,[1 4] ; [37 38],[2.375 2.625] ; [35.625 39.375],0
s7,1,0.215947,1.5311,[3 1] ; [33 43],[1.8 2.2] ; [34.2 41.8],0
b5,1,0.264039,1.247456,[4 1] ; [43 36],[2.79761905 2.20238095] ; [44.20238095 34.79761905],0
v1,1,0.300447,1.07221,[1 4] ; [34 44],[2.10843373 2.89156627] ; [32.89156627 45.10843373],0
p1,1,0.305359,1.050642,[2 3] ; [16 62],[1.08433735 3.91566265] ; [16.91566265 61.08433735],0
a6,1,0.362554,0.829026,[4 1] ; [47 32],[3.03571429 1.96428571] ; [47.96428571 31.03571429],0
p3,1,0.366446,0.815679,[3 1] ; [41 38],[2.12048193 1.87951807] ; [41.87951807 37.12048193],0
v3,1,0.426873,0.631315,[1 4] ; [29 48],[1.82926829 3.17073171] ; [28.17073171 48.82926829],0
s6,1,0.433961,0.6122,[2 3] ; [44 32],[2.83950617 2.16049383] ; [43.16049383 32.83950617],0
a7,1,0.449539,0.571814,[4 1] ; [50 29],[3.21428571 1.78571429] ; [50.78571429 28.21428571],0
s5,1,0.633507,0.227336,[2 3] ; [23 54],[1.52439024 3.47560976] ; [23.47560976 53.52439024],0
p5,1,0.716225,0.132139,[1 4] ; [11 67],[0.72289157 4.27710843] ; [11.27710843 66.72289157],0
p9,1,0.773041,0.083174,[4 1] ; [67 12],[4.22619048 0.77380952] ; [66.77380952 12.22619048],0
s8,1,0.790566,0.070531,[2 3] ; [27 52],[1.72619048 3.27380952] ; [27.27380952 51.72619048],0
b1,1,0.850883,0.035341,[2 3] ; [35 44],[2.20238095 2.79761905] ; [34.79761905 44.20238095],0
s3,1,0.881094,0.022375,[2 3] ; [33 43],[2.16049383 2.83950617] ; [32.83950617 43.16049383],0
p4,1,0.894097,0.017722,[3 2] ; [45 34],[2.85714286 2.14285714] ; [45.14285714 33.85714286],0
p10,1,0.908004,0.013353,[4 1] ; [64 14],[4.09638554 0.90361446] ; [63.90361446 14.09638554],0
p7,1,0.924785,0.008913,[4 1] ; [61 17],[3.91566265 1.08433735] ; [61.08433735 16.91566265],0
n1,1,0.937193,0.006209,[1 1] ; [8 9],[0.94736842 1.05263158] ; [8.05263158 8.94736842],0
s4,1,0.966284,0.001787,[1 4] ; [15 63],[0.96385542 4.03614458] ; [15.03614458 62.96385542],0
p6,1,0.973098,0.001137,[2 3] ; [31 48],[1.96428571 3.03571429] ; [31.03571429 47.96428571],0
