Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,24.207112,[60 29] ; [ 9 33],[46.8778626 42.1221374] ; [22.1221374 19.8778626],1
p2,1,0.000124,14.723375,[81  9] ; [26 16],[72.95454545 17.04545455] ; [34.04545455  7.95454545],1
p10,1,0.000175,14.080283,[81  8] ; [27 15],[73.3740458 15.6259542] ; [34.6259542  7.3740458],1
p6,1,0.000645,11.640212,[50 40] ; [10 32],[40.90909091 49.09090909] ; [19.09090909 22.90909091],1
p3,1,0.002963,8.829847,[61 29] ; [17 25],[53.18181818 36.81818182] ; [24.81818182 17.18181818],0
p4,1,0.00416,8.212695,[64 26] ; [19 23],[56.59090909 33.40909091] ; [26.40909091 15.59090909],0
p9,1,0.004464,8.084668,[82  7] ; [31 11],[76.77099237 12.22900763] ; [36.22900763  5.77099237],0
s3,1,0.00503,7.868783,[74 16] ; [25 17],[67.5 22.5] ; [31.5 10.5],0
r4,1,0.005124,7.835204,[80 10] ; [29 13],[74.31818182 15.68181818] ; [34.68181818  7.31818182],0
s5,1,0.007575,7.13137,[46 41] ; [11 29],[39.04724409 47.95275591] ; [17.95275591 22.04724409],0
s6,1,0.009046,6.813796,[77 11] ; [28 13],[71.62790698 16.37209302] ; [33.37209302  7.62790698],0
s8,1,0.009573,6.712749,[71 19] ; [24 18],[64.77272727 25.22727273] ; [30.22727273 11.77272727],0
v3,1,0.011714,6.353581,[48 41] ; [12 28],[41.39534884 47.60465116] ; [18.60465116 21.39534884],0
s2,1,0.014735,5.947848,[70 20] ; [24 18],[64.09090909 25.90909091] ; [29.90909091 12.09090909],0
v4,1,0.043797,4.064356,[85  4] ; [35  6],[82.15384615  6.84615385] ; [37.84615385  3.15384615],0
d3,1,0.044906,4.022164,[49 41] ; [15 27],[43.63636364 46.36363636] ; [20.36363636 21.63636364],0
p11,1,0.053682,3.722553,[77 13] ; [30 12],[72.95454545 17.04545455] ; [34.04545455  7.95454545],0
v2,1,0.05741,3.610678,[48 40] ; [15 26],[42.97674419 45.02325581] ; [20.02325581 20.97674419],0
s4,1,0.060298,3.529157,[27 63] ; [ 6 35],[22.67175573 67.32824427] ; [10.32824427 30.67175573],0
r3,1,0.060681,3.51867,[88  2] ; [38  4],[85.90909091  4.09090909] ; [40.09090909  1.90909091],0
b5,1,0.065423,3.394286,[36 54] ; [24 18],[40.90909091 49.09090909] ; [19.09090909 22.90909091],0
d5,1,0.08547,2.957684,[75 14] ; [30 12],[71.33587786 17.66412214] ; [33.66412214  8.33587786],0
n5,1,0.095501,2.779122,[78 11] ; [32 10],[74.73282443 14.26717557] ; [35.26717557  6.73282443],0
d2,1,0.102759,2.662185,[42 48] ; [26 16],[46.36363636 43.63636364] ; [21.63636364 20.36363636],0
