Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,81.862352,[355  95] ; [65 96],[309.3289689 140.6710311] ; [110.6710311  50.3289689],1
d3,1,0.0,78.483698,[350 100] ; [64 97],[304.90998363 145.09001637] ; [109.09001637  51.90998363],1
a2,1,0.0,27.054004,[131 321] ; [ 14 147],[106.91680261 345.08319739] ; [ 38.08319739 122.91680261],1
u1,1,3e-06,21.872583,[ 95 357] ; [  8 153],[ 75.94779772 376.05220228] ; [ 27.05220228 133.94779772],1
r4,1,1.8e-05,18.369086,[421  31] ; [131  30],[407.02120718  44.97879282] ; [144.97879282  16.02120718],1
r3,1,0.000596,11.786971,[435  14] ; [145  16],[426.91803279  22.08196721] ; [153.08196721   7.91803279],1
d1,1,0.000615,11.731045,[286 166] ; [77 84],[267.66068515 184.33931485] ; [95.33931485 65.66068515],1
v4,1,0.000798,11.244898,[435  13] ; [145  15],[427.36842105  20.63157895] ; [152.63157895   7.36842105],1
b5,1,0.002032,9.520568,[282 170] ; [78 83],[265.44861338 186.55138662] ; [94.55138662 66.44861338],0
r1,1,0.002792,8.938491,[375  74] ; [117  44],[362.1442623  86.8557377] ; [129.8557377  31.1442623],0
u3,1,0.005814,7.607198,[81 47] ; [14 23],[73.6969697 54.3030303] ; [21.3030303 15.6969697],0
b3,1,0.008972,6.828358,[100 163] ; [57 51],[111.29649596 151.70350404] ; [45.70350404 62.29649596],0
b2,1,0.008972,6.828358,[100 163] ; [57 51],[111.29649596 151.70350404] ; [45.70350404 62.29649596],0
d5,1,0.011155,6.440526,[379  72] ; [120  40],[368.3289689  82.6710311] ; [130.6710311  29.3289689],0
r2,1,0.013125,6.152176,[428  19] ; [142  15],[421.83774834  25.16225166] ; [148.16225166   8.83774834],0
n5,1,0.042659,4.108864,[347 101] ; [136  24],[355.89473684  92.10526316] ; [127.10526316  32.89473684],0
b1,1,0.050421,3.827389,[160 292] ; [71 90],[170.32952692 281.67047308] ; [ 60.67047308 100.32952692],0
v2,1,0.06002,3.536825,[268 163] ; [83 72],[258.15870307 172.84129693] ; [92.84129693 62.15870307],0
