Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.461327,0.542674,[28 75] ; [ 5 20],[26.5546875 76.4453125] ; [ 6.4453125 18.5546875],0
p6,1,0.465031,0.53376,[25 77] ; [ 4 19],[23.664 78.336] ; [ 5.336 17.664],0
n3,1,0.498996,0.457071,[21 18] ; [9 5],[22.0754717 16.9245283] ; [7.9245283 6.0754717],0
n1,1,0.547114,0.362513,[15 25] ; [ 4 10],[14.07407407 25.92592593] ; [4.92592593 9.07407407],0
a8,1,0.567902,0.326206,[ 5 90] ; [ 2 22],[ 5.58823529 89.41176471] ; [ 1.41176471 22.58823529],0
s2,1,0.590529,0.28952,[30 72] ; [ 6 19],[28.91338583 73.08661417] ; [ 7.08661417 17.91338583],0
s4,1,0.617424,0.249505,[16 85] ; [ 5 20],[16.83333333 84.16666667] ; [ 4.16666667 20.83333333],0
p1,1,0.626538,0.236785,[ 9 93] ; [ 3 22],[ 9.63779528 92.36220472] ; [ 2.36220472 22.63779528],0
n2,1,0.626928,0.23625,[23 17] ; [7 7],[22.22222222 17.77777778] ; [7.77777778 6.22222222],0
b5,1,0.627845,0.234995,[55 48] ; [12 13],[53.9140625 49.0859375] ; [13.0859375 11.9140625],0
b1,1,0.673504,0.177531,[57 46] ; [15 10],[57.9375 45.0625] ; [14.0625 10.9375],0
a1,1,0.832735,0.044603,[ 7 96] ; [ 2 23],[ 7.2421875 95.7578125] ; [ 1.7578125 23.2421875],0
v2,1,0.923103,0.009317,[31 69] ; [ 8 17],[31.2 68.8] ; [ 7.8 17.2],0
u2,1,0.943367,0.005046,[21 23] ; [7 8],[20.88135593 23.11864407] ; [7.11864407 7.88135593],0
