Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,7.1e-05,15.77424,[2 1] ; [ 16 227],[0.2195122 2.7804878] ; [ 17.7804878 225.2195122],1
a1,1,0.005641,7.661406,[1 2] ; [  8 237],[0.10887097 2.89112903] ; [  8.89112903 236.10887097],0
p10,1,0.087398,2.921661,[1 2] ; [184  58],[2.26530612 0.73469388] ; [182.73469388  59.26530612],0
r3,1,0.106928,2.599042,[2 1] ; [225  19],[2.75708502 0.24291498] ; [224.24291498  19.75708502],0
v4,1,0.133796,2.247895,[2 1] ; [224  21],[2.73387097 0.26612903] ; [223.26612903  21.73387097],0
a2,1,0.173328,1.853924,[2 1] ; [ 74 171],[0.91935484 2.08064516] ; [ 75.08064516 169.91935484],0
r4,1,0.304173,1.055807,[2 1] ; [213  32],[2.60080645 0.39919355] ; [212.39919355  32.60080645],0
v2,1,0.395498,0.721972,[1 2] ; [138 101],[1.7231405 1.2768595] ; [137.2768595 101.7231405],0
p4,1,0.467699,0.527408,[1 2] ; [131 110],[1.62295082 1.37704918] ; [130.37704918 110.62295082],0
n6,1,0.497779,0.459669,[2 1] ; [199  44],[2.45121951 0.54878049] ; [198.54878049  44.45121951],0
r1,1,0.540415,0.374771,[2 1] ; [197  47],[2.41700405 0.58299595] ; [196.58299595  47.41700405],0
p9,1,0.597238,0.279182,[2 1] ; [190  50],[2.37037037 0.62962963] ; [189.62962963  50.37037037],0
s5,1,0.600358,0.274456,[1 2] ; [ 50 189],[0.6322314 2.3677686] ; [ 50.3677686 188.6322314],0
p8,1,0.625783,0.237823,[2 1] ; [125 113],[1.58091286 1.41908714] ; [125.41908714 112.58091286],0
p3,1,0.654794,0.199909,[1 2] ; [112 130],[1.38367347 1.61632653] ; [111.61632653 130.38367347],0
p2,1,0.67027,0.181287,[2 1] ; [185  55],[2.30864198 0.69135802] ; [184.69135802  55.30864198],0
n3,1,0.690643,0.15839,[1 1] ; [37 21],[1.26666667 0.73333333] ; [36.73333333 21.26666667],0
p11,1,0.723701,0.124974,[2 1] ; [185  60],[2.26209677 0.73790323] ; [184.73790323  60.26209677],0
n2,1,0.776712,0.080432,[1 1] ; [36 24],[1.19354839 0.80645161] ; [35.80645161 24.19354839],0
s8,1,0.811338,0.056978,[1 2] ; [ 66 177],[0.81707317 2.18292683] ; [ 66.18292683 176.81707317],0
p7,1,0.836966,0.042344,[2 1] ; [146  94],[1.82716049 1.17283951] ; [146.17283951  93.82716049],0
b5,1,0.847471,0.036997,[2 1] ; [150  95],[1.83870968 1.16129032] ; [150.16129032  94.83870968],0
v3,1,0.848913,0.036292,[1 2] ; [ 91 144],[1.15966387 1.84033613] ; [ 90.84033613 144.15966387],0
b4,1,0.869614,0.026945,[2 1] ; [152  93],[1.86290323 1.13709677] ; [152.13709677  92.86290323],0
p6,1,0.920902,0.00986,[1 2] ; [ 73 165],[0.92116183 2.07883817] ; [ 73.07883817 164.92116183],0
