Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.003469,8.542769,[1 2] ; [26  2],[2.61290323 0.38709677] ; [24.38709677  3.61290323],0
p10,1,0.050962,3.809524,[2 1] ; [26  1],[2.8 0.2] ; [25.2  1.8],0
n6,1,0.114344,2.493132,[1 1] ; [25  3],[1.73333333 0.26666667] ; [24.26666667  3.73333333],0
p9,1,0.144779,2.126417,[2 1] ; [26  2],[2.70967742 0.29032258] ; [25.29032258  2.70967742],0
r1,1,0.179767,1.799546,[1 2] ; [20  8],[2.03225806 0.96774194] ; [18.96774194  9.03225806],0
v1,1,0.255704,1.291866,[1 2] ; [18  9],[1.9 1.1] ; [17.1  9.9],0
s5,1,0.259656,1.270588,[1 2] ; [16  8],[1.88888889 1.11111111] ; [15.11111111  8.88888889],0
a7,1,0.295544,1.094194,[1 2] ; [18 10],[1.83870968 1.16129032] ; [17.16129032 10.83870968],0
s6,1,0.332373,0.939631,[1 2] ; [15  9],[1.77777778 1.22222222] ; [14.22222222  9.77777778],0
v2,1,0.464214,0.535714,[1 2] ; [15 12],[1.6 1.4] ; [14.4 12.6],0
d4,1,0.519043,0.415794,[2 1] ; [23  5],[2.41935484 0.58064516] ; [22.58064516  5.41935484],0
r2,1,0.519043,0.415794,[2 1] ; [23  5],[2.41935484 0.58064516] ; [22.58064516  5.41935484],0
p2,1,0.542802,0.37037,[2 1] ; [22  5],[2.4 0.6] ; [21.6  5.4],0
n4,1,0.639291,0.219671,[2 1] ; [22  6],[2.32258065 0.67741935] ; [21.67741935  6.32258065],0
b3,1,0.650041,0.205848,[1 2] ; [ 9 10],[1.36363636 1.63636364] ; [ 8.63636364 10.36363636],0
b2,1,0.650041,0.205848,[1 2] ; [ 9 10],[1.36363636 1.63636364] ; [ 8.63636364 10.36363636],0
b1,1,0.664901,0.187625,[2 1] ; [15 13],[1.64516129 1.35483871] ; [15.35483871 12.64516129],0
n3,1,0.709388,0.138889,[1 1] ; [2 1],[1.2 0.8] ; [1.8 1.2],0
n2,1,0.709388,0.138889,[1 1] ; [2 1],[1.2 0.8] ; [1.8 1.2],0
d3,1,0.750709,0.100936,[2 1] ; [16 12],[1.74193548 1.25806452] ; [16.25806452 11.74193548],0
d1,1,0.750709,0.100936,[2 1] ; [16 12],[1.74193548 1.25806452] ; [16.25806452 11.74193548],0
a4,1,0.750709,0.100936,[1 2] ; [12 16],[1.25806452 1.74193548] ; [11.74193548 16.25806452],0
a5,1,0.753905,0.098279,[2 1] ; [21  7],[2.22580645 0.77419355] ; [20.77419355  7.22580645],0
p1,1,0.753905,0.098279,[1 2] ; [ 7 21],[0.77419355 2.22580645] ; [ 7.22580645 20.77419355],0
p6,1,0.803785,0.061728,[1 2] ; [11 16],[1.2 1.8] ; [10.8 16.2],0
b5,1,0.840573,0.040466,[2 1] ; [17 11],[1.83870968 1.16129032] ; [17.16129032 10.83870968],0
d2,1,0.840573,0.040466,[2 1] ; [17 11],[1.83870968 1.16129032] ; [17.16129032 10.83870968],0
a6,1,0.862895,0.029822,[2 1] ; [20  8],[2.12903226 0.87096774] ; [19.87096774  8.12903226],0
a3,1,0.934715,0.00671,[2 1] ; [18 10],[1.93548387 1.06451613] ; [18.06451613  9.93548387],0
p3,1,0.934715,0.00671,[2 1] ; [18 10],[1.93548387 1.06451613] ; [18.06451613  9.93548387],0
p8,1,0.934715,0.00671,[2 1] ; [18 10],[1.93548387 1.06451613] ; [18.06451613  9.93548387],0
p7,1,0.966562,0.001757,[2 1] ; [19  9],[2.03225806 0.96774194] ; [18.96774194  9.03225806],0
