Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000185,13.976666,[22 44] ; [ 15 117],[12.33333333 53.66666667] ; [ 24.66666667 107.33333333],1
u3,1,0.006393,7.436,[12  4] ; [18 32],[7.27272727 8.72727273] ; [22.72727273 27.27272727],0
v2,1,0.007484,7.153057,[33 30] ; [41 86],[24.53684211 38.46315789] ; [49.46315789 77.53684211],0
p3,1,0.01054,6.541329,[23 42] ; [ 25 108],[15.75757576 49.24242424] ; [ 32.24242424 100.75757576],0
p2,1,0.013577,6.092308,[48 18] ; [72 60],[40. 26.] ; [80. 52.],0
v3,1,0.020011,5.410929,[22 39] ; [ 26 102],[15.49206349 45.50793651] ; [32.50793651 95.49206349],0
u1,1,0.028758,4.782049,[11 55] ; [  9 124],[ 6.63316583 59.36683417] ; [ 13.36683417 119.63316583],0
r1,1,0.03057,4.67696,[47 18] ; [75 58],[40.05050505 24.94949495] ; [81.94949495 51.05050505],0
p10,1,0.038665,4.275523,[43 23] ; [65 66],[36.18274112 29.81725888] ; [71.81725888 59.18274112],0
r3,1,0.047937,3.912209,[57  7] ; [102  30],[51.91836735 12.08163265] ; [107.08163265  24.91836735],0
b4,1,0.049643,3.85349,[30 36] ; [80 53],[36.48241206 29.51758794] ; [73.51758794 59.48241206],0
p11,1,0.054448,3.698901,[47 19] ; [76 57],[40.79396985 25.20603015] ; [82.20603015 50.79396985],0
s5,1,0.065479,3.392857,[10 54] ; [  9 117],[ 6.4 57.6] ; [ 12.6 113.4],0
a3,1,0.068879,3.309543,[50 16] ; [83 49],[44.33333333 21.66666667] ; [88.66666667 43.33333333],0
s1,1,0.069981,3.28347,[ 5 60] ; [  3 129],[ 2.63959391 62.36040609] ; [  5.36040609 126.63959391],0
v4,1,0.070854,3.263126,[56  8] ; [101  31],[51.26530612 12.73469388] ; [105.73469388  26.26530612],0
p7,1,0.0762,3.144137,[28 37] ; [40 92],[22.43654822 42.56345178] ; [45.56345178 86.43654822],0
r2,1,0.092153,2.836364,[59  6] ; [106  24],[55. 10.] ; [110.  20.],0
p9,1,0.096292,2.765916,[44 22] ; [70 59],[38.58461538 27.41538462] ; [75.41538462 53.58461538],0
r4,1,0.113117,2.510129,[50 16] ; [86 47],[45.10552764 20.89447236] ; [90.89447236 42.10552764],0
p5,1,0.156101,2.011596,[ 4 60] ; [  3 130],[ 2.27411168 61.72588832] ; [  4.72588832 128.27411168],0
n4,1,0.173999,1.848146,[46 19] ; [81 52],[41.69191919 23.30808081] ; [85.30808081 47.69191919],0
a4,1,0.185518,1.752855,[32 34] ; [51 81],[27.66666667 38.33333333] ; [55.33333333 76.66666667],0
n5,1,0.194026,1.686779,[43 22] ; [74 57],[38.80102041 26.19897959] ; [78.19897959 52.80102041],0
s7,1,0.227349,1.45737,[15 47] ; [ 21 104],[11.93582888 50.06417112] ; [ 24.06417112 100.93582888],0
a8,1,0.236122,1.403599,[ 8 51] ; [ 10 115],[ 5.77173913 53.22826087] ; [ 12.22826087 112.77173913],0
n1,1,0.239974,1.380747,[ 3 11] ; [21 34],[4.86956522 9.13043478] ; [19.13043478 35.86956522],0
s3,1,0.264515,1.24497,[22 44] ; [34 98],[18.66666667 47.33333333] ; [37.33333333 94.66666667],0
s8,1,0.288285,1.127614,[11 55] ; [ 15 118],[ 8.62311558 57.37688442] ; [ 17.37688442 115.62311558],0
n3,1,0.358219,0.844127,[11  4] ; [32 21],[9.48529412 5.51470588] ; [33.51470588 19.48529412],0
a5,1,0.440208,0.595741,[41 25] ; [75 58],[38.47236181 27.52763819] ; [77.52763819 55.47236181],0
s4,1,0.493677,0.468503,[ 8 58] ; [ 12 121],[ 6.63316583 59.36683417] ; [ 13.36683417 119.63316583],0
p4,1,0.498404,0.458333,[20 46] ; [34 98],[18. 48.] ; [36. 96.],0
d1,1,0.504843,0.444741,[26 40] ; [59 74],[28.19095477 37.80904523] ; [56.80904523 76.19095477],0
u2,1,0.517743,0.418388,[9 7] ; [23 26],[7.87692308 8.12307692] ; [24.12307692 24.87692308],0
p1,1,0.527506,0.399194,[ 3 63] ; [  9 123],[ 4. 62.] ; [  8. 124.],0
b2,1,0.537923,0.379404,[20 21] ; [33 44],[18.41525424 22.58474576] ; [34.58474576 42.41525424],0
b3,1,0.537923,0.379404,[20 21] ; [33 44],[18.41525424 22.58474576] ; [34.58474576 42.41525424],0
d2,1,0.55104,0.355458,[25 41] ; [55 75],[26.93877551 39.06122449] ; [53.06122449 76.93877551],0
