Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3e-06,21.94294,[71 42] ; [45 91],[52.64257028 60.35742972] ; [63.35742972 72.64257028],1
a3,1,0.000439,12.357728,[92 24] ; [86 60],[78.80916031 37.19083969] ; [99.19083969 46.80916031],1
s6,1,0.001837,9.706066,[77 40] ; [67 77],[64.55172414 52.44827586] ; [79.44827586 64.55172414],0
r2,1,0.00377,8.391363,[114   4] ; [126  20],[107.27272727  10.72727273] ; [132.72727273  13.27272727],0
r1,1,0.004137,8.222876,[95 22] ; [96 51],[84.64772727 32.35227273] ; [106.35227273  40.64772727],0
p7,1,0.005224,7.800071,[62 47] ; [56 87],[51.03968254 57.96031746] ; [66.96031746 76.03968254],0
p3,1,0.005411,7.73668,[35 82] ; [ 23 124],[25.70454545 91.29545455] ; [ 32.29545455 114.70454545],0
s2,1,0.006162,7.502411,[60 57] ; [50 95],[49.1221374 67.8778626] ; [60.8778626 84.1221374],0
s5,1,0.007475,7.155162,[39 77] ; [ 27 115],[29.6744186 86.3255814] ; [ 36.3255814 105.6744186],0
v3,1,0.009678,6.69319,[51 66] ; [ 40 102],[41.10810811 75.89189189] ; [49.89189189 92.10810811],0
r4,1,0.01115,6.441294,[103  15] ; [110  37],[94.84528302 23.15471698] ; [118.15471698  28.84528302],0
r3,1,0.01218,6.28445,[107   9] ; [119  27],[100.0610687  15.9389313] ; [125.9389313  20.0610687],0
v4,1,0.012424,6.249319,[111   7] ; [123  23],[104.59090909  13.40909091] ; [129.40909091  16.59090909],0
p2,1,0.013327,6.125157,[87 30] ; [88 59],[77.55681818 39.44318182] ; [97.44318182 49.55681818],0
p9,1,0.014108,6.024585,[95 20] ; [97 43],[86.58823529 28.41176471] ; [105.41176471  34.58823529],0
p10,1,0.0191,5.492335,[92 24] ; [96 49],[83.55555556 32.44444444] ; [104.44444444  40.55555556],0
a5,1,0.023909,5.101245,[87 31] ; [89 58],[78.36981132 39.63018868] ; [97.63018868 49.36981132],0
b3,1,0.032291,4.582994,[33 38] ; [24 57],[26.625 44.375] ; [30.375 50.625],0
b2,1,0.032291,4.582994,[33 38] ; [24 57],[26.625 44.375] ; [30.375 50.625],0
s8,1,0.042371,4.12033,[48 70] ; [ 42 104],[40.22727273 77.77272727] ; [49.77272727 96.22727273],0
p6,1,0.04385,4.062329,[27 88] ; [ 20 125],[20.78846154 94.21153846] ; [ 26.21153846 118.78846154],0
s3,1,0.067682,3.338372,[66 50] ; [66 79],[58.66666667 57.33333333] ; [73.33333333 71.66666667],0
s7,1,0.096983,2.754476,[51 65] ; [47 92],[44.58039216 71.41960784] ; [53.41960784 85.58039216],0
b5,1,0.110245,2.550703,[78 40] ; [83 64],[71.69056604 46.30943396] ; [89.30943396 57.69056604],0
n6,1,0.11778,2.446603,[101  16] ; [116  31],[96.17045455 20.82954545] ; [120.82954545  26.17045455],0
p11,1,0.130068,2.291698,[88 30] ; [97 50],[82.37735849 35.62264151] ; [102.62264151  44.37735849],0
n2,1,0.148147,2.091223,[27  5] ; [41 17],[24.17777778  7.82222222] ; [43.82222222 14.17777778],0
u4,1,0.21661,1.526691,[  3 115] ; [  1 146],[  1.78113208 116.21886792] ; [  2.21886792 144.78113208],0
d4,1,0.218126,1.516655,[90 28] ; [100  44],[85.57251908 32.42748092] ; [104.42748092  39.57251908],0
n3,1,0.250575,1.320092,[24  9] ; [34 22],[21.50561798 11.49438202] ; [36.49438202 19.50561798],0
s1,1,0.330879,0.945455,[  6 111] ; [  4 139],[  4.5 112.5] ; [  5.5 137.5],0
u3,1,0.437651,0.602433,[13 13] ; [25 36],[11.35632184 14.64367816] ; [26.64367816 34.35632184],0
n1,1,0.487817,0.481338,[15 17] ; [22 34],[13.45454545 18.54545455] ; [23.54545455 32.45454545],0
d5,1,0.488646,0.479506,[87 31] ; [102  44],[84.47727273 33.52272727] ; [104.52272727  41.47727273],0
p8,1,0.495475,0.464616,[38 76] ; [ 42 101],[35.48638132 78.51361868] ; [44.51361868 98.48638132],0
p5,1,0.496541,0.462321,[  5 112] ; [  4 142],[  4.00380228 112.99619772] ; [  4.99619772 141.00380228],0
u2,1,0.550668,0.356122,[12 13] ; [25 36],[10.75581395 14.24418605] ; [26.24418605 34.75581395],0
a1,1,0.559521,0.340533,[  6 112] ; [ 10 137],[  7.1245283 110.8754717] ; [  8.8754717 138.1245283],0
d2,1,0.600189,0.274711,[49 69] ; [64 79],[51.08812261 66.91187739] ; [61.91187739 81.08812261],0
b1,1,0.619218,0.246968,[47 71] ; [63 84],[48.98113208 69.01886792] ; [61.01886792 85.98113208],0
n4,1,0.62841,0.234223,[99 19] ; [120  27],[97.51698113 20.48301887] ; [121.48301887  25.51698113],0
a8,1,0.640351,0.218284,[20 90] ; [ 22 116],[18.62903226 91.37096774] ; [ 23.37096774 114.62903226],0
d3,1,0.670347,0.181197,[69 49] ; [81 64],[67.30038023 50.69961977] ; [82.69961977 62.30038023],0
a2,1,0.725723,0.123075,[27 91] ; [ 31 116],[25.82641509 92.17358491] ; [ 32.17358491 114.82641509],0
s4,1,0.770903,0.084794,[ 16 100] ; [ 22 124],[16.82442748 99.17557252] ; [ 21.17557252 124.82442748],0
p1,1,0.778919,0.078809,[ 10 108] ; [ 11 135],[  9.38636364 108.61363636] ; [ 11.61363636 134.38636364],0
p12,1,0.871865,0.026014,[  7 110] ; [  8 137],[  6.69847328 110.30152672] ; [  8.30152672 136.69847328],0
a6,1,0.892703,0.018194,[76 41] ; [96 50],[76.51711027 40.48288973] ; [95.48288973 50.51711027],0
b4,1,0.936857,0.006276,[68 50] ; [84 63],[67.68301887 50.31698113] ; [84.31698113 62.68301887],0
a7,1,0.94903,0.004086,[74 44] ; [91 55],[73.75 44.25] ; [91.25 54.75],0
d1,1,0.957507,0.002839,[55 63] ; [69 78],[55.21509434 62.78490566] ; [68.78490566 78.21509434],0
a4,1,0.968543,0.001555,[47 70] ; [59 87],[47.15589354 69.84410646] ; [58.84410646 87.15589354],0
u1,1,0.991311,0.000119,[ 16 102] ; [ 20 127],[ 16.03018868 101.96981132] ; [ 19.96981132 127.03018868],0
