Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,5.1e-05,16.414734,[4 7] ; [45  5],[8.83606557 2.16393443] ; [40.16393443  9.83606557],1
p6,1,0.000222,13.632166,[ 2 10] ; [37 13],[7.5483871 4.4516129] ; [31.4516129 18.5483871],1
v3,1,0.000666,11.580882,[3 9] ; [39 12],[8. 4.] ; [34. 17.],1
s8,1,0.006393,7.435978,[3 9] ; [34 16],[7.16129032 4.83870968] ; [29.83870968 20.16129032],0
r4,1,0.031375,4.632353,[10  2] ; [50  1],[11.42857143  0.57142857] ; [48.57142857  2.42857143],0
d2,1,0.053764,3.72,[9 3] ; [22 28],[6. 6.] ; [25. 25.],0
p4,1,0.069417,3.296758,[8 3] ; [46  4],[9.73770492 1.26229508] ; [44.26229508  5.73770492],0
p10,1,0.0808,3.048743,[9 2] ; [49  2],[10.29032258  0.70967742] ; [47.70967742  3.29032258],0
p12,1,0.08456,2.975,[ 1 11] ; [17 34],[3.42857143 8.57142857] ; [14.57142857 36.42857143],0
p9,1,0.103303,2.653789,[10  2] ; [49  2],[11.23809524  0.76190476] ; [47.76190476  3.23809524],0
s2,1,0.13109,2.279549,[6 6] ; [37 14],[8.19047619 3.80952381] ; [34.80952381 16.19047619],0
b5,1,0.142172,2.154288,[7 5] ; [18 33],[4.76190476 7.23809524] ; [20.23809524 30.76190476],0
p2,1,0.154882,2.023496,[9 3] ; [46  5],[10.47619048  1.52380952] ; [44.52380952  6.47619048],0
s7,1,0.176667,1.825439,[6 5] ; [36 12],[7.83050847 3.16949153] ; [34.16949153 13.83050847],0
v2,1,0.223278,1.483175,[6 6] ; [35 16],[7.80952381 4.19047619] ; [33.19047619 17.80952381],0
s3,1,0.241874,1.369636,[6 6] ; [34 16],[7.74193548 4.25806452] ; [32.25806452 17.74193548],0
d3,1,0.242156,1.367997,[10  2] ; [33 17],[8.32258065 3.67741935] ; [34.67741935 15.32258065],0
s1,1,0.25727,1.28339,[ 1 11] ; [ 1 50],[ 0.38095238 11.61904762] ; [ 1.61904762 49.38095238],0
a7,1,0.264397,1.245588,[7 5] ; [38 13],[8.57142857 3.42857143] ; [36.42857143 14.57142857],0
a6,1,0.277597,1.178816,[9 3] ; [29 21],[7.35483871 4.64516129] ; [30.64516129 19.35483871],0
r1,1,0.336238,0.924723,[9 3] ; [44  7],[10.0952381  1.9047619] ; [42.9047619  8.0952381],0
a5,1,0.336238,0.924723,[9 3] ; [44  7],[10.0952381  1.9047619] ; [42.9047619  8.0952381],0
r2,1,0.34883,0.877709,[10  2] ; [47  4],[10.85714286  1.14285714] ; [46.14285714  4.85714286],0
p11,1,0.34883,0.877709,[10  2] ; [47  4],[10.85714286  1.14285714] ; [46.14285714  4.85714286],0
a1,1,0.354629,0.856823,[ 1 11] ; [10 41],[2.0952381 9.9047619] ; [ 8.9047619 42.0952381],0
p1,1,0.370828,0.800888,[ 2 10] ; [15 36],[3.23809524 8.76190476] ; [13.76190476 37.23809524],0
a4,1,0.389284,0.741176,[4 8] ; [24 27],[5.33333333 6.66666667] ; [22.66666667 28.33333333],0
b1,1,0.416822,0.659257,[6 6] ; [19 32],[4.76190476 7.23809524] ; [20.23809524 30.76190476],0
a2,1,0.426971,0.631049,[ 1 11] ; [ 9 42],[ 1.9047619 10.0952381] ; [ 8.0952381 42.9047619],0
b4,1,0.496116,0.463235,[9 3] ; [33 18],[8. 4.] ; [34. 17.],0
r3,1,0.518482,0.416912,[11  1] ; [49  2],[11.42857143  0.57142857] ; [48.57142857  2.42857143],0
v4,1,0.518482,0.416912,[11  1] ; [49  2],[11.42857143  0.57142857] ; [48.57142857  2.42857143],0
n6,1,0.529864,0.394652,[11  1] ; [48  2],[11.41935484  0.58064516] ; [47.58064516  2.41935484],0
s4,1,0.564747,0.331551,[2 9] ; [ 6 45],[1.41935484 9.58064516] ; [ 6.58064516 44.41935484],0
u1,1,0.61373,0.254779,[ 1 11] ; [ 7 44],[ 1.52380952 10.47619048] ; [ 6.47619048 44.52380952],0
b2,1,0.637458,0.222082,[4 6] ; [16 17],[4.65116279 5.34883721] ; [15.34883721 17.65116279],0
b3,1,0.637458,0.222082,[4 6] ; [16 17],[4.65116279 5.34883721] ; [15.34883721 17.65116279],0
s6,1,0.66498,0.187531,[10  2] ; [44  6],[10.4516129  1.5483871] ; [43.5483871  6.4516129],0
v1,1,0.68486,0.164706,[8 4] ; [37 14],[8.57142857 3.42857143] ; [36.42857143 14.57142857],0
a8,1,0.702185,0.146208,[1 9] ; [ 7 41],[1.37931034 8.62068966] ; [ 6.62068966 41.37931034],0
p3,1,0.702391,0.145997,[9 3] ; [40 10],[9.48387097 2.51612903] ; [39.51612903 10.48387097],0
a3,1,0.705775,0.142534,[10  2] ; [40 11],[9.52380952 2.47619048] ; [40.47619048 10.52380952],0
n5,1,0.733625,0.115809,[11  1] ; [45  6],[10.66666667  1.33333333] ; [45.33333333  5.66666667],0
d1,1,0.799596,0.06445,[8 4] ; [32 19],[7.61904762 4.38095238] ; [32.38095238 18.61904762],0
d5,1,0.91354,0.011788,[10  2] ; [41  9],[9.87096774 2.12903226] ; [41.12903226  8.87096774],0
n4,1,0.954926,0.003195,[11  1] ; [47  4],[11.04761905  0.95238095] ; [46.95238095  4.04761905],0
d4,1,0.955034,0.003179,[10  2] ; [42  8],[10.06451613  1.93548387] ; [41.93548387  8.06451613],0
