Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000558,11.911275,[ 3 29] ; [7 5],[ 7.27272727 24.72727273] ; [2.72727273 9.27272727],1
s6,1,0.002417,9.202614,[ 8 24] ; [9 3],[12.36363636 19.63636364] ; [4.63636364 7.36363636],0
p1,1,0.004925,7.906838,[ 1 31] ; [4 8],[ 3.63636364 28.36363636] ; [ 1.36363636 10.63636364],0
p2,1,0.011358,6.408478,[10 21] ; [9 3],[13.69767442 17.30232558] ; [5.30232558 6.69767442],0
s2,1,0.019016,5.5,[ 5 27] ; [6 6],[ 8. 24.] ; [3. 9.],0
p9,1,0.02377,5.11137,[14 17] ; [10  2],[17.30232558 13.69767442] ; [6.69767442 5.30232558],0
n4,1,0.029674,4.72807,[15 17] ; [10  2],[18.18181818 13.81818182] ; [6.81818182 5.18181818],0
p10,1,0.029674,4.72807,[15 17] ; [10  2],[18.18181818 13.81818182] ; [6.81818182 5.18181818],0
p6,1,0.052981,3.74453,[ 3 29] ; [4 8],[ 5.09090909 26.90909091] ; [ 1.90909091 10.09090909],0
s8,1,0.06639,3.370098,[ 5 27] ; [5 7],[ 7.27272727 24.72727273] ; [2.72727273 9.27272727],0
n5,1,0.096264,2.766369,[18 14] ; [10  2],[20.36363636 11.63636364] ; [7.63636364 4.36363636],0
p4,1,0.116732,2.460632,[10 21] ; [7 5],[12.25581395 18.74418605] ; [4.74418605 7.25581395],0
d2,1,0.145607,2.117674,[13 18] ; [8 4],[15.13953488 15.86046512] ; [5.86046512 6.13953488],0
n6,1,0.163208,1.944247,[16 15] ; [9 3],[18.02325581 12.97674419] ; [6.97674419 5.02325581],0
n2,1,0.19446,1.683502,[7 8] ; [4 1],[8.25 6.75] ; [2.75 2.25],0
s3,1,0.195667,1.674424,[ 9 22] ; [6 6],[10.81395349 20.18604651] ; [4.18604651 7.81395349],0
a6,1,0.241768,1.370255,[15 17] ; [8 4],[16.72727273 15.27272727] ; [6.27272727 5.72727273],0
v1,1,0.249537,1.325893,[10 22] ; [6 6],[11.63636364 20.36363636] ; [4.36363636 7.63636364],0
p11,1,0.249537,1.325893,[10 22] ; [6 6],[11.63636364 20.36363636] ; [4.36363636 7.63636364],0
n1,1,0.291841,1.111111,[ 5 10] ; [3 2],[6. 9.] ; [2. 3.],0
r2,1,0.359397,0.84,[18 12] ; [9 3],[19.28571429 10.71428571] ; [7.71428571 4.28571429],0
p7,1,0.38536,0.753532,[11 17] ; [3 9],[ 9.8 18.2] ; [4.2 7.8],0
u2,1,0.416448,0.660317,[4 6] ; [2 1],[4.61538462 5.38461538] ; [1.38461538 1.61538462],0
a5,1,0.435959,0.606897,[20 12] ; [9 3],[21.09090909 10.90909091] ; [7.90909091 4.09090909],0
v4,1,0.435959,0.606897,[20 12] ; [9 3],[21.09090909 10.90909091] ; [7.90909091 4.09090909],0
b3,1,0.444549,0.584512,[ 7 14] ; [2 8],[ 6.09677419 14.90322581] ; [2.90322581 7.09677419],0
b2,1,0.444549,0.584512,[ 7 14] ; [2 8],[ 6.09677419 14.90322581] ; [2.90322581 7.09677419],0
p12,1,0.460107,0.545635,[ 1 31] ; [ 1 11],[ 1.45454545 30.54545455] ; [ 0.54545455 11.45454545],0
a1,1,0.497305,0.460684,[ 3 29] ; [ 2 10],[ 3.63636364 28.36363636] ; [ 1.36363636 10.63636364],0
p3,1,0.500858,0.453118,[12 19] ; [6 6],[12.97674419 18.02325581] ; [5.02325581 6.97674419],0
a2,1,0.530201,0.394006,[ 5 27] ; [ 1 11],[ 4.36363636 27.63636364] ; [ 1.63636364 10.36363636],0
