Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,80.318893,[340  38] ; [33 38],[314.01781737  63.98218263] ; [58.98218263 12.01781737],1
n6,1,0.0,33.042755,[349  29] ; [48 22],[334.96875  43.03125] ; [62.03125  7.96875],1
d2,1,0.000523,12.033429,[213 166] ; [24 47],[199.60666667 179.39333333] ; [37.39333333 33.60666667],1
r4,1,0.001601,9.958946,[354  26] ; [58 13],[347.13968958  32.86031042] ; [64.86031042  6.13968958],0
a5,1,0.003401,8.578962,[310  70] ; [47 24],[300.79822616  79.20177384] ; [56.20177384 14.79822616],0
v1,1,0.004304,8.150784,[236 133] ; [31 37],[225.45308924 143.54691076] ; [41.54691076 26.45308924],0
v3,1,0.004375,8.121172,[166 198] ; [18 49],[155.39675174 208.60324826] ; [28.60324826 38.39675174],0
d1,1,0.004539,8.054626,[259 121] ; [36 35],[248.55875831 131.44124169] ; [46.44124169 24.55875831],0
d5,1,0.008656,6.892381,[329  50] ; [53 18],[321.72888889  57.27111111] ; [60.27111111 10.72888889],0
a2,1,0.013015,6.167135,[107 273] ; [10 61],[ 98.58093126 281.41906874] ; [18.41906874 52.58093126],0
u1,1,0.016348,5.765007,[ 85 295] ; [ 7 64],[ 77.51662971 302.48337029] ; [14.48337029 56.51662971],0
r1,1,0.02305,5.164758,[318  60] ; [51 19],[311.34375  66.65625] ; [57.65625 12.34375],0
a4,1,0.028338,4.807383,[192 186] ; [26 45],[183.52783964 194.47216036] ; [34.47216036 36.52783964],0
p9,1,0.042548,4.113278,[348  30] ; [60 11],[343.48329621  34.51670379] ; [64.51670379  6.48329621],0
p10,1,0.043381,4.080486,[347  30] ; [60 11],[342.49776786  34.50223214] ; [64.50223214  6.49776786],0
r2,1,0.045276,4.008345,[355  19] ; [63  8],[351.30786517  22.69213483] ; [66.69213483  4.30786517],0
a3,1,0.046242,3.972768,[289  91] ; [46 25],[282.2616408  97.7383592] ; [52.7383592 18.2616408],0
p3,1,0.053543,3.726885,[268 111] ; [42 29],[261.08888889 117.91111111] ; [48.91111111 22.08888889],0
p6,1,0.077559,3.115325,[196 179] ; [29 42],[189.18161435 185.81838565] ; [35.81838565 35.18161435],0
r3,1,0.084824,2.969966,[367  11] ; [66  5],[364.53006682  13.46993318] ; [68.46993318  2.53006682],0
a1,1,0.086203,2.943884,[ 25 355] ; [ 1 70],[ 21.90687361 358.09312639] ; [ 4.09312639 66.90687361],0
u2,1,0.117749,2.44701,[53 37] ; [19  6],[56.34782609 33.65217391] ; [15.65217391  9.34782609],0
s7,1,0.122984,2.378904,[205 158] ; [31 36],[199.22790698 163.77209302] ; [36.77209302 30.22790698],0
s4,1,0.13068,2.284408,[ 57 316] ; [16 55],[ 61.32657658 311.67342342] ; [11.67342342 59.32657658],0
s8,1,0.132283,2.265509,[196 181] ; [30 41],[190.18303571 186.81696429] ; [35.81696429 35.18303571],0
p1,1,0.157368,1.999339,[ 43 336] ; [ 4 66],[ 39.67260579 339.32739421] ; [ 7.32739421 62.67260579],0
n2,1,0.182565,1.776623,[39 16] ; [18  3],[41.25 13.75] ; [15.75  5.25],0
p2,1,0.20953,1.57467,[347  31] ; [61  9],[344.25  33.75] ; [63.75  6.25],0
d4,1,0.212903,1.551577,[326  53] ; [57 14],[322.57111111  56.42888889] ; [60.42888889 10.57111111],0
s2,1,0.238168,1.391403,[207 166] ; [34 37],[202.46171171 170.53828829] ; [38.53828829 32.46171171],0
s6,1,0.244733,1.353124,[270 100] ; [47 24],[265.96371882 104.03628118] ; [51.03628118 19.96371882],0
p12,1,0.281019,1.162157,[ 43 336] ; [ 5 66],[ 40.42666667 338.57333333] ; [ 7.57333333 63.42666667],0
a8,1,0.310869,1.026982,[ 50 295] ; [ 6 56],[ 47.46928747 297.53071253] ; [ 8.53071253 53.46928747],0
p7,1,0.322883,0.977231,[285  90] ; [57 13],[288.20224719  86.79775281] ; [53.79775281 16.20224719],0
b1,1,0.335555,0.927342,[146 234] ; [23 48],[142.39467849 237.60532151] ; [26.60532151 44.39467849],0
u3,1,0.356029,0.851852,[52 38] ; [17  8],[54. 36.] ; [15. 10.],0
s3,1,0.368394,0.809075,[217 153] ; [37 33],[213.59090909 156.40909091] ; [40.40909091 29.59090909],0
a6,1,0.385283,0.753778,[271 109] ; [47 24],[267.93791574 112.06208426] ; [50.06208426 20.93791574],0
p5,1,0.387366,0.747195,[ 69 307] ; [10 61],[ 66.45190157 309.54809843] ; [12.54809843 58.45190157],0
b5,1,0.53338,0.387949,[215 165] ; [43 28],[217.38359202 162.61640798] ; [40.61640798 30.38359202],0
u4,1,0.537917,0.379414,[ 10 369] ; [ 1 70],[  9.26444444 369.73555556] ; [ 1.73555556 69.26444444],0
v4,1,0.56414,0.332586,[365  11] ; [68  3],[364.22371365  11.77628635] ; [68.77628635  2.22371365],0
v2,1,0.579441,0.307139,[222 146] ; [38 29],[219.95402299 148.04597701] ; [40.04597701 26.95402299],0
b3,1,0.585545,0.297356,[106 152] ; [15 26],[104.40802676 153.59197324] ; [16.59197324 24.40802676],0
b2,1,0.585545,0.297356,[106 152] ; [15 26],[104.40802676 153.59197324] ; [16.59197324 24.40802676],0
b4,1,0.604877,0.267703,[223 157] ; [44 27],[224.96674058 155.03325942] ; [42.03325942 28.96674058],0
s5,1,0.633699,0.227077,[138 227] ; [24 45],[136.24423963 228.75576037] ; [25.75576037 43.24423963],0
p8,1,0.687927,0.161339,[258 118] ; [47 24],[256.55480984 119.44519016] ; [48.44519016 22.55480984],0
