Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,23.904605,[61 11] ; [25 32],[48. 24.] ; [38. 19.],1
n6,1,0.007265,7.20631,[52 20] ; [28 29],[44.65116279 27.34883721] ; [35.34883721 21.65116279],0
d4,1,0.022232,5.227514,[42 28] ; [45 12],[47.95275591 22.04724409] ; [39.04724409 17.95275591],0
a1,1,0.023421,5.137036,[ 9 63] ; [ 1 56],[ 5.58139535 66.41860465] ; [ 4.41860465 52.58139535],0
s6,1,0.02723,4.87619,[33 39] ; [15 41],[27. 45.] ; [21. 35.],0
r3,1,0.06722,3.349638,[50 21] ; [48  9],[54.359375 16.640625] ; [43.640625 13.359375],0
p1,1,0.114841,2.486306,[ 8 64] ; [ 2 54],[ 5.625 66.375] ; [ 4.375 51.625],0
a8,1,0.120054,2.416621,[ 7 57] ; [ 2 55],[ 4.76033058 59.23966942] ; [ 4.23966942 52.76033058],0
v3,1,0.127353,2.324476,[25 47] ; [12 42],[21.14285714 50.85714286] ; [15.85714286 38.14285714],0
s8,1,0.155242,2.019968,[16 56] ; [ 7 49],[12.9375 59.0625] ; [10.0625 45.9375],0
d2,1,0.160284,1.971541,[37 33] ; [23 34],[33.07086614 36.92913386] ; [26.92913386 30.07086614],0
n3,1,0.195964,1.672204,[14 13] ; [18  8],[16.30188679 10.69811321] ; [15.69811321 10.30188679],0
a6,1,0.229436,1.444357,[43 29] ; [28 29],[39.62790698 32.37209302] ; [31.37209302 25.62790698],0
r2,1,0.262015,1.258079,[62 10] ; [44 12],[59.625 12.375] ; [46.375  9.625],0
d5,1,0.305295,1.050922,[47 25] ; [42 15],[49.6744186 22.3255814] ; [39.3255814 17.6744186],0
s3,1,0.338624,0.915636,[30 41] ; [19 37],[27.39370079 43.60629921] ; [21.60629921 34.39370079],0
u3,1,0.340107,0.910027,[14 18] ; [12  9],[15.69811321 16.30188679] ; [10.30188679 10.69811321],0
u1,1,0.367933,0.810634,[10 62] ; [ 5 52],[ 8.37209302 63.62790698] ; [ 6.62790698 50.37209302],0
a7,1,0.370607,0.801627,[38 33] ; [35 22],[40.4921875 30.5078125] ; [32.5078125 24.4921875],0
b2,1,0.416436,0.660352,[19 31] ; [10 24],[17.26190476 32.73809524] ; [11.73809524 22.26190476],0
b3,1,0.416436,0.660352,[19 31] ; [10 24],[17.26190476 32.73809524] ; [11.73809524 22.26190476],0
a3,1,0.434921,0.609646,[40 31] ; [36 21],[42.15625 28.84375] ; [33.84375 23.15625],0
p6,1,0.442828,0.588943,[ 7 64] ; [ 8 48],[ 8.38582677 62.61417323] ; [ 6.61417323 49.38582677],0
d3,1,0.443021,0.588446,[33 39] ; [30 27],[35.1627907 36.8372093] ; [27.8372093 29.1627907],0
p7,1,0.454399,0.559656,[23 48] ; [15 42],[21.078125 49.921875] ; [16.921875 40.078125],0
s5,1,0.469974,0.522037,[15 56] ; [ 9 47],[13.41732283 57.58267717] ; [10.58267717 45.41732283],0
p3,1,0.549937,0.357431,[16 56] ; [15 41],[17.4375 54.5625] ; [13.5625 42.4375],0
n1,1,0.563005,0.334528,[ 9 16] ; [ 8 20],[ 8.01886792 16.98113208] ; [ 8.98113208 19.01886792],0
b5,1,0.569075,0.324233,[39 33] ; [28 29],[37.39534884 34.60465116] ; [29.60465116 27.39534884],0
p4,1,0.572611,0.318334,[18 53] ; [17 40],[19.4140625 51.5859375] ; [15.5859375 41.4140625],0
v4,1,0.605267,0.267124,[53 18] ; [44 12],[54.22834646 16.77165354] ; [42.77165354 13.22834646],0
s2,1,0.611707,0.257697,[20 50] ; [14 43],[18.74015748 51.25984252] ; [15.25984252 41.74015748],0
b1,1,0.703418,0.144941,[38 34] ; [32 25],[39.06976744 32.93023256] ; [30.93023256 26.06976744],0
p11,1,0.703418,0.144941,[34 38] ; [25 32],[32.93023256 39.06976744] ; [26.06976744 30.93023256],0
s1,1,0.707956,0.140327,[ 6 64] ; [ 6 51],[ 6.61417323 63.38582677] ; [ 5.38582677 51.61417323],0
d1,1,0.711499,0.136784,[28 44] ; [24 33],[29.02325581 42.97674419] ; [22.97674419 34.02325581],0
p10,1,0.725097,0.123662,[14 56] ; [10 47],[13.22834646 56.77165354] ; [10.77165354 46.22834646],0
a5,1,0.734917,0.114645,[37 35] ; [31 26],[37.95348837 34.04651163] ; [30.04651163 26.95348837],0
v2,1,0.752947,0.099072,[24 45] ; [21 35],[24.84 44.16] ; [20.16 35.84],0
s7,1,0.758063,0.09488,[16 52] ; [13 37],[16.71186441 51.28813559] ; [12.28813559 37.71186441],0
a4,1,0.782831,0.075973,[29 41] ; [25 32],[29.76377953 40.23622047] ; [24.23622047 32.76377953],0
s4,1,0.81765,0.053162,[11 60] ; [ 8 49],[10.5390625 60.4609375] ; [ 8.4609375 48.5390625],0
p2,1,0.862186,0.030134,[33 39] ; [27 30],[33.48837209 38.51162791] ; [26.51162791 30.48837209],0
r4,1,0.868751,0.027306,[47 25] ; [38 19],[47.44186047 24.55813953] ; [37.55813953 19.44186047],0
n2,1,0.87361,0.025305,[16 12] ; [16 11],[16.29090909 11.70909091] ; [15.70909091 11.29090909],0
b4,1,0.898603,0.016238,[45 27] ; [35 22],[44.65116279 27.34883721] ; [35.34883721 21.65116279],0
r1,1,0.928465,0.00806,[50 22] ; [40 17],[50.23255814 21.76744186] ; [39.76744186 17.23255814],0
a2,1,0.939893,0.005686,[13 59] ; [10 47],[12.8372093 59.1627907] ; [10.1627907 46.8372093],0
u2,1,0.973042,0.001142,[13 17] ; [ 9 12],[12.94117647 17.05882353] ; [ 9.05882353 11.94117647],0
v1,1,1.0,0.0,[24 48] ; [19 38],[24. 48.] ; [19. 38.],0
