Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000483,12.180451,[17 10] ; [21 60],[ 9.5 17.5] ; [28.5 52.5],1
s5,1,0.001194,10.5,[15 10] ; [20 60],[ 8.33333333 16.66666667] ; [26.66666667 53.33333333],0
p1,1,0.003026,8.791963,[ 6 21] ; [ 3 76],[ 2.29245283 24.70754717] ; [ 6.70754717 72.29245283],0
s6,1,0.003427,8.564903,[24  3] ; [47 34],[17.75  9.25] ; [53.25 27.75],0
s7,1,0.012502,6.238294,[16  9] ; [27 49],[10.64356436 14.35643564] ; [32.35643564 43.64356436],0
b4,1,0.01796,5.6,[21  6] ; [42 39],[15.75 11.25] ; [47.25 33.75],0
s3,1,0.039443,4.241691,[19  8] ; [38 42],[14.38317757 12.61682243] ; [42.61682243 37.38317757],0
s2,1,0.095524,2.778731,[17 10] ; [36 45],[13.25 13.75] ; [39.75 41.25],0
r2,1,0.098137,2.735562,[26  1] ; [68 13],[23.5  3.5] ; [70.5 10.5],0
p7,1,0.098776,2.725202,[22  4] ; [55 26],[18.71028037  7.28971963] ; [58.28971963 22.71028037],0
d5,1,0.103185,2.655609,[23  4] ; [56 25],[19.75  7.25] ; [59.25 21.75],0
v2,1,0.110472,2.54746,[10 16] ; [43 33],[13.50980392 12.49019608] ; [39.49019608 36.50980392],0
p3,1,0.217717,1.519358,[18  9] ; [43 38],[15.25 11.75] ; [45.75 35.25],0
p5,1,0.244083,1.356855,[ 1 26] ; [ 9 71],[ 2.52336449 24.47663551] ; [ 7.47663551 72.52336449],0
n1,1,0.271067,1.21134,[5 6] ; [ 7 19],[3.56756757 7.43243243] ; [ 8.43243243 17.56756757],0
v1,1,0.303757,1.057627,[ 9 17] ; [36 42],[11.25 14.75] ; [33.75 44.25],0
n6,1,0.325646,0.966133,[19  7] ; [50 30],[16.9245283  9.0754717] ; [52.0754717 27.9245283],0
p9,1,0.32729,0.95959,[18  9] ; [61 19],[19.93457944  7.06542056] ; [59.06542056 20.93457944],0
b1,1,0.365712,0.818182,[13 14] ; [31 50],[11. 16.] ; [33. 48.],0
v3,1,0.380557,0.7689,[ 5 20] ; [22 54],[ 6.68316832 18.31683168] ; [20.31683168 55.68316832],0
d3,1,0.38998,0.739003,[21  6] ; [56 25],[19.25  7.75] ; [57.75 23.25],0
p11,1,0.412533,0.671488,[16 11] ; [55 26],[17.75  9.25] ; [53.25 27.75],0
u2,1,0.420113,0.65,[5 4] ; [21  9],[6. 3.] ; [20. 10.],0
a4,1,0.422931,0.642155,[12 15] ; [29 52],[10.25 16.75] ; [30.75 50.25],0
n2,1,0.430684,0.620979,[9 2] ; [18  8],[8.02702703 2.97297297] ; [18.97297297  7.02702703],0
a2,1,0.445619,0.581771,[ 3 24] ; [14 67],[ 4.25 22.75] ; [12.75 68.25],0
n5,1,0.448863,0.57352,[12 15] ; [29 51],[10.34579439 16.65420561] ; [30.65420561 49.34579439],0
a7,1,0.45675,0.553846,[18  9] ; [60 21],[19.5  7.5] ; [58.5 22.5],0
b3,1,0.458871,0.548648,[ 4 13] ; [14 28],[ 5.18644068 11.81355932] ; [12.81355932 29.18644068],0
b2,1,0.458871,0.548648,[ 4 13] ; [14 28],[ 5.18644068 11.81355932] ; [12.81355932 29.18644068],0
a6,1,0.494125,0.467532,[15 12] ; [51 30],[16.5 10.5] ; [49.5 31.5],0
d4,1,0.510162,0.433735,[22  5] ; [61 20],[20.75  6.25] ; [62.25 18.75],0
v4,1,0.546494,0.363636,[24  3] ; [75  6],[24.75  2.25] ; [74.25  6.75],0
p2,1,0.57309,0.317539,[22  5] ; [61 19],[20.94392523  6.05607477] ; [62.05607477 17.94392523],0
p12,1,0.627626,0.235294,[ 1 26] ; [ 5 76],[ 1.5 25.5] ; [ 4.5 76.5],0
a3,1,0.645388,0.211765,[18  9] ; [50 31],[17. 10.] ; [51. 30.],0
d2,1,0.645388,0.211765,[11 16] ; [29 52],[10. 17.] ; [30. 51.],0
d1,1,0.656501,0.197802,[14 13] ; [38 43],[13. 14.] ; [39. 42.],0
r4,1,0.683936,0.165729,[22  5] ; [63 18],[21.25  5.75] ; [63.75 17.25],0
r3,1,0.701478,0.146939,[25  2] ; [73  8],[24.5  2.5] ; [73.5  7.5],0
a5,1,0.721763,0.12681,[19  8] ; [54 27],[18.25  8.75] ; [54.75 26.25],0
u3,1,0.739805,0.110298,[6 3] ; [21  8],[6.39473684 2.60526316] ; [20.60526316  8.39473684],0
r1,1,0.745724,0.10516,[18  9] ; [56 24],[18.6728972  8.3271028] ; [55.3271028 24.6728972],0
s1,1,0.791478,0.069903,[ 1 26] ; [ 4 77],[ 1.25 25.75] ; [ 3.75 77.25],0
s8,1,0.819708,0.051948,[11 16] ; [31 50],[10.5 16.5] ; [31.5 49.5],0
u1,1,0.854262,0.033739,[ 3 24] ; [ 8 73],[ 2.75 24.25] ; [ 8.25 72.75],0
p8,1,0.872786,0.025639,[16 11] ; [46 34],[15.64485981 11.35514019] ; [46.35514019 33.64485981],0
n3,1,0.884483,0.021109,[8 3] ; [19  8],[7.81578947 3.18421053] ; [19.18421053  7.81578947],0
p10,1,0.930574,0.00759,[19  8] ; [57 23],[19.17757009  7.82242991] ; [56.82242991 23.17757009],0
a1,1,1.0,0.0,[ 1 26] ; [ 3 78],[ 1. 26.] ; [ 3. 78.],0
b5,1,1.0,0.0,[16 11] ; [48 33],[16. 11.] ; [48. 33.],0
