Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,9.2e-05,15.301149,[8 2] ; [ 4 25],[3.07692308 6.92307692] ; [ 8.92307692 20.07692308],1
p2,1,0.009568,6.713659,[6 4] ; [ 5 24],[2.82051282 7.17948718] ; [ 8.17948718 20.82051282],0
v1,1,0.020203,5.394253,[6 4] ; [ 6 23],[3.07692308 6.92307692] ; [ 8.92307692 20.07692308],0
r3,1,0.050802,3.81478,[7 3] ; [10 19],[4.35897436 5.64102564] ; [12.64102564 16.35897436],0
p7,1,0.07571,3.154669,[5 5] ; [ 6 23],[2.82051282 7.17948718] ; [ 8.17948718 20.82051282],0
n6,1,0.0765,3.137735,[5 4] ; [ 7 22],[2.84210526 6.15789474] ; [ 9.15789474 19.84210526],0
s7,1,0.134842,2.235853,[3 6] ; [ 3 23],[1.54285714 7.45714286] ; [ 4.45714286 21.54285714],0
p6,1,0.151095,2.061161,[3 7] ; [ 3 25],[1.57894737 8.42105263] ; [ 4.42105263 23.57894737],0
u3,1,0.201352,1.63254,[1 2] ; [ 1 13],[0.35294118 2.64705882] ; [ 1.64705882 12.35294118],0
d3,1,0.224898,1.472838,[6 4] ; [11 18],[4.35897436 5.64102564] ; [12.64102564 16.35897436],0
r4,1,0.227844,1.454269,[4 6] ; [ 6 23],[2.56410256 7.43589744] ; [ 7.43589744 21.56410256],0
b4,1,0.234713,1.412069,[7 3] ; [14 15],[5.38461538 4.61538462] ; [15.61538462 13.38461538],0
a6,1,0.234713,1.412069,[3 7] ; [15 14],[4.61538462 5.38461538] ; [13.38461538 15.61538462],0
n3,1,0.243216,1.361855,[2 1] ; [ 5 11],[1.10526316 1.89473684] ; [ 5.89473684 10.10526316],0
s3,1,0.314956,1.009779,[5 5] ; [ 9 19],[3.68421053 6.31578947] ; [10.31578947 17.68421053],0
p3,1,0.336449,0.923914,[4 6] ; [ 7 22],[2.82051282 7.17948718] ; [ 8.17948718 20.82051282],0
n2,1,0.347756,0.881629,[2 1] ; [ 6 10],[1.26315789 1.73684211] ; [6.73684211 9.26315789],0
a4,1,0.35879,0.842125,[2 8] ; [10 18],[3.15789474 6.84210526] ; [ 8.84210526 19.15789474],0
a3,1,0.366403,0.815828,[7 3] ; [15 13],[5.78947368 4.21052632] ; [16.21052632 11.78947368],0
d5,1,0.407818,0.685154,[4 6] ; [16 13],[5.12820513 4.87179487] ; [14.87179487 14.12820513],0
s8,1,0.417955,0.656058,[1 9] ; [ 1 28],[0.51282051 9.48717949] ; [ 1.48717949 27.51282051],0
a8,1,0.430972,0.620203,[2 8] ; [ 3 26],[1.28205128 8.71794872] ; [ 3.71794872 25.28205128],0
a1,1,0.447508,0.576955,[1 9] ; [ 6 23],[1.79487179 8.20512821] ; [ 5.20512821 23.79487179],0
p8,1,0.455869,0.556017,[2 8] ; [ 3 25],[1.31578947 8.68421053] ; [ 3.68421053 24.31578947],0
p4,1,0.463291,0.537931,[4 6] ; [ 8 21],[3.07692308 6.92307692] ; [ 8.92307692 20.07692308],0
n4,1,0.463291,0.537931,[6 4] ; [21  8],[6.92307692 3.07692308] ; [20.07692308  8.92307692],0
a7,1,0.522421,0.409111,[6 4] ; [14 15],[5.12820513 4.87179487] ; [14.87179487 14.12820513],0
v2,1,0.546788,0.363103,[3 7] ; [ 6 23],[2.30769231 7.69230769] ; [ 6.69230769 22.30769231],0
s4,1,0.584177,0.29953,[1 9] ; [ 5 24],[1.53846154 8.46153846] ; [ 4.46153846 24.53846154],0
s6,1,0.584191,0.299507,[3 6] ; [ 7 22],[2.36842105 6.63157895] ; [ 7.63157895 21.36842105],0
p1,1,0.638992,0.220063,[2 8] ; [ 4 25],[1.53846154 8.46153846] ; [ 4.46153846 24.53846154],0
s1,1,0.638992,0.220063,[2 8] ; [ 4 25],[1.53846154 8.46153846] ; [ 4.46153846 24.53846154],0
s2,1,0.714301,0.134019,[3 7] ; [ 7 22],[2.56410256 7.43589744] ; [ 7.43589744 21.56410256],0
d2,1,0.725622,0.123169,[4 6] ; [13 15],[4.47368421 5.52631579] ; [12.52631579 15.47368421],0
n1,1,0.737369,0.112453,[1 2] ; [7 9],[1.26315789 1.73684211] ; [6.73684211 9.26315789],0
r2,1,0.748737,0.102595,[6 3] ; [17 11],[5.59459459 3.40540541] ; [17.40540541 10.59459459],0
v3,1,0.749543,0.101916,[2 8] ; [ 7 21],[2.36842105 7.63157895] ; [ 6.63157895 21.36842105],0
a2,1,0.757027,0.09572,[1 9] ; [ 4 25],[1.28205128 8.71794872] ; [ 3.71794872 25.28205128],0
