Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2.5e-05,17.793495,[21 23] ; [44  6],[30.42553191 13.57446809] ; [34.57446809 15.42553191],1
r4,1,0.000103,15.081397,[15 29] ; [37 13],[24.34042553 19.65957447] ; [27.65957447 22.34042553],1
s6,1,0.000201,13.823436,[ 9 34] ; [29 20],[17.76086957 25.23913043] ; [20.23913043 28.76086957],1
s8,1,0.000614,11.733989,[ 2 42] ; [16 33],[ 8.51612903 35.48387097] ; [ 9.48387097 39.51612903],1
u1,1,0.013599,6.08945,[ 1 43] ; [ 9 41],[ 4.68085106 39.31914894] ; [ 5.31914894 44.68085106],0
b5,1,0.015473,5.861796,[19 25] ; [34 16],[24.80851064 19.19148936] ; [28.19148936 21.80851064],0
n5,1,0.026392,4.930148,[19 25] ; [33 17],[24.34042553 19.65957447] ; [27.65957447 22.34042553],0
s5,1,0.030028,4.707668,[ 4 36] ; [14 35],[ 8.08988764 31.91011236] ; [ 9.91011236 39.08988764],0
p6,1,0.039262,4.249481,[ 3 40] ; [11 38],[ 6.54347826 36.45652174] ; [ 7.45652174 41.54347826],0
n2,1,0.046857,3.950532,[11 14] ; [16  6],[14.36170213 10.63829787] ; [12.63829787  9.36170213],0
r3,1,0.048364,3.897307,[23 21] ; [36 14],[27.61702128 16.38297872] ; [31.38297872 18.61702128],0
s7,1,0.071105,3.257328,[ 7 32] ; [16 29],[10.67857143 28.32142857] ; [12.32142857 32.67857143],0
p10,1,0.072998,3.214286,[10 32] ; [20 28],[14. 28.] ; [16. 32.],0
v2,1,0.086324,2.941628,[12 30] ; [23 27],[15.97826087 26.02173913] ; [19.02173913 30.97826087],0
r2,1,0.109951,2.554928,[32 11] ; [42  6],[34.96703297  8.03296703] ; [39.03296703  8.96703297],0
s1,1,0.139929,2.178744,[ 8 36] ; [ 4 46],[ 5.61702128 38.38297872] ; [ 6.38297872 43.61702128],0
a1,1,0.139929,2.178744,[ 8 36] ; [ 4 46],[ 5.61702128 38.38297872] ; [ 6.38297872 43.61702128],0
