Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.3e-05,18.945647,[111 159] ; [48 20],[127.01183432 142.98816568] ; [31.98816568 36.01183432],1
s3,1,8.4e-05,15.466366,[138 130] ; [53 15],[152.3452381 115.6547619] ; [38.6547619 29.3452381],1
s6,1,0.000499,12.118931,[153 113] ; [54 13],[165.35135135 100.64864865] ; [41.64864865 25.35135135],1
n4,1,0.00604,7.538455,[202  70] ; [39 29],[192.8  79.2] ; [48.2 19.8],0
s7,1,0.006369,7.442738,[108 150] ; [40 26],[117.85185185 140.14814815] ; [30.14814815 35.85185185],0
s5,1,0.006834,7.31601,[ 68 197] ; [27 36],[ 76.75304878 188.24695122] ; [18.24695122 44.75304878],0
b2,1,0.009903,6.652349,[ 52 100] ; [ 4 30],[ 45.76344086 106.23655914] ; [10.23655914 23.76344086],0
b3,1,0.009903,6.652349,[ 52 100] ; [ 4 30],[ 45.76344086 106.23655914] ; [10.23655914 23.76344086],0
a8,1,0.012682,6.2129,[ 36 211] ; [ 2 62],[ 30.18006431 216.81993569] ; [ 7.81993569 56.18006431],0
r4,1,0.035499,4.421019,[239  33] ; [53 15],[233.6  38.4] ; [58.4  9.6],0
r3,1,0.046115,3.977381,[255  14] ; [59  8],[251.38690476  17.61309524] ; [62.61309524  4.38690476],0
n3,1,0.052182,3.769937,[54 25] ; [18  2],[57.45454545 21.54545455] ; [14.54545455  5.45454545],0
p5,1,0.07476,3.175295,[ 26 245] ; [ 2 66],[ 22.38348083 248.61651917] ; [ 5.61651917 62.38348083],0
v2,1,0.082909,3.006927,[110 152] ; [20 46],[103.84146341 158.15853659] ; [26.15853659 39.84146341],0
p6,1,0.092931,2.82285,[ 82 187] ; [28 40],[ 87.8041543 181.1958457] ; [22.1958457 45.8041543],0
n6,1,0.109357,2.563484,[226  45] ; [51 17],[221.43657817  49.56342183] ; [55.56342183 12.43657817],0
d5,1,0.137422,2.206596,[214  58] ; [47 20],[209.4159292  62.5840708] ; [51.5840708 15.4159292],0
u3,1,0.151027,2.061844,[42 47] ; [17 10],[45.26724138 43.73275862] ; [13.73275862 13.26724138],0
p11,1,0.216209,1.529356,[215  57] ; [49 19],[211.2  60.8] ; [52.8 15.2],0
s8,1,0.230217,1.439522,[ 94 176] ; [29 39],[ 98.25443787 171.74556213] ; [24.74556213 43.25443787],0
d3,1,0.23809,1.391868,[182  89] ; [50 17],[186.01183432  84.98816568] ; [45.98816568 21.01183432],0
r1,1,0.242531,1.36582,[206  65] ; [47 21],[202.25073746  68.74926254] ; [50.74926254 17.25073746],0
n2,1,0.248399,1.332288,[52 26] ; [16  4],[54.12244898 23.87755102] ; [13.87755102  6.12244898],0
b1,1,0.309734,1.031808,[102 170] ; [21 47],[ 98.4 173.6] ; [24.6 43.4],0
