Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,76.415499,[102  20] ; [ 4 39],[78.37575758 43.62424242] ; [27.62424242 15.37575758],1
v4,1,0.0,32.841818,[109  12] ; [21 22],[95.91463415 25.08536585] ; [34.08536585  8.91463415],1
p2,1,0.0,32.616201,[85 37] ; [ 8 34],[69.18292683 52.81707317] ; [23.81707317 18.18292683],1
r2,1,2e-05,18.147523,[109  12] ; [25 16],[100.08641975  20.91358025] ; [33.91358025  7.08641975],1
r1,1,2.3e-05,17.952882,[91 30] ; [17 26],[79.68292683 41.31707317] ; [28.31707317 14.68292683],1
s6,1,2.6e-05,17.696659,[65 57] ; [ 7 36],[53.23636364 68.76363636] ; [18.76363636 24.23636364],1
a7,1,3.8e-05,16.987403,[90 31] ; [17 26],[78.94512195 42.05487805] ; [28.05487805 14.94512195],1
v2,1,7e-05,15.820037,[54 62] ; [ 5 37],[43.3164557 72.6835443] ; [15.6835443 26.3164557],1
p4,1,0.000443,12.340513,[54 67] ; [ 6 36],[44.5398773 76.4601227] ; [15.4601227 26.5398773],1
s2,1,0.000605,11.759328,[49 73] ; [ 5 38],[39.92727273 82.07272727] ; [14.07272727 28.92727273],1
b5,1,0.001007,10.814954,[83 39] ; [17 26],[73.93939394 48.06060606] ; [26.06060606 16.93939394],0
d5,1,0.001053,10.73129,[91 29] ; [21 22],[82.45398773 37.54601227] ; [29.54601227 13.45398773],0
p9,1,0.001179,10.522698,[68 51] ; [11 29],[59.12578616 59.87421384] ; [19.87421384 20.12578616],0
n6,1,0.001367,10.249353,[84 37] ; [18 25],[75.25609756 45.74390244] ; [26.74390244 16.25609756],0
p7,1,0.002267,9.320113,[60 62] ; [ 9 32],[51.64417178 70.35582822] ; [17.35582822 23.64417178],0
d4,1,0.002612,9.060377,[91 29] ; [22 21],[83.19018405 36.80981595] ; [29.80981595 13.19018405],0
s3,1,0.003505,8.524192,[58 63] ; [ 9 32],[50.04320988 70.95679012] ; [16.95679012 24.04320988],0
p6,1,0.003521,8.515886,[31 89] ; [ 2 40],[24.44444444 95.55555556] ; [ 8.55555556 33.44444444],0
