Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.4e-05,17.20151,[ 8 17] ; [46 12],[16.26506024  8.73493976] ; [37.73493976 20.26506024],1
p6,1,0.007846,7.068319,[ 1 23] ; [18 39],[ 5.62962963 18.37037037] ; [13.37037037 43.62962963],0
s7,1,0.015613,5.845912,[ 4 20] ; [24 29],[ 8.72727273 15.27272727] ; [19.27272727 33.72727273],0
a5,1,0.044786,4.026687,[10 15] ; [37 21],[14.15662651 10.84337349] ; [32.84337349 25.15662651],0
s8,1,0.061491,3.496699,[ 3 22] ; [18 39],[ 6.40243902 18.59756098] ; [14.59756098 42.40243902],0
r3,1,0.070657,3.267701,[20  5] ; [32 22],[16.4556962  8.5443038] ; [35.5443038 18.4556962],0
n2,1,0.07932,3.078772,[6 7] ; [18  6],[8.43243243 4.56756757] ; [15.56756757  8.43243243],0
p2,1,0.097339,2.748615,[20  4] ; [37 20],[16.88888889  7.11111111] ; [40.11111111 16.88888889],0
a3,1,0.098168,2.735053,[11 13] ; [38 20],[14.34146341  9.65853659] ; [34.65853659 23.34146341],0
s4,1,0.110353,2.549164,[ 2 23] ; [13 44],[ 4.57317073 20.42682927] ; [10.42682927 46.57317073],0
v4,1,0.141598,2.160501,[19  4] ; [37 19],[16.30379747  6.69620253] ; [39.69620253 16.30379747],0
a4,1,0.153964,2.03253,[ 6 19] ; [23 34],[ 8.84146341 16.15853659] ; [20.15853659 36.84146341],0
a8,1,0.15909,1.982854,[ 2 20] ; [ 1 50],[ 0.90410959 21.09589041] ; [ 2.09589041 48.90410959],0
v3,1,0.168259,1.898386,[ 4 20] ; [18 39],[ 6.51851852 17.48148148] ; [15.48148148 41.51851852],0
s5,1,0.187986,1.733333,[ 6 18] ; [ 7 47],[ 4. 20.] ; [ 9. 45.],0
p9,1,0.202186,1.626512,[13 11] ; [38 17],[15.49367089  8.50632911] ; [35.50632911 19.49367089],0
p1,1,0.204495,1.609974,[ 1 23] ; [ 8 50],[ 2.63414634 21.36585366] ; [ 6.36585366 51.63414634],0
b1,1,0.240195,1.37945,[ 9 16] ; [29 29],[11.44578313 13.55421687] ; [26.55421687 31.44578313],0
n1,1,0.258152,1.278641,[ 3 10] ; [10 14],[4.56756757 8.43243243] ; [ 8.43243243 15.56756757],0
s6,1,0.284741,1.144322,[ 8 17] ; [25 31],[10.18518519 14.81481481] ; [22.81481481 33.18518519],0
d2,1,0.284741,1.144322,[ 8 17] ; [25 31],[10.18518519 14.81481481] ; [22.81481481 33.18518519],0
p10,1,0.289838,1.120373,[12 11] ; [37 20],[14.0875  8.9125] ; [34.9125 22.0875],0
b4,1,0.310577,1.028221,[18  7] ; [35 23],[15.96385542  9.03614458] ; [37.03614458 20.96385542],0
a7,1,0.310871,1.026971,[14 11] ; [25 32],[11.8902439 13.1097561] ; [27.1097561 29.8902439],0
u1,1,0.354105,0.858693,[ 2 23] ; [ 9 49],[ 3.31325301 21.68674699] ; [ 7.68674699 50.31325301],0
a2,1,0.354105,0.858693,[ 2 23] ; [ 9 49],[ 3.31325301 21.68674699] ; [ 7.68674699 50.31325301],0
s2,1,0.463386,0.537704,[ 7 18] ; [20 35],[ 8.4375 16.5625] ; [18.5625 36.4375],0
p11,1,0.525548,0.402992,[15 10] ; [39 19],[16.26506024  8.73493976] ; [37.73493976 20.26506024],0
p4,1,0.537051,0.381034,[10 15] ; [27 30],[11.2804878 13.7195122] ; [25.7195122 31.2804878],0
r2,1,0.558549,0.342222,[14  8] ; [31 24],[12.85714286  9.14285714] ; [32.14285714 22.85714286],0
d3,1,0.58168,0.303527,[15 10] ; [31 27],[13.85542169 11.14457831] ; [32.14457831 25.85542169],0
d4,1,0.59787,0.278221,[17  8] ; [42 15],[17.98780488  7.01219512] ; [41.01219512 15.98780488],0
p5,1,0.605725,0.266447,[ 2 22] ; [ 7 50],[ 2.66666667 21.33333333] ; [ 6.33333333 50.66666667],0
n3,1,0.628745,0.233766,[8 4] ; [14 10],[7.33333333 4.66666667] ; [14.66666667  9.33333333],0
d5,1,0.65776,0.196256,[16  9] ; [40 18],[16.86746988  8.13253012] ; [39.13253012 18.86746988],0
p3,1,0.670732,0.180747,[10 15] ; [20 37],[ 9.14634146 15.85365854] ; [20.85365854 36.14634146],0
d1,1,0.683899,0.16577,[10 15] ; [26 32],[10.84337349 14.15662651] ; [25.15662651 32.84337349],0
u3,1,0.693329,0.155505,[ 4 10] ; [ 7 13],[4.52941176 9.47058824] ; [ 6.47058824 13.52941176],0
s3,1,0.7003,0.14816,[ 9 14] ; [19 36],[ 8.25641026 14.74358974] ; [19.74358974 35.25641026],0
p8,1,0.712278,0.136012,[ 8 17] ; [21 37],[ 8.73493976 16.26506024] ; [20.26506024 37.73493976],0
r1,1,0.718807,0.129639,[ 8 17] ; [16 41],[ 7.31707317 17.68292683] ; [16.68292683 40.31707317],0
p7,1,0.758915,0.094192,[ 9 15] ; [19 37],[ 8.4 15.6] ; [19.6 36.4],0
u2,1,0.803316,0.06203,[5 9] ; [ 6 13],[4.66666667 9.33333333] ; [ 6.33333333 12.66666667],0
s1,1,0.819023,0.052351,[ 1 24] ; [ 3 55],[ 1.20481928 23.79518072] ; [ 2.79518072 55.20481928],0
v1,1,0.86062,0.03083,[ 8 15] ; [18 37],[ 7.66666667 15.33333333] ; [18.33333333 36.66666667],0
