Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.007854,7.066419,[13  2] ; [ 9 12],[9.16666667 5.83333333] ; [12.83333333  8.16666667],0
s8,1,0.029889,4.715651,[10  6] ; [ 6 16],[6.73684211 9.26315789] ; [ 9.26315789 12.73684211],0
p9,1,0.031795,4.609524,[14  1] ; [13  8],[11.25  3.75] ; [15.75  5.25],0
p10,1,0.04044,4.199313,[13  2] ; [12 10],[10.13513514  4.86486486] ; [14.86486486  7.13513514],0
s3,1,0.050563,3.822704,[12  4] ; [ 9 12],[9.08108108 6.91891892] ; [11.91891892  9.08108108],0
a4,1,0.060373,3.52712,[10  6] ; [ 7 15],[7.15789474 8.84210526] ; [ 9.84210526 12.15789474],0
p11,1,0.089687,2.879987,[11  5] ; [ 9 13],[8.42105263 7.57894737] ; [11.57894737 10.42105263],0
b4,1,0.111126,2.538131,[ 6 10] ; [14  8],[8.42105263 7.57894737] ; [11.57894737 10.42105263],0
r1,1,0.146807,2.105114,[13  3] ; [13  9],[10.94736842  5.05263158] ; [15.05263158  6.94736842],0
p7,1,0.168668,1.894741,[7 9] ; [ 5 17],[ 5.05263158 10.94736842] ; [ 6.94736842 15.05263158],0
p8,1,0.184219,1.763258,[ 4 12] ; [ 2 20],[ 2.52631579 13.47368421] ; [ 3.47368421 18.52631579],0
u2,1,0.197703,1.659259,[1 5] ; [4 4],[2.14285714 3.85714286] ; [2.85714286 5.14285714],0
r4,1,0.27009,1.216288,[14  2] ; [16  6],[12.63157895  3.36842105] ; [17.36842105  4.63157895],0
r3,1,0.282686,1.154132,[15  1] ; [18  4],[13.89473684  2.10526316] ; [19.10526316  2.89473684],0
p3,1,0.290476,1.117413,[7 9] ; [ 6 16],[ 5.47368421 10.52631579] ; [ 7.52631579 14.47368421],0
n5,1,0.349731,0.874432,[9 7] ; [ 9 13],[7.57894737 8.42105263] ; [10.42105263 11.57894737],0
n2,1,0.361466,0.832792,[6 2] ; [6 5],[5.05263158 2.94736842] ; [6.94736842 4.05263158],0
n6,1,0.372299,0.795978,[12  4] ; [19  3],[13.05263158  2.94736842] ; [17.94736842  4.05263158],0
u3,1,0.393153,0.729167,[5 1] ; [5 3],[4.28571429 1.71428571] ; [5.71428571 2.28571429],0
v3,1,0.438578,0.6,[ 3 13] ; [ 6 14],[ 4. 12.] ; [ 5. 15.],0
u1,1,0.463846,0.536598,[ 1 15] ; [ 3 19],[ 1.68421053 14.31578947] ; [ 2.31578947 19.68421053],0
b2,1,0.477968,0.503497,[2 9] ; [4 9],[2.75 8.25] ; [3.25 9.75],0
b3,1,0.477968,0.503497,[2 9] ; [4 9],[2.75 8.25] ; [3.25 9.75],0
p4,1,0.503083,0.448427,[ 6 10] ; [ 6 16],[ 5.05263158 10.94736842] ; [ 6.94736842 15.05263158],0
d2,1,0.511098,0.431818,[7 9] ; [12 10],[8. 8.] ; [11. 11.],0
d1,1,0.511098,0.431818,[7 9] ; [12 10],[8. 8.] ; [11. 11.],0
p6,1,0.541777,0.372257,[ 3 13] ; [ 6 16],[ 3.78947368 12.21052632] ; [ 5.21052632 16.78947368],0
a5,1,0.542234,0.371415,[11  5] ; [13  9],[10.10526316  5.89473684] ; [13.89473684  8.10526316],0
n1,1,0.552248,0.353306,[4 4] ; [4 7],[3.36842105 4.63157895] ; [4.63157895 6.36842105],0
a7,1,0.577894,0.309651,[8 8] ; [13  9],[8.84210526 7.15789474] ; [12.15789474  9.84210526],0
s5,1,0.578709,0.308326,[8 6] ; [ 9 10],[7.21212121 6.78787879] ; [9.78787879 9.21212121],0
n3,1,0.598802,0.276807,[6 2] ; [7 4],[5.47368421 2.52631579] ; [7.52631579 3.47368421],0
v4,1,0.635327,0.224905,[14  2] ; [18  4],[13.47368421  2.52631579] ; [18.52631579  3.47368421],0
d5,1,0.647264,0.209366,[12  4] ; [15  7],[11.36842105  4.63157895] ; [15.63157895  6.36842105],0
b1,1,0.703225,0.145139,[7 9] ; [11 11],[7.57894737 8.42105263] ; [10.42105263 11.57894737],0
r2,1,0.717778,0.130631,[15  1] ; [19  2],[14.7027027  1.2972973] ; [19.2972973  1.7027027],0
s6,1,0.810366,0.057578,[11  3] ; [18  4],[11.27777778  2.72222222] ; [17.72222222  4.27777778],0
a2,1,0.816282,0.053977,[ 1 15] ; [ 1 21],[ 0.84210526 15.15789474] ; [ 1.15789474 20.84210526],0
v2,1,0.820596,0.051429,[9 7] ; [12  8],[9.33333333 6.66666667] ; [11.66666667  8.33333333],0
a6,1,0.831895,0.045059,[ 6 10] ; [ 9 13],[6.31578947 9.68421053] ; [ 8.68421053 13.31578947],0
