Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,4.1e-05,16.845219,[  5 101] ; [ 8 17],[10.51908397 95.48091603] ; [ 2.48091603 22.51908397],1
p1,1,0.000155,14.308669,[ 8 97] ; [ 9 16],[13.73076923 91.26923077] ; [ 3.26923077 21.73076923],1
s4,1,0.008926,6.837607,[31 73] ; [ 1 23],[26. 78.] ; [ 6. 18.],0
u2,1,0.009264,6.771286,[12 21] ; [7 1],[15.29268293 17.70731707] ; [3.70731707 4.29268293],0
p3,1,0.015006,5.915783,[52 54] ; [19  6],[57.45038168 48.54961832] ; [13.54961832 11.45038168],0
r2,1,0.023676,5.118175,[100   4] ; [21  4],[97.5503876  6.4496124] ; [23.4496124  1.5503876],0
p10,1,0.026388,4.93043,[80 26] ; [23  1],[83.98461538 22.01538462] ; [19.01538462  4.98461538],0
v3,1,0.037798,4.314074,[28 77] ; [12 13],[32.30769231 72.69230769] ; [ 7.69230769 17.30769231],0
p9,1,0.040931,4.178865,[80 22] ; [24  1],[83.52755906 18.47244094] ; [20.47244094  4.52755906],0
a1,1,0.044831,4.024996,[  5 101] ; [ 4 21],[ 7.28244275 98.71755725] ; [ 1.71755725 23.28244275],0
p4,1,0.049318,3.864485,[61 45] ; [19  5],[65.23076923 40.76923077] ; [14.76923077  9.23076923],0
s3,1,0.053989,3.713051,[61 42] ; [ 9 15],[56.77165354 46.22834646] ; [13.22834646 10.77165354],0
a5,1,0.079403,3.077074,[70 36] ; [21  4],[73.63358779 32.36641221] ; [17.36641221  7.63358779],0
p8,1,0.091186,2.853314,[47 57] ; [16  9],[50.79069767 53.20930233] ; [12.20930233 12.79069767],0
b2,1,0.122906,2.379893,[18 43] ; [8 8],[20.5974026 40.4025974] ; [ 5.4025974 10.5974026],0
b3,1,0.122906,2.379893,[18 43] ; [8 8],[20.5974026 40.4025974] ; [ 5.4025974 10.5974026],0
n4,1,0.152857,2.043502,[74 32] ; [21  4],[76.87022901 29.12977099] ; [18.12977099  6.87022901],0
