Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,38.885338,[ 9 86] ; [11  3],[17.43119266 77.56880734] ; [ 2.56880734 11.43119266],1
s2,1,8.2e-05,15.510877,[12 88] ; [8 7],[17.39130435 82.60869565] ; [ 2.60869565 12.39130435],1
p6,1,0.00068,11.541819,[16 79] ; [8 6],[20.91743119 74.08256881] ; [ 3.08256881 10.91743119],1
v2,1,0.002401,9.214329,[22 76] ; [9 6],[26.88495575 71.11504425] ; [ 4.11504425 10.88495575],0
s3,1,0.012601,6.224287,[22 75] ; [8 7],[25.98214286 71.01785714] ; [ 4.01785714 10.98214286],0
b1,1,0.024875,5.032559,[51 49] ; [ 3 12],[46.95652174 53.04347826] ; [7.04347826 7.95652174],0
p7,1,0.037707,4.318194,[35 64] ; [9 5],[38.54867257 60.45132743] ; [5.45132743 8.54867257],0
r4,1,0.043321,4.082844,[39 61] ; [10  5],[42.60869565 57.39130435] ; [6.39130435 8.60869565],0
a3,1,0.045677,3.993455,[52 47] ; [12  3],[55.57894737 43.42105263] ; [8.42105263 6.57894737],0
u1,1,0.05976,3.544025,[ 6 94] ; [ 3 12],[ 7.82608696 92.17391304] ; [ 1.17391304 13.82608696],0
p2,1,0.063991,3.430809,[53 44] ; [12  3],[56.29464286 40.70535714] ; [8.70535714 6.29464286],0
s4,1,0.092945,2.822611,[11 89] ; [ 4 11],[13.04347826 86.95652174] ; [ 1.95652174 13.04347826],0
p4,1,0.099691,2.71048,[31 67] ; [8 7],[33.82300885 64.17699115] ; [5.17699115 9.82300885],0
s1,1,0.106479,2.605714,[ 4 96] ; [ 2 12],[ 5.26315789 94.73684211] ; [ 0.73684211 13.26315789],0
v3,1,0.109878,2.555974,[16 83] ; [ 5 10],[18.23684211 80.76315789] ; [ 2.76315789 12.23684211],0
p3,1,0.110212,2.551177,[26 72] ; [7 8],[28.61946903 69.38053097] ; [ 4.38053097 10.61946903],0
p8,1,0.116327,2.466094,[26 71] ; [7 8],[28.58035714 68.41964286] ; [ 4.41964286 10.58035714],0
p11,1,0.121613,2.396418,[52 48] ; [11  4],[54.7826087 45.2173913] ; [8.2173913 6.7826087],0
r3,1,0.134096,2.244439,[67 32] ; [13  2],[69.47368421 29.52631579] ; [10.52631579  4.47368421],0
a2,1,0.140605,2.171329,[ 8 92] ; [ 3 12],[ 9.56521739 90.43478261] ; [ 1.43478261 13.56521739],0
d4,1,0.15898,1.983897,[54 46] ; [11  4],[56.52173913 43.47826087] ; [8.47826087 6.52173913],0
v4,1,0.172871,1.857871,[69 30] ; [13  2],[71.21052632 27.78947368] ; [10.78947368  4.21052632],0
n1,1,0.231836,1.429561,[12 25] ; [2 1],[12.95 24.05] ; [1.05 1.95],0
u2,1,0.241171,1.373737,[16 32] ; [2 1],[16.94117647 31.05882353] ; [1.05882353 1.94117647],0
b5,1,0.258313,1.277778,[62 38] ; [7 8],[60. 40.] ; [9. 6.],0
a7,1,0.272904,1.202092,[51 48] ; [10  5],[52.97368421 46.02631579] ; [8.02631579 6.97368421],0
r2,1,0.280696,1.163716,[70 27] ; [12  2],[71.65765766 25.34234234] ; [10.34234234  3.65765766],0
p10,1,0.326931,0.961014,[51 45] ; [10  5],[52.75675676 43.24324324] ; [8.24324324 6.75675676],0
s5,1,0.392837,0.730143,[ 8 90] ; [ 2 11],[ 8.82882883 89.17117117] ; [ 1.17117117 11.82882883],0
p1,1,0.400222,0.707658,[12 87] ; [ 3 12],[13.02631579 85.97368421] ; [ 1.97368421 13.02631579],0
a4,1,0.451494,0.5669,[30 69] ; [6 9],[31.26315789 67.73684211] ; [ 4.73684211 10.26315789],0
a5,1,0.498237,0.458689,[44 56] ; [8 7],[45.2173913 54.7826087] ; [6.7826087 8.2173913],0
p9,1,0.538696,0.377963,[62 33] ; [11  4],[63.04545455 31.95454545] ; [9.95454545 5.04545455],0
n6,1,0.556698,0.345455,[65 34] ; [11  4],[66. 33.] ; [10.  5.],0
n4,1,0.571942,0.319444,[59 41] ; [10  5],[60. 40.] ; [9. 6.],0
d1,1,0.593331,0.285172,[33 67] ; [6 9],[33.91304348 66.08695652] ; [5.08695652 9.91304348],0
a6,1,0.663283,0.18956,[54 46] ; [9 6],[54.7826087 45.2173913] ; [8.2173913 6.7826087],0
d2,1,0.686003,0.163446,[38 60] ; [ 5 10],[37.2920354 60.7079646] ; [5.7079646 9.2920354],0
b2,1,0.718721,0.129722,[25 32] ; [5 5],[25.52238806 31.47761194] ; [4.47761194 5.52238806],0
b3,1,0.718721,0.129722,[25 32] ; [5 5],[25.52238806 31.47761194] ; [4.47761194 5.52238806],0
d3,1,0.724523,0.1242,[41 57] ; [7 8],[41.62831858 56.37168142] ; [6.37168142 8.62831858],0
n5,1,0.764152,0.09002,[64 36] ; [9 6],[63.47826087 36.52173913] ; [9.52173913 5.47826087],0
a8,1,0.786079,0.073661,[ 9 87] ; [ 1 13],[ 8.72727273 87.27272727] ; [ 1.27272727 12.72727273],0
v1,1,0.82014,0.051695,[23 73] ; [ 4 11],[23.35135135 72.64864865] ; [ 3.64864865 11.35135135],0
d5,1,0.844951,0.038246,[62 37] ; [9 6],[61.65789474 37.34210526] ; [9.34210526 5.65789474],0
b4,1,0.923203,0.009293,[52 48] ; [8 7],[52.17391304 47.82608696] ; [7.82608696 7.17391304],0
