Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,88.46641,[ 79 105] ; [427 109],[129.31111111  54.68888889] ; [376.68888889 159.31111111],1
d3,1,0.0,78.064705,[86 98] ; [433 104],[132.44937587  51.55062413] ; [386.55062413 150.44937587],1
a2,1,0.0,37.947905,[ 17 167] ; [175 364],[ 48.86307054 135.13692946] ; [143.13692946 395.86307054],1
u1,1,0.0,29.496527,[ 12 172] ; [136 403],[ 37.66528354 146.33471646] ; [110.33471646 428.66528354],1
b5,1,3e-06,22.003324,[ 83 101] ; [349 190],[109.94190871  74.05809129] ; [322.05809129 216.94190871],1
d1,1,0.000182,14.011287,[93 91] ; [356 183],[114.26832642  69.73167358] ; [334.73167358 204.26832642],1
b3,1,0.002874,8.88558,[59 61] ; [106 209],[45.51724138 74.48275862] ; [119.48275862 195.51724138],0
b2,1,0.002874,8.88558,[59 61] ; [106 209],[45.51724138 74.48275862] ; [119.48275862 195.51724138],0
u3,1,0.014127,6.022161,[24 25] ; [98 45],[31.13541667 17.86458333] ; [90.86458333 52.13541667],0
s5,1,0.014329,5.997203,[ 74 100] ; [168 352],[ 60.67435159 113.32564841] ; [181.32564841 338.67435159],0
v2,1,0.017518,5.643742,[91 86] ; [316 197],[104.40434783  72.59565217] ; [302.59565217 210.40434783],0
p4,1,0.01877,5.5228,[96 84] ; [337 196],[109.31276297  70.68723703] ; [323.68723703 209.31276297],0
p2,1,0.01962,5.445388,[140  40] ; [457  79],[150.08379888  29.91620112] ; [446.91620112  89.08379888],0
b1,1,0.022092,5.238512,[ 83 101] ; [192 347],[ 69.98616874 114.01383126] ; [205.01383126 333.98616874],0
d4,1,0.026708,4.909609,[144  39] ; [460  77],[153.51666667  29.48333333] ; [450.48333333  86.51666667],0
s8,1,0.047919,3.912834,[96 86] ; [236 297],[84.50909091 97.49090909] ; [247.49090909 285.50909091],0
d5,1,0.082938,3.006367,[143  40] ; [450  87],[150.72083333  32.27916667] ; [442.27916667  94.72083333],0
p9,1,0.084762,2.971142,[144  36] ; [452  77],[151.31170663  28.68829337] ; [444.68829337  84.31170663],0
r4,1,0.090903,2.858302,[175   9] ; [526  13],[178.4011065   5.5988935] ; [522.5988935  16.4011065],0
p1,1,0.103798,2.64619,[ 10 172] ; [ 50 484],[ 15.25139665 166.74860335] ; [ 44.74860335 489.25139665],0
a5,1,0.119356,2.425757,[133  51] ; [420 119],[140.73582296  43.26417704] ; [412.26417704 126.73582296],0
p10,1,0.215572,1.533607,[141  38] ; [441  91],[146.52320675  32.47679325] ; [435.47679325  96.52320675],0
r3,1,0.21607,1.530285,[174   9] ; [521  16],[176.64583333   6.35416667] ; [518.35416667  18.64583333],0
p8,1,0.225299,1.470294,[90 90] ; [291 236],[97.00141443 82.99858557] ; [283.99858557 243.00141443],0
r2,1,0.250608,1.319913,[175   6] ; [528  10],[176.97218359   4.02781641] ; [526.02781641  11.97218359],0
s7,1,0.287876,1.12953,[96 80] ; [255 256],[89.92139738 86.07860262] ; [261.07860262 249.92139738],0
a1,1,0.311255,1.025344,[ 10 174] ; [ 20 519],[  7.63485477 176.36514523] ; [ 22.36514523 516.63485477],0
s4,1,0.321422,0.983151,[ 34 148] ; [ 82 446],[ 29.73521127 152.26478873] ; [ 86.26478873 441.73521127],0
n3,1,0.340232,0.909556,[30 14] ; [84 27],[32.36129032 11.63870968] ; [81.63870968 29.36129032],0
n4,1,0.356119,0.851532,[147  35] ; [417 121],[142.56666667  39.43333333] ; [421.43333333 116.56666667],0
a4,1,0.376002,0.783732,[ 81 102] ; [258 279],[86.1625 96.8375] ; [252.8375 284.1625],0
p11,1,0.410432,0.677548,[149  35] ; [421 118],[145.06224066  38.93775934] ; [424.93775934 114.06224066],0
b4,1,0.420214,0.649716,[103  81] ; [320 219],[107.65145228  76.34854772] ; [315.34854772 223.65145228],0
n2,1,0.421697,0.645582,[36 10] ; [80 31],[33.98726115 12.01273885] ; [82.01273885 28.98726115],0
s1,1,0.439302,0.598105,[  8 172] ; [ 17 512],[  6.34696756 173.65303244] ; [ 18.65303244 510.34696756],0
