Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.2e-05,16.768203,[32 21] ; [78  9],[41.64285714 11.35714286] ; [68.35714286 18.64285714],1
u1,1,0.000118,14.829679,[ 1 52] ; [24 63],[ 9.46428571 43.53571429] ; [15.53571429 71.46428571],1
d3,1,0.000157,14.282018,[22 31] ; [64 23],[32.55714286 20.44285714] ; [53.44285714 33.55714286],1
r1,1,0.000535,11.990582,[27 26] ; [68 18],[36.22302158 16.77697842] ; [58.77697842 27.22302158],1
r2,1,0.000569,11.875528,[40 13] ; [81  4],[46.47101449  6.52898551] ; [74.52898551 10.47101449],1
d4,1,0.003294,8.636872,[32 21] ; [72 15],[39.37142857 13.62857143] ; [64.62857143 22.37142857],0
d5,1,0.004189,8.199875,[30 23] ; [69 18],[37.47857143 15.52142857] ; [61.52142857 25.47857143],0
a6,1,0.00431,8.148411,[21 32] ; [56 31],[29.15 23.85] ; [47.85 39.15],0
p2,1,0.005345,7.758971,[26 27] ; [63 24],[33.69285714 19.30714286] ; [55.30714286 31.69285714],0
a2,1,0.006002,7.549653,[ 4 49] ; [23 64],[10.22142857 42.77857143] ; [16.77857143 70.22142857],0
v4,1,0.014339,5.995951,[44  9] ; [83  4],[48.07857143  4.92142857] ; [78.92142857  8.07857143],0
s6,1,0.017929,5.603076,[21 31] ; [52 33],[27.7080292 24.2919708] ; [45.2919708 39.7080292],0
v2,1,0.019188,5.484299,[16 36] ; [44 42],[22.60869565 29.39130435] ; [37.39130435 48.60869565],0
b5,1,0.022003,5.245558,[29 24] ; [64 23],[35.20714286 17.79285714] ; [57.79285714 29.20714286],0
n1,1,0.028789,4.780203,[ 5 18] ; [14 13],[ 8.74 14.26] ; [10.26 16.74],0
a3,1,0.04884,3.880854,[25 27] ; [56 30],[30.52173913 21.47826087] ; [50.47826087 35.52173913],0
p4,1,0.05394,3.714545,[17 35] ; [43 44],[22.44604317 29.55395683] ; [37.55395683 49.44604317],0
d1,1,0.055273,3.673823,[21 32] ; [49 38],[26.5 26.5] ; [43.5 43.5],0
r3,1,0.05724,3.615597,[43 10] ; [80  7],[46.56428571  6.43571429] ; [76.43571429 10.56428571],0
s1,1,0.062694,3.464643,[ 5 48] ; [ 2 84],[ 2.66906475 50.33093525] ; [ 4.33093525 81.66906475],0
n3,1,0.067532,3.342014,[11 11] ; [21  7],[14.08  7.92] ; [17.92 10.08],0
v1,1,0.068351,3.322192,[14 37] ; [37 49],[18.98540146 32.01459854] ; [32.01459854 53.98540146],0
p8,1,0.072701,3.220957,[13 39] ; [34 51],[17.83941606 34.16058394] ; [29.16058394 55.83941606],0
b3,1,0.082439,3.016146,[ 7 27] ; [21 34],[10.69662921 23.30337079] ; [17.30337079 37.69662921],0
b2,1,0.082439,3.016146,[ 7 27] ; [21 34],[10.69662921 23.30337079] ; [17.30337079 37.69662921],0
s7,1,0.138205,2.197833,[15 36] ; [35 48],[19.02985075 31.97014925] ; [30.97014925 52.02985075],0
p5,1,0.13889,2.190217,[ 5 48] ; [ 3 84],[ 3.02857143 49.97142857] ; [ 4.97142857 82.02857143],0
u3,1,0.140921,2.167877,[10 18] ; [17 14],[12.81355932 15.18644068] ; [14.18644068 16.81355932],0
n4,1,0.209577,1.574348,[33 20] ; [63 24],[36.34285714 16.65714286] ; [59.65714286 27.34285714],0
b1,1,0.235851,1.405224,[28 25] ; [37 50],[24.60714286 28.39285714] ; [40.39285714 46.60714286],0
p6,1,0.252507,1.309382,[11 40] ; [26 59],[13.875 37.125] ; [23.125 61.875],0
u2,1,0.284205,1.146869,[ 8 19] ; [13 17],[ 9.94736842 17.05263158] ; [11.05263158 18.94736842],0
s4,1,0.301006,1.06973,[ 6 47] ; [15 69],[ 8.12408759 44.87591241] ; [12.87591241 71.12408759],0
v3,1,0.312467,1.020219,[13 38] ; [29 57],[15.6350365 35.3649635] ; [26.3649635 59.6350365],0
d2,1,0.324052,0.97252,[23 29] ; [46 41],[25.81294964 26.18705036] ; [43.18705036 43.81294964],0
p7,1,0.392267,0.731903,[21 32] ; [40 45],[23.42753623 29.57246377] ; [37.57246377 47.42753623],0
u4,1,0.401835,0.702828,[ 1 52] ; [ 4 83],[ 1.89285714 51.10714286] ; [ 3.10714286 83.89285714],0
a5,1,0.420927,0.647726,[28 25] ; [52 35],[30.28571429 22.71428571] ; [49.71428571 37.28571429],0
s3,1,0.490294,0.475882,[21 31] ; [39 45],[22.94117647 29.05882353] ; [37.05882353 46.94117647],0
n2,1,0.495797,0.463921,[15  8] ; [20  7],[16.1  6.9] ; [18.9  8.1],0
p9,1,0.569878,0.322886,[18 34] ; [32 49],[19.54887218 32.45112782] ; [30.45112782 50.54887218],0
s5,1,0.596177,0.280801,[12 40] ; [16 67],[10.78518519 41.21481481] ; [17.21481481 65.78518519],0
p3,1,0.59981,0.275282,[16 37] ; [30 57],[17.41428571 35.58571429] ; [28.58571429 58.41428571],0
s8,1,0.647041,0.209651,[14 38] ; [26 59],[15.18248175 36.81751825] ; [24.81751825 60.18248175],0
p11,1,0.78729,0.072809,[28 25] ; [48 39],[28.77142857 24.22857143] ; [47.22857143 39.77142857],0
s2,1,0.815034,0.054726,[20 32] ; [31 54],[19.35766423 32.64233577] ; [31.64233577 53.35766423],0
a8,1,0.826967,0.047783,[ 6 44] ; [10 65],[ 6.4 43.6] ; [ 9.6 65.4],0
a4,1,0.864516,0.029114,[21 31] ; [36 50],[21.47826087 30.52173913] ; [35.52173913 50.47826087],0
n5,1,0.911448,0.012368,[34 19] ; [55 32],[33.69285714 19.30714286] ; [55.30714286 31.69285714],0
b4,1,0.943289,0.00506,[32 21] ; [52 35],[31.8 21.2] ; [52.2 34.8],0
p1,1,0.969879,0.001426,[ 3 50] ; [ 5 81],[ 3.05035971 49.94964029] ; [ 4.94964029 81.05035971],0
a1,1,0.982888,0.00046,[ 3 50] ; [ 5 82],[ 3.02857143 49.97142857] ; [ 4.97142857 82.02857143],0
