Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,8.8e-05,15.378327,[ 6 40] ; [24 23],[14.83870968 31.16129032] ; [15.16129032 31.83870968],1
a3,1,0.000121,14.783674,[16 30] ; [35 12],[25.22580645 20.77419355] ; [25.77419355 21.22580645],1
d2,1,0.001253,10.409806,[ 8 38] ; [23 24],[15.33333333 30.66666667] ; [15.66666667 31.33333333],0
p4,1,0.001842,9.700893,[11 34] ; [26 20],[18.2967033 26.7032967] ; [18.7032967 27.2967033],0
v2,1,0.003288,8.640332,[12 31] ; [25 17],[18.71764706 24.28235294] ; [18.28235294 23.71764706],0
d1,1,0.008711,6.881225,[14 32] ; [27 20],[20.27956989 25.72043011] ; [20.72043011 26.27956989],0
d5,1,0.011333,6.412403,[26 20] ; [38  9],[31.65591398 14.34408602] ; [32.34408602 14.65591398],0
s4,1,0.013746,6.070445,[13 33] ; [ 4 43],[ 8.40860215 37.59139785] ; [ 8.59139785 38.40860215],0
p3,1,0.019216,5.481736,[ 9 37] ; [19 26],[14.15384615 31.84615385] ; [13.84615385 31.15384615],0
v3,1,0.026388,4.930395,[ 5 38] ; [14 31],[ 9.28409091 33.71590909] ; [ 9.71590909 35.28409091],0
b5,1,0.045017,4.018014,[31 15] ; [22 25],[26.21505376 19.78494624] ; [26.78494624 20.21505376],0
r1,1,0.05042,3.827427,[25 21] ; [34 12],[29.5 16.5] ; [29.5 16.5],0
r4,1,0.064854,3.408689,[27 19] ; [36 11],[31.16129032 14.83870968] ; [31.83870968 15.16129032],0
r3,1,0.080734,3.050068,[34 11] ; [42  5],[37.17391304  7.82608696] ; [38.82608696  8.17391304],0
p6,1,0.12695,2.329412,[13 31] ; [ 7 37],[10. 34.] ; [10. 34.],0
p2,1,0.132784,2.259649,[32 14] ; [25 21],[28.5 17.5] ; [28.5 17.5],0
s6,1,0.141452,2.162089,[18 27] ; [26 21],[21.52173913 23.47826087] ; [22.47826087 24.52173913],0
p11,1,0.177955,1.814619,[20 26] ; [27 20],[23.24731183 22.75268817] ; [23.75268817 23.24731183],0
d3,1,0.217041,1.523827,[24 21] ; [31 16],[26.90217391 18.09782609] ; [28.09782609 18.90217391],0
s5,1,0.236925,1.398796,[ 7 37] ; [12 34],[ 9.28888889 34.71111111] ; [ 9.71111111 36.28888889],0
u1,1,0.2503,1.321626,[ 2 44] ; [ 5 42],[ 3.46236559 42.53763441] ; [ 3.53763441 43.46236559],0
d4,1,0.273592,1.198647,[32 13] ; [38  9],[34.23913043 10.76086957] ; [35.76086957 11.23913043],0
p5,1,0.285195,1.142166,[ 1 45] ; [ 3 41],[ 2.04444444 43.95555556] ; [ 1.95555556 42.04444444],0
b3,1,0.313732,1.014898,[ 5 18] ; [10 19],[ 6.63461538 16.36538462] ; [ 8.36538462 20.63461538],0
b2,1,0.313732,1.014898,[ 5 18] ; [10 19],[ 6.63461538 16.36538462] ; [ 8.36538462 20.63461538],0
a6,1,0.347199,0.883667,[27 19] ; [32 15],[29.1827957 16.8172043] ; [29.8172043 17.1827957],0
u3,1,0.355168,0.854906,[21  9] ; [6 5],[19.75609756 10.24390244] ; [7.24390244 3.75609756],0
s8,1,0.403046,0.699218,[12 34] ; [16 31],[13.84946237 32.15053763] ; [14.15053763 32.84946237],0
a8,1,0.543273,0.369507,[ 1 43] ; [ 2 41],[ 1.51724138 42.48275862] ; [ 1.48275862 41.51724138],0
p8,1,0.578313,0.308969,[17 27] ; [20 25],[18.29213483 25.70786517] ; [18.70786517 26.29213483],0
s7,1,0.582329,0.302485,[11 32] ; [13 29],[12.14117647 30.85882353] ; [11.85882353 30.14117647],0
p7,1,0.58383,0.300083,[19 23] ; [23 22],[20.27586207 21.72413793] ; [21.72413793 23.27586207],0
s2,1,0.587589,0.294125,[18 28] ; [21 26],[19.29032258 26.70967742] ; [19.70967742 27.29032258],0
n3,1,0.590359,0.289783,[13  4] ; [13  6],[12.27777778  4.72222222] ; [13.72222222  5.27777778],0
v4,1,0.64943,0.206619,[38  7] ; [38  9],[37.17391304  7.82608696] ; [38.82608696  8.17391304],0
s1,1,0.65043,0.205358,[ 4 41] ; [ 3 44],[ 3.42391304 41.57608696] ; [ 3.57608696 43.42391304],0
b1,1,0.758144,0.094814,[23 23] ; [25 22],[23.74193548 22.25806452] ; [24.25806452 22.74193548],0
n5,1,0.762501,0.091324,[12 33] ; [11 35],[11.37362637 33.62637363] ; [11.62637363 34.37362637],0
v1,1,0.83162,0.045209,[18 28] ; [19 27],[18.5 27.5] ; [18.5 27.5],0
p10,1,0.856946,0.032495,[25 19] ; [27 19],[25.42222222 18.57777778] ; [26.57777778 19.42222222],0
u2,1,0.885558,0.020715,[20  9] ; [8 4],[19.80487805  9.19512195] ; [8.19512195 3.80487805],0
n1,1,0.902785,0.014919,[ 6 11] ; [ 6 12],[ 5.82857143 11.17142857] ; [ 6.17142857 11.82857143],0
s3,1,0.914708,0.011471,[24 22] ; [24 23],[23.74193548 22.25806452] ; [24.25806452 22.74193548],0
b4,1,0.925024,0.008856,[25 21] ; [26 21],[25.22580645 20.77419355] ; [25.77419355 21.22580645],0
