Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,28.17405,[85  2] ; [4 4],[81.50526316  5.49473684] ; [7.49473684 0.50526316],1
r3,1,1e-06,23.260748,[84  3] ; [4 4],[80.58947368  6.41052632] ; [7.41052632 0.58947368],1
s6,1,0.001525,10.048234,[73  8] ; [4 4],[70.07865169 10.92134831] ; [6.92134831 1.07865169],0
n6,1,0.004686,7.996919,[84  2] ; [7 2],[82.37894737  3.62105263] ; [8.62105263 0.37894737],0
s2,1,0.006578,7.384649,[54 33] ; [1 7],[50.36842105 36.63157895] ; [4.63157895 3.36842105],0
p4,1,0.010472,6.552809,[76  9] ; [6 4],[73.36842105 11.63157895] ; [8.63157895 1.36842105],0
s5,1,0.020465,5.371765,[57 23] ; [2 5],[54.25287356 25.74712644] ; [4.74712644 2.25287356],0
v3,1,0.024601,5.051789,[52 33] ; [2 7],[48.82978723 36.17021277] ; [5.17021277 3.82978723],0
r1,1,0.027305,4.871441,[74 13] ; [5 4],[71.59375 15.40625] ; [7.40625 1.59375],0
v1,1,0.045488,4.000441,[61 24] ; [3 5],[58.49462366 26.50537634] ; [5.50537634 2.49462366],0
r2,1,0.046079,3.978719,[82  5] ; [6 2],[80.58947368  6.41052632] ; [7.41052632 0.58947368],0
p2,1,0.047126,3.940887,[78  9] ; [6 3],[76.125 10.875] ; [7.875 1.125],0
a2,1,0.109677,2.558866,[16 71] ; [4 6],[17.93814433 69.06185567] ; [2.06185567 7.93814433],0
d2,1,0.109697,2.558583,[46 40] ; [8 2],[48.375 37.625] ; [5.625 4.375],0
p6,1,0.12223,2.388507,[56 30] ; [3 5],[53.9787234 32.0212766] ; [5.0212766 2.9787234],0
p3,1,0.14296,2.145807,[69 17] ; [6 4],[67.1875 18.8125] ; [7.8125 2.1875],0
b5,1,0.149984,2.072417,[40 47] ; [7 3],[42.15463918 44.84536082] ; [4.84536082 5.15463918],0
b4,1,0.168804,1.893529,[50 37] ; [8 2],[52.02061856 34.97938144] ; [5.97938144 4.02061856],0
v2,1,0.1852,1.755393,[48 37] ; [3 6],[46.11702128 38.88297872] ; [4.88297872 4.11702128],0
s1,1,0.217222,1.522629,[ 7 80] ; [2 8],[ 8.07216495 78.92783505] ; [0.92783505 9.07216495],0
s7,1,0.239317,1.384615,[60 21] ; [5 4],[58.5 22.5] ; [6.5 2.5],0
a6,1,0.253259,1.305236,[53 33] ; [8 2],[54.64583333 31.35416667] ; [6.35416667 3.64583333],0
p7,1,0.255417,1.29343,[70 15] ; [6 3],[68.72340426 16.27659574] ; [7.27659574 1.72340426],0
a5,1,0.281721,1.158767,[65 22] ; [9 1],[66.37113402 20.62886598] ; [7.62886598 2.37113402],0
s8,1,0.29569,1.093531,[53 32] ; [4 5],[51.54255319 33.45744681] ; [5.45744681 3.54255319],0
n5,1,0.32374,0.973776,[84  3] ; [9 1],[83.41237113  3.58762887] ; [9.58762887 0.41237113],0
p12,1,0.342858,0.899715,[22 65] ; [1 8],[20.84375 66.15625] ; [2.15625 6.84375],0
a4,1,0.362214,0.830203,[39 48] ; [6 4],[40.36082474 46.63917526] ; [4.63917526 5.36082474],0
p8,1,0.39198,0.732792,[70 16] ; [7 3],[68.97916667 17.02083333] ; [8.02083333 1.97916667],0
s3,1,0.394706,0.724396,[56 30] ; [4 4],[54.89361702 31.10638298] ; [5.10638298 2.89361702],0
d3,1,0.417412,0.65759,[58 28] ; [8 2],[59.125 26.875] ; [6.875 3.125],0
d5,1,0.453857,0.561002,[69 17] ; [9 1],[69.875 16.125] ; [8.125 1.875],0
b2,1,0.5324,0.389808,[31 32] ; [3 5],[30.16901408 32.83098592] ; [3.83098592 4.16901408],0
b3,1,0.5324,0.389808,[31 32] ; [3 5],[30.16901408 32.83098592] ; [3.83098592 4.16901408],0
p11,1,0.558993,0.341451,[72 15] ; [9 1],[72.64948454 14.35051546] ; [8.35051546 1.64948454],0
b1,1,0.651572,0.203923,[37 50] ; [5 5],[37.67010309 49.32989691] ; [4.32989691 5.67010309],0
d1,1,0.672361,0.178853,[55 32] ; [7 3],[55.60824742 31.39175258] ; [6.39175258 3.60824742],0
n1,1,0.718904,0.129545,[9 6] ; [2 2],[8.68421053 6.31578947] ; [2.31578947 1.68421053],0
p9,1,0.727818,0.121124,[80  6] ; [9 1],[79.72916667  6.27083333] ; [9.27083333 0.72916667],0
a1,1,0.738796,0.111188,[12 75] ; [1 9],[11.65979381 75.34020619] ; [1.34020619 8.65979381],0
n2,1,0.80725,0.059524,[11  5] ; [3 1],[11.2  4.8] ; [2.8 1.2],0
n3,1,0.822187,0.050505,[9 7] ; [2 2],[8.8 7.2] ; [2.2 1.8],0
u3,1,0.83008,0.046053,[11  8] ; [1 1],[10.85714286  8.14285714] ; [1.14285714 0.85714286],0
a3,1,0.893616,0.017884,[68 19] ; [8 2],[68.16494845 18.83505155] ; [7.83505155 2.16494845],0
a7,1,0.946558,0.004493,[60 27] ; [7 3],[60.09278351 26.90721649] ; [6.90721649 3.09278351],0
p1,1,0.946558,0.004493,[27 60] ; [3 7],[26.90721649 60.09278351] ; [3.09278351 6.90721649],0
p10,1,0.95209,0.00361,[77  9] ; [8 1],[76.94736842  9.05263158] ; [8.05263158 0.94736842],0
u1,1,0.972323,0.001204,[17 70] ; [2 8],[17.04123711 69.95876289] ; [1.95876289 8.04123711],0
