Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,28.96301,[ 9 75] ; [15  9],[18.66666667 65.33333333] ; [ 5.33333333 18.66666667],1
s6,1,0.000564,11.891974,[33 51] ; [19  5],[40.44444444 43.55555556] ; [11.55555556 12.44444444],1
s2,1,0.001094,10.66186,[22 61] ; [15  9],[28.70093458 54.29906542] ; [ 8.29906542 15.70093458],0
b3,1,0.002272,9.315297,[ 8 28] ; [9 4],[12.48979592 23.51020408] ; [4.51020408 8.48979592],0
b2,1,0.002272,9.315297,[ 8 28] ; [9 4],[12.48979592 23.51020408] ; [4.51020408 8.48979592],0
s3,1,0.007136,7.238404,[27 57] ; [15  9],[32.66666667 51.33333333] ; [ 9.33333333 14.66666667],0
v1,1,0.019717,5.436788,[27 57] ; [14 10],[31.88888889 52.11111111] ; [ 9.11111111 14.88888889],0
s5,1,0.025101,5.016931,[17 66] ; [10 13],[21.14150943 61.85849057] ; [ 5.85849057 17.14150943],0
u2,1,0.030315,4.691362,[17 24] ; [6 1],[19.64583333 21.35416667] ; [3.35416667 3.64583333],0
d5,1,0.032509,4.571429,[59 25] ; [22  2],[63. 21.] ; [18.  6.],0
d2,1,0.049535,3.857143,[24 60] ; [12 12],[28. 56.] ; [ 8. 16.],0
p6,1,0.051949,3.777403,[ 4 79] ; [ 4 20],[ 6.20560748 76.79439252] ; [ 1.79439252 22.20560748],0
b4,1,0.06233,3.474265,[49 35] ; [19  5],[52.88888889 31.11111111] ; [15.11111111  8.88888889],0
n1,1,0.089576,2.881974,[ 9 32] ; [6 7],[11.38888889 29.61111111] ; [3.61111111 9.38888889],0
u3,1,0.120085,2.416213,[24 17] ; [7 1],[25.93877551 15.06122449] ; [5.06122449 2.93877551],0
p11,1,0.148071,2.09201,[49 35] ; [10 14],[45.88888889 38.11111111] ; [13.11111111 10.88888889],0
a3,1,0.179251,1.803825,[43 41] ; [16  8],[45.88888889 38.11111111] ; [13.11111111 10.88888889],0
a2,1,0.193062,1.694095,[ 9 75] ; [ 5 19],[10.88888889 73.11111111] ; [ 3.11111111 20.88888889],0
p10,1,0.211195,1.563216,[47 36] ; [17  7],[49.64485981 33.35514019] ; [14.35514019  9.64485981],0
d1,1,0.216334,1.528527,[37 47] ; [14 10],[39.66666667 44.33333333] ; [11.33333333 12.66666667],0
a4,1,0.227912,1.453846,[21 63] ; [ 9 15],[23.33333333 60.66666667] ; [ 6.66666667 17.33333333],0
n3,1,0.301795,1.066247,[24 17] ; [5 7],[22.43396226 18.56603774] ; [6.56603774 5.43396226],0
r4,1,0.333829,0.933988,[58 26] ; [19  5],[59.88888889 24.11111111] ; [17.11111111  6.88888889],0
d4,1,0.335828,0.926293,[62 22] ; [20  4],[63.77777778 20.22222222] ; [18.22222222  5.77777778],0
p2,1,0.405334,0.692446,[50 34] ; [12 12],[48.22222222 35.77777778] ; [13.77777778 10.22222222],0
n5,1,0.438214,0.600954,[28 56] ; [ 6 18],[26.44444444 57.55555556] ; [ 7.55555556 16.44444444],0
b1,1,0.471624,0.518169,[25 59] ; [ 9 15],[26.44444444 57.55555556] ; [ 7.55555556 16.44444444],0
n6,1,0.494627,0.466445,[52 32] ; [13 11],[50.55555556 33.44444444] ; [14.44444444  9.55555556],0
v3,1,0.521974,0.409992,[18 64] ; [ 6 15],[19.10679612 62.89320388] ; [ 4.89320388 16.10679612],0
v4,1,0.540203,0.375163,[74 10] ; [20  4],[73.11111111 10.88888889] ; [20.88888889  3.11111111],0
b5,1,0.564793,0.331473,[51 33] ; [13 11],[49.77777778 34.22222222] ; [14.22222222  9.77777778],0
a8,1,0.586858,0.295279,[ 2 78] ; [ 1 20],[ 2.37623762 77.62376238] ; [ 0.62376238 20.37623762],0
v2,1,0.592576,0.28634,[36 47] ; [10 10],[37.06796117 45.93203883] ; [ 8.93203883 11.06796117],0
u1,1,0.601471,0.272782,[ 6 78] ; [ 1 23],[ 5.44444444 78.55555556] ; [ 1.55555556 22.44444444],0
p9,1,0.628217,0.234487,[57 26] ; [17  6],[57.94339623 25.05660377] ; [16.05660377  6.94339623],0
