Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.001524,10.049046,[ 9 61] ; [14 21],[15.33333333 54.66666667] ; [ 7.66666667 27.33333333],0
p2,1,0.007078,7.253032,[31 40] ; [25 10],[37.50943396 33.49056604] ; [18.49056604 16.50943396],0
p3,1,0.007597,7.126193,[10 60] ; [13 22],[15.33333333 54.66666667] ; [ 7.66666667 27.33333333],0
s6,1,0.008875,6.847826,[18 52] ; [18 17],[24. 46.] ; [12. 23.],0
p6,1,0.01475,5.946119,[ 5 65] ; [ 8 25],[ 8.83495146 61.16504854] ; [ 4.16504854 28.83495146],0
b1,1,0.01601,5.801754,[29 42] ; [23 12],[34.83018868 36.16981132] ; [17.16981132 17.83018868],0
a8,1,0.018872,5.513372,[ 4 65] ; [ 7 26],[ 7.44117647 61.55882353] ; [ 3.55882353 29.44117647],0
v4,1,0.021365,5.296748,[47 23] ; [30  4],[51.82692308 18.17307692] ; [25.17307692  8.82692308],0
b5,1,0.057689,3.602613,[37 34] ; [25 10],[41.52830189 29.47169811] ; [20.47169811 14.52830189],0
p11,1,0.062465,3.470698,[27 44] ; [20 15],[31.48113208 39.51886792] ; [15.51886792 19.48113208],0
n5,1,0.083533,2.994789,[26 45] ; [19 16],[30.14150943 40.85849057] ; [14.85849057 20.14150943],0
r3,1,0.097626,2.743906,[48 23] ; [29  6],[51.5754717 19.4245283] ; [25.4245283  9.5754717],0
n2,1,0.10766,2.588235,[18 15] ; [9 2],[20.25 12.75] ; [6.75 4.25],0
u2,1,0.120693,2.408304,[12 13] ; [9 3],[14.18918919 10.81081081] ; [6.81081081 5.18918919],0
a1,1,0.144035,2.134311,[ 8 63] ; [ 1 34],[ 6.02830189 64.97169811] ; [ 2.97169811 32.02830189],0
a4,1,0.16336,1.942842,[28 43] ; [ 9 26],[24.78301887 46.21698113] ; [12.21698113 22.78301887],0
r2,1,0.191685,1.704618,[59 11] ; [25  9],[56.53846154 13.46153846] ; [27.46153846  6.53846154],0
v2,1,0.239932,1.380994,[22 44] ; [15 18],[24.66666667 41.33333333] ; [12.33333333 20.66666667],0
a6,1,0.268353,1.225145,[40 31] ; [23 11],[42.6 28.4] ; [20.4 13.6],0
v3,1,0.285677,1.139882,[18 48] ; [ 6 28],[15.84 50.16] ; [ 8.16 25.84],0
a5,1,0.302812,1.061767,[40 31] ; [16 19],[37.50943396 33.49056604] ; [18.49056604 16.50943396],0
r1,1,0.336765,0.922708,[44 27] ; [25 10],[46.21698113 24.78301887] ; [22.78301887 12.21698113],0
u1,1,0.362495,0.829231,[ 3 68] ; [ 3 32],[ 4.01886792 66.98113208] ; [ 1.98113208 33.01886792],0
p10,1,0.36276,0.828314,[29 40] ; [18 17],[31.18269231 37.81730769] ; [15.81730769 19.18269231],0
a7,1,0.421379,0.646467,[43 28] ; [24 11],[44.87735849 26.12264151] ; [22.12264151 12.87735849],0
d1,1,0.430257,0.622129,[30 41] ; [12 23],[28.13207547 42.86792453] ; [13.86792453 21.13207547],0
s8,1,0.461102,0.543218,[12 59] ; [ 8 27],[13.39622642 57.60377358] ; [ 6.60377358 28.39622642],0
s7,1,0.487925,0.481099,[16 49] ; [10 22],[17.42268041 47.57731959] ; [ 8.57731959 23.42268041],0
s3,1,0.489186,0.478316,[31 39] ; [18 17],[32.66666667 37.33333333] ; [16.33333333 18.66666667],0
d5,1,0.555175,0.348128,[48 23] ; [21 13],[46.65714286 24.34285714] ; [22.34285714 11.65714286],0
v1,1,0.568843,0.324622,[30 41] ; [12 21],[28.67307692 42.32692308] ; [13.32692308 19.67307692],0
s1,1,0.580069,0.306122,[ 4 66] ; [ 3 32],[ 4.66666667 65.33333333] ; [ 2.33333333 32.66666667],0
d2,1,0.585363,0.297644,[29 42] ; [12 22],[27.72380952 43.27619048] ; [13.27619048 20.72380952],0
r4,1,0.614295,0.253967,[41 30] ; [22 13],[42.19811321 28.80188679] ; [20.80188679 14.19811321],0
s2,1,0.622485,0.24239,[21 50] ; [12 23],[22.10377358 48.89622642] ; [10.89622642 24.10377358],0
p9,1,0.631005,0.230701,[36 33] ; [20 15],[37.15384615 31.84615385] ; [18.84615385 16.15384615],0
u3,1,0.632487,0.228704,[13 13] ; [5 7],[12.31578947 13.68421053] ; [5.68421053 6.31578947],0
a2,1,0.655966,0.198461,[ 8 63] ; [ 5 30],[ 8.70754717 62.29245283] ; [ 4.29245283 30.70754717],0
n3,1,0.746355,0.10462,[18 13] ; [7 4],[18.45238095 12.54761905] ; [6.54761905 4.45238095],0
d3,1,0.800354,0.063953,[39 32] ; [19 14],[39.59615385 31.40384615] ; [18.40384615 14.59615385],0
d4,1,0.809197,0.058304,[50 21] ; [24  9],[50.51923077 20.48076923] ; [23.48076923  9.51923077],0
s5,1,0.823785,0.049586,[11 56] ; [ 5 29],[10.61386139 56.38613861] ; [ 5.38613861 28.61386139],0
s4,1,0.827665,0.047392,[11 60] ; [ 6 29],[11.38679245 59.61320755] ; [ 5.61320755 29.38679245],0
n4,1,0.833068,0.044423,[37 34] ; [19 16],[37.50943396 33.49056604] ; [18.49056604 16.50943396],0
a3,1,0.885143,0.020866,[45 25] ; [23 12],[45.33333333 24.66666667] ; [22.66666667 12.33333333],0
b4,1,0.952848,0.003496,[41 30] ; [20 15],[40.85849057 30.14150943] ; [20.14150943 14.85849057],0
