Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,6.6e-05,15.930993,[ 2 29] ; [9 6],[ 7.41304348 23.58695652] ; [ 3.58695652 11.41304348],1
s8,1,0.003975,8.295037,[ 3 31] ; [7 9],[ 6.8 27.2] ; [ 3.2 12.8],0
p9,1,0.039565,4.236429,[ 8 23] ; [9 7],[11.21276596 19.78723404] ; [ 5.78723404 10.21276596],0
p6,1,0.043613,4.071472,[ 3 31] ; [ 5 11],[ 5.44 28.56] ; [ 2.56 13.44],0
n3,1,0.061369,3.5,[ 5 15] ; [5 3],[ 7.14285714 12.85714286] ; [2.85714286 5.14285714],0
d2,1,0.068909,3.308824,[14 20] ; [11  5],[17. 17.] ; [8. 8.],0
n2,1,0.075475,3.159751,[ 8 13] ; [6 2],[10.13793103 10.86206897] ; [3.86206897 4.13793103],0
a4,1,0.101343,2.684282,[ 9 25] ; [8 8],[11.56 22.44] ; [ 5.44 10.56],0
s6,1,0.125202,2.351006,[ 6 28] ; [ 6 10],[ 8.16 25.84] ; [ 3.84 12.16],0
a5,1,0.12619,2.338765,[16 19] ; [11  5],[18.52941176 16.47058824] ; [8.47058824 7.52941176],0
b5,1,0.135244,2.23125,[14 21] ; [10  6],[16.47058824 18.52941176] ; [7.52941176 8.47058824],0
p2,1,0.139179,2.187015,[12 23] ; [9 7],[14.41176471 20.58823529] ; [6.58823529 9.41176471],0
p4,1,0.145544,2.118347,[ 8 26] ; [7 9],[10.2 23.8] ; [ 4.8 11.2],0
s1,1,0.146331,2.110085,[ 2 33] ; [ 3 13],[ 3.43137255 31.56862745] ; [ 1.56862745 14.43137255],0
d4,1,0.179021,1.805731,[17 18] ; [11  5],[19.21568627 15.78431373] ; [8.78431373 7.21568627],0
a7,1,0.201111,1.63429,[13 22] ; [9 7],[15.09803922 19.90196078] ; [6.90196078 9.09803922],0
n1,1,0.237552,1.395061,[ 8 13] ; [5 3],[ 9.4137931 11.5862069] ; [3.5862069 4.4137931],0
p7,1,0.239501,1.383529,[ 8 26] ; [6 9],[ 9.71428571 24.28571429] ; [ 4.28571429 10.71428571],0
b2,1,0.264617,1.244441,[ 9 14] ; [ 3 11],[ 7.45945946 15.54054054] ; [4.54054054 9.45945946],0
b3,1,0.264617,1.244441,[ 9 14] ; [ 3 11],[ 7.45945946 15.54054054] ; [4.54054054 9.45945946],0
v3,1,0.278625,1.173783,[ 6 28] ; [ 1 15],[ 4.76 29.24] ; [ 2.24 13.76],0
d3,1,0.279184,1.17106,[14 21] ; [9 7],[15.78431373 19.21568627] ; [7.21568627 8.78431373],0
a3,1,0.290733,1.116222,[18 16] ; [11  5],[19.72 14.28] ; [9.28 6.72],0
p1,1,0.295169,1.095893,[ 3 32] ; [ 3 13],[ 4.11764706 30.88235294] ; [ 1.88235294 14.11764706],0
s5,1,0.296369,1.090463,[ 5 30] ; [ 4 11],[ 6.3 28.7] ; [ 2.7 12.3],0
b1,1,0.373934,0.790551,[20 15] ; [7 9],[18.52941176 16.47058824] ; [8.47058824 7.52941176],0
