Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,59.920495,[212  47] ; [37 57],[182.69405099  76.30594901] ; [66.30594901 27.69405099],1
d3,1,0.0,50.145115,[215  45] ; [42 52],[188.75706215  71.24293785] ; [68.24293785 25.75706215],1
a2,1,1e-06,24.818452,[111 151] ; [13 81],[ 91.25842697 170.74157303] ; [32.74157303 61.25842697],1
b5,1,1e-06,23.619016,[178  84] ; [37 57],[158.23033708 103.76966292] ; [56.76966292 37.23033708],1
u1,1,3e-06,22.089752,[ 88 174] ; [ 8 86],[ 70.65168539 191.34831461] ; [25.34831461 68.65168539],1
r4,1,0.000171,14.129626,[251  11] ; [79 15],[242.86516854  19.13483146] ; [87.13483146  6.86516854],1
v4,1,0.001368,10.247877,[256   4] ; [86  8],[251.18644068   8.81355932] ; [90.81355932  3.18644068],0
r2,1,0.001692,9.856868,[255   3] ; [87  7],[250.67045455   7.32954545] ; [91.32954545  2.67045455],0
s8,1,0.002623,9.052927,[157 103] ; [73 21],[168.92655367  91.07344633] ; [61.07344633 32.92655367],0
d1,1,0.003568,8.49134,[200  62] ; [57 37],[189.14044944  72.85955056] ; [67.85955056 26.14044944],0
p9,1,0.007116,7.243351,[240  19] ; [78 16],[233.32011331  25.67988669] ; [84.67988669  9.32011331],0
r1,1,0.010482,6.551087,[225  34] ; [71 23],[217.17847025  41.82152975] ; [78.82152975 15.17847025],0
p10,1,0.010768,6.503235,[232  28] ; [74 20],[224.74576271  35.25423729] ; [81.25423729 12.74576271],0
p2,1,0.028973,4.769221,[227  34] ; [72 21],[220.44915254  40.55084746] ; [78.55084746 14.44915254],0
b1,1,0.036761,4.361446,[ 96 166] ; [46 48],[104.50561798 157.49438202] ; [37.49438202 56.50561798],0
a1,1,0.038476,4.283871,[ 14 248] ; [11 83],[ 18.3988764 243.6011236] ; [ 6.6011236 87.3988764],0
b2,1,0.040634,4.191206,[61 93] ; [37 31],[67.98198198 86.01801802] ; [30.01801802 37.98198198],0
b3,1,0.040634,4.191206,[61 93] ; [37 31],[67.98198198 86.01801802] ; [30.01801802 37.98198198],0
p4,1,0.053603,3.725022,[185  74] ; [57 37],[177.55807365  81.44192635] ; [64.44192635 29.55807365],0
n1,1,0.064808,3.409861,[18 35] ; [14 11],[21.74358974 31.25641026] ; [10.25641026 14.74358974],0
s7,1,0.076897,3.129291,[178  74] ; [73 18],[184.40816327  67.59183673] ; [66.59183673 24.40816327],0
p3,1,0.090778,2.860529,[142 117] ; [61 33],[148.94334278 110.05665722] ; [54.05665722 39.94334278],0
b4,1,0.09518,2.784515,[157 105] ; [47 47],[150.13483146 111.86516854] ; [53.86516854 40.13483146],0
p1,1,0.111051,2.539199,[ 25 236] ; [ 4 89],[ 21.38135593 239.61864407] ; [ 7.61864407 85.38135593],0
p12,1,0.1122,2.522954,[ 36 225] ; [ 7 86],[ 31.70338983 229.29661017] ; [11.29661017 81.70338983],0
v2,1,0.13176,2.271643,[164  86] ; [51 39],[158.08823529  91.91176471] ; [56.91176471 33.08823529],0
v3,1,0.14358,2.139166,[110 141] ; [48 43],[115.95906433 135.04093567] ; [42.04093567 48.95906433],0
r3,1,0.156442,2.00829,[253   8] ; [88  6],[250.70704225  10.29295775] ; [90.29295775  3.70704225],0
a3,1,0.274622,1.193515,[215  46] ; [82 12],[218.35774648  42.64225352] ; [78.64225352 15.35774648],0
n6,1,0.318426,0.9954,[229  29] ; [78 14],[226.30285714  31.69714286] ; [80.69714286 11.30285714],0
n3,1,0.377756,0.777991,[42 11] ; [19  8],[40.4125 12.5875] ; [20.5875  6.4125],0
s3,1,0.385738,0.752336,[226  32] ; [79 15],[223.55113636  34.44886364] ; [81.44886364 12.55113636],0
s1,1,0.407398,0.686382,[ 11 248] ; [ 6 88],[ 12.47308782 246.52691218] ; [ 4.52691218 89.47308782],0
d2,1,0.410447,0.677504,[164  95] ; [55 39],[160.68271955  98.31728045] ; [58.31728045 35.68271955],0
a8,1,0.455814,0.556154,[ 42 195] ; [13 78],[ 39.74085366 197.25914634] ; [15.25914634 75.74085366],0
d4,1,0.506092,0.442139,[233  27] ; [81 12],[231.27478754  28.72521246] ; [82.72521246 10.27478754],0
u4,1,0.533943,0.386882,[ 10 252] ; [ 5 89],[ 11.03932584 250.96067416] ; [ 3.96067416 90.03932584],0
p11,1,0.594938,0.282698,[205  57] ; [76 18],[206.80337079  55.19662921] ; [74.19662921 19.80337079],0
p5,1,0.615425,0.25235,[ 33 226] ; [10 83],[ 31.63920455 227.36079545] ; [11.36079545 81.63920455],0
s4,1,0.685341,0.164175,[ 56 203] ; [22 71],[ 57.39204545 201.60795455] ; [20.60795455 72.39204545],0
p6,1,0.752036,0.099828,[118 142] ; [40 52],[116.70454545 143.29545455] ; [41.29545455 50.70454545],0
p8,1,0.756097,0.096478,[140 119] ; [48 44],[138.72364672 120.27635328] ; [49.27635328 42.72364672],0
p7,1,0.783402,0.075564,[169  84] ; [60 32],[167.93333333  85.06666667] ; [61.06666667 30.93333333],0
n5,1,0.809781,0.057941,[203  56] ; [74 19],[203.81534091  55.18465909] ; [73.18465909 19.81534091],0
u3,1,0.846736,0.037359,[32 14] ; [8 4],[31.72413793 14.27586207] ; [8.27586207 3.72413793],0
a4,1,0.883927,0.021314,[150 112] ; [53 41],[149.3988764 112.6011236] ; [53.6011236 40.3988764],0
n4,1,0.887227,0.020111,[215  46] ; [76 17],[214.55084746  46.44915254] ; [76.44915254 16.55084746],0
d5,1,0.89181,0.0185,[225  35] ; [81 12],[225.38243626  34.61756374] ; [80.61756374 12.38243626],0
s6,1,0.942254,0.005247,[227  30] ; [81 11],[226.80802292  30.19197708] ; [81.19197708 10.80802292],0
v1,1,0.963334,0.002113,[155  98] ; [56 35],[155.18313953  97.81686047] ; [55.81686047 35.18313953],0
s5,1,0.963847,0.002055,[128 121] ; [46 43],[128.18343195 120.81656805] ; [45.81656805 43.18343195],0
n2,1,0.965419,0.00188,[41 12] ; [20  6],[40.92405063 12.07594937] ; [20.07594937  5.92405063],0
u2,1,0.981894,0.000515,[27 19] ; [7 5],[26.96551724 19.03448276] ; [7.03448276 4.96551724],0
