Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,36.648148,[175 144] ; [ 73 175],[139.52733686 179.47266314] ; [108.47266314 139.52733686],1
v2,1,0.0,32.5317,[225  99] ; [112 133],[191.89455185 132.10544815] ; [145.10544815  99.89455185],1
p4,1,3e-05,17.446772,[236  93] ; [138 113],[212.14827586 116.85172414] ; [161.85172414  89.14827586],1
p8,1,4.3e-05,16.750962,[197 126] ; [109 140],[172.79370629 150.20629371] ; [133.20629371 115.79370629],1
p3,1,6.6e-05,15.918805,[201 128] ; [112 140],[177.24096386 151.75903614] ; [135.75903614 116.24096386],1
p6,1,8.3e-05,15.495533,[152 170] ; [ 77 172],[129.13835377 192.86164623] ; [ 99.86164623 149.13835377],1
p2,1,0.000133,14.592082,[298  30] ; [201  51],[282.19310345  45.80689655] ; [216.80689655  35.19310345],1
s5,1,0.000214,13.706764,[133 185] ; [ 65 178],[112.23529412 205.76470588] ; [ 85.76470588 157.23529412],1
s8,1,0.00043,12.395316,[179 150] ; [100 152],[157.98795181 171.01204819] ; [121.01204819 130.98795181],1
p7,1,0.000639,11.658284,[232  88] ; [146 102],[212.95774648 107.04225352] ; [165.04225352  82.95774648],1
p9,1,0.000784,11.279806,[292  35] ; [198  52],[277.694974  49.305026] ; [212.305026  37.694974],1
v4,1,0.000892,11.03867,[320  10] ; [227  24],[310.68846816  19.31153184] ; [236.31153184  14.68846816],1
p10,1,0.001223,10.454787,[285  42] ; [193  58],[270.42560554  56.57439446] ; [207.57439446  43.42560554],0
r4,1,0.001405,10.199851,[311  21] ; [217  36],[299.65128205  32.34871795] ; [228.34871795  24.65128205],0
n5,1,0.001548,10.020099,[297  33] ; [202  48],[283.9137931  46.0862069] ; [215.0862069  34.9137931],0
s6,1,0.00404,8.265951,[237  86] ; [154  94],[221.17863398 101.82136602] ; [169.82136602  78.17863398],0
r3,1,0.006809,7.322545,[322  10] ; [229  20],[314.85714286  17.14285714] ; [236.14285714  12.85714286],0
p12,1,0.007154,7.233874,[ 36 291] ; [ 12 239],[ 27.15570934 299.84429066] ; [ 20.84429066 230.15570934],0
s2,1,0.009002,6.822386,[185 142] ; [115 137],[169.43005181 157.56994819] ; [130.56994819 121.43005181],0
p11,1,0.010008,6.63354,[279  53] ; [191  62],[266.73504274  65.26495726] ; [203.26495726  49.73504274],0
p5,1,0.017343,5.66131,[ 52 277] ; [ 23 229],[ 42.46987952 286.53012048] ; [ 32.53012048 219.46987952],0
r2,1,0.018379,5.559626,[319  10] ; [228  18],[312.97913043  16.02086957] ; [234.02086957  11.97913043],0
b5,1,0.027778,4.841805,[211 121] ; [138 115],[198.06495726 133.93504274] ; [150.93504274 102.06495726],0
r1,1,0.033263,4.532188,[283  47] ; [200  53],[273.39622642  56.60377358] ; [209.60377358  43.39622642],0
u4,1,0.040293,4.205521,[ 11 321] ; [  2 251],[  7.37777778 324.62222222] ; [  5.62222222 247.37777778],0
n1,1,0.045385,4.004278,[28 23] ; [24 42],[22.66666667 28.33333333] ; [29.33333333 36.66666667],0
u1,1,0.089808,2.877818,[ 84 248] ; [ 49 204],[ 75.48034188 256.51965812] ; [ 57.51965812 195.48034188],0
n6,1,0.112352,2.520822,[298  32] ; [216  35],[291.94492255  38.05507745] ; [222.05507745  28.94492255],0
b3,1,0.129629,2.296938,[ 89 130] ; [ 50 102],[ 82.05121294 136.94878706] ; [56.94878706 95.05121294],0
b2,1,0.129629,2.296938,[ 89 130] ; [ 50 102],[ 82.05121294 136.94878706] ; [56.94878706 95.05121294],0
s7,1,0.146364,2.109746,[174 139] ; [119 122],[165.53971119 147.46028881] ; [127.46028881 113.53971119],0
a5,1,0.229989,1.440928,[273  59] ; [198  55],[267.3025641  64.6974359] ; [203.6974359  49.3025641],0
n3,1,0.311222,1.025484,[40 11] ; [47 20],[37.60169492 13.39830508] ; [49.39830508 17.60169492],0
d4,1,0.326244,0.963749,[302  30] ; [223  29],[298.45890411  33.54109589] ; [226.54109589  25.45890411],0
a8,1,0.333078,0.936894,[ 52 240] ; [ 34 198],[ 47.92366412 244.07633588] ; [ 38.07633588 193.92366412],0
n2,1,0.334708,0.930596,[40 11] ; [48 20],[37.71428571 13.28571429] ; [50.28571429 17.71428571],0
u3,1,0.342788,0.899976,[42 29] ; [30 29],[39.32307692 31.67692308] ; [32.67692308 26.32307692],0
d1,1,0.345861,0.888585,[244  88] ; [177  76],[238.92649573  93.07350427] ; [182.07350427  70.92649573],0
b1,1,0.355916,0.852252,[124 208] ; [104 149],[129.39487179 202.60512821] ; [ 98.60512821 154.39487179],0
s1,1,0.405272,0.692629,[  9 318] ; [ 10 240],[ 10.7677643 316.2322357] ; [  8.2322357 241.7677643],0
a3,1,0.418496,0.654535,[261  69] ; [193  60],[256.98113208  73.01886792] ; [197.01886792  55.98113208],0
d3,1,0.443339,0.587624,[252  80] ; [185  68],[248.00683761  83.99316239] ; [188.99316239  64.00683761],0
a6,1,0.537738,0.379748,[225 106] ; [178  75],[228.41267123 102.58732877] ; [174.58732877  78.41267123],0
a2,1,0.64305,0.214775,[ 99 233] ; [ 71 182],[ 96.47863248 235.52136752] ; [ 73.52136752 179.47863248],0
a4,1,0.700607,0.147841,[180 151] ; [133 119],[177.70668954 153.29331046] ; [135.29331046 116.70668954],0
b4,1,0.780996,0.077296,[198 134] ; [148 105],[196.36239316 135.63760684] ; [149.63760684 103.36239316],0
p1,1,0.794773,0.067661,[ 27 304] ; [ 19 232],[ 26.16151203 304.83848797] ; [ 19.83848797 231.16151203],0
a1,1,0.801655,0.063105,[ 20 312] ; [ 14 239],[ 19.2957265 312.7042735] ; [ 14.7042735 238.2957265],0
