Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1.1e-05,19.258402,[10  3] ; [ 3 27],[3.93023256 9.06976744] ; [ 9.06976744 20.93023256],1
p6,1,0.001494,10.085405,[11  3] ; [ 9 23],[6.08695652 7.91304348] ; [13.91304348 18.08695652],0
d2,1,0.005454,7.722284,[9 5] ; [ 7 25],[4.86956522 9.13043478] ; [11.13043478 20.86956522],0
n5,1,0.005591,7.677775,[13  1] ; [16 16],[8.82608696 5.17391304] ; [20.17391304 11.82608696],0
a4,1,0.006816,7.320858,[9 5] ; [ 7 24],[4.97777778 9.02222222] ; [11.02222222 19.97777778],0
b1,1,0.011086,6.451463,[9 5] ; [ 8 24],[5.17391304 8.82608696] ; [11.82608696 20.17391304],0
s5,1,0.011248,6.425705,[8 6] ; [ 6 25],[4.35555556 9.64444444] ; [ 9.64444444 21.35555556],0
v1,1,0.011427,6.397665,[10  4] ; [10 22],[6.08695652 7.91304348] ; [13.91304348 18.08695652],0
d1,1,0.02026,5.389354,[10  4] ; [11 21],[6.39130435 7.60869565] ; [14.60869565 17.39130435],0
a2,1,0.038603,4.278274,[ 4 10] ; [ 2 30],[ 1.82608696 12.17391304] ; [ 4.17391304 27.82608696],0
s6,1,0.057712,3.601956,[11  3] ; [15 16],[8.08888889 5.91111111] ; [17.91111111 13.08888889],0
u3,1,0.072461,3.226364,[5 1] ; [6 9],[3.14285714 2.85714286] ; [7.85714286 7.14285714],0
n1,1,0.078983,3.085714,[4 1] ; [2 5],[2.5 2.5] ; [3.5 3.5],0
p4,1,0.102023,2.673634,[10  4] ; [14 17],[7.46666667 6.53333333] ; [16.53333333 14.46666667],0
p9,1,0.115379,2.478954,[12  2] ; [20 12],[9.73913043 4.26086957] ; [22.26086957  9.73913043],0
d3,1,0.123965,2.366497,[10  4] ; [15 17],[7.60869565 6.39130435] ; [17.39130435 14.60869565],0
s3,1,0.1283,2.31295,[7 7] ; [ 8 22],[4.77272727 9.22727273] ; [10.22727273 19.77272727],0
n6,1,0.146375,2.109624,[12  2] ; [20 11],[9.95555556 4.04444444] ; [22.04444444  8.95555556],0
r3,1,0.160087,1.973402,[13  1] ; [24  8],[11.26086957  2.73913043] ; [25.73913043  6.26086957],0
p5,1,0.185759,1.75094,[ 4 10] ; [ 4 28],[ 2.43478261 11.56521739] ; [ 5.56521739 26.43478261],0
d4,1,0.208458,1.582106,[11  3] ; [19 13],[9.13043478 4.86956522] ; [20.86956522 11.13043478],0
p7,1,0.235446,1.407657,[10  3] ; [18 13],[8.27272727 4.72727273] ; [19.72727273 11.27272727],0
n4,1,0.246008,1.34583,[10  4] ; [17 15],[8.2173913 5.7826087] ; [18.7826087 13.2173913],0
d5,1,0.246008,1.34583,[10  4] ; [17 15],[8.2173913 5.7826087] ; [18.7826087 13.2173913],0
s4,1,0.264022,1.247545,[ 3 11] ; [ 3 29],[ 1.82608696 12.17391304] ; [ 4.17391304 27.82608696],0
b2,1,0.352704,0.863705,[4 7] ; [ 3 12],[2.96153846 8.03846154] ; [ 4.03846154 10.96153846],0
b3,1,0.352704,0.863705,[4 7] ; [ 3 12],[2.96153846 8.03846154] ; [ 4.03846154 10.96153846],0
a8,1,0.36605,0.817028,[ 2 11] ; [ 2 28],[ 1.20930233 11.79069767] ; [ 2.79069767 27.20930233],0
b4,1,0.370768,0.801088,[9 5] ; [16 16],[7.60869565 6.39130435] ; [17.39130435 14.60869565],0
p12,1,0.373468,0.792092,[ 2 12] ; [ 2 30],[ 1.2173913 12.7826087] ; [ 2.7826087 29.2173913],0
u1,1,0.373468,0.792092,[ 2 12] ; [ 2 30],[ 1.2173913 12.7826087] ; [ 2.7826087 29.2173913],0
v2,1,0.375678,0.784798,[9 4] ; [17 14],[7.68181818 5.31818182] ; [18.31818182 12.68181818],0
v4,1,0.431872,0.617783,[13  1] ; [27  5],[12.17391304  1.82608696] ; [27.82608696  4.17391304],0
v3,1,0.435797,0.607324,[ 4 10] ; [13 19],[5.17391304 8.82608696] ; [11.82608696 20.17391304],0
p11,1,0.435797,0.607324,[10  4] ; [19 13],[8.82608696 5.17391304] ; [20.17391304 11.82608696],0
n3,1,0.558185,0.342857,[3 2] ; [3 4],[2.5 2.5] ; [3.5 3.5],0
r2,1,0.569201,0.324021,[13  1] ; [27  4],[12.44444444  1.55555556] ; [27.55555556  3.44444444],0
a7,1,0.583415,0.300746,[8 6] ; [21 11],[8.82608696 5.17391304] ; [20.17391304 11.82608696],0
a6,1,0.583415,0.300746,[8 6] ; [21 11],[8.82608696 5.17391304] ; [20.17391304 11.82608696],0
s2,1,0.61425,0.254032,[7 7] ; [13 18],[6.22222222 7.77777778] ; [13.77777778 17.22222222],0
p1,1,0.622463,0.242422,[ 2 12] ; [ 3 29],[ 1.52173913 12.47826087] ; [ 3.47826087 28.52173913],0
u2,1,0.675706,0.175,[3 3] ; [6 9],[2.57142857 3.42857143] ; [6.42857143 8.57142857],0
