Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.001482,10.100415,[ 2 76] ; [ 46 234],[10.45810056 67.54189944] ; [ 37.54189944 242.45810056],0
s5,1,0.002436,9.187867,[48 31] ; [125 175],[36.06068602 42.93931398] ; [136.93931398 163.06068602],0
n4,1,0.004572,8.041529,[59 24] ; [259  47],[67.85089974 15.14910026] ; [250.14910026  55.85089974],0
v2,1,0.009383,6.748355,[38 44] ; [185 112],[48.24802111 33.75197889] ; [174.75197889 122.24802111],0
s3,1,0.015777,5.827525,[66 16] ; [202 101],[57.08051948 24.91948052] ; [210.91948052  92.08051948],0
s2,1,0.032634,4.564877,[64 18] ; [201 105],[56.00515464 25.99484536] ; [208.99484536  97.00515464],0
b2,1,0.041271,4.164837,[11 36] ; [ 79 122],[17.05645161 29.94354839] ; [ 72.94354839 128.05645161],0
b3,1,0.041271,4.164837,[11 36] ; [ 79 122],[17.05645161 29.94354839] ; [ 72.94354839 128.05645161],0
p6,1,0.04183,4.14206,[51 32] ; [148 155],[42.79015544 40.20984456] ; [156.20984456 146.79015544],0
v1,1,0.042339,4.121614,[41 41] ; [186 112],[48.98421053 33.01578947] ; [178.01578947 119.98421053],0
v3,1,0.055538,3.665859,[26 54] ; [131 164],[33.49333333 46.50666667] ; [123.50666667 171.49333333],0
d1,1,0.080187,3.061104,[62 21] ; [198 109],[55.33333333 27.66666667] ; [204.66666667 102.33333333],0
b4,1,0.105718,2.617098,[56 27] ; [177 130],[49.58717949 33.41282051] ; [183.41282051 123.58717949],0
p9,1,0.109589,2.560138,[70 13] ; [276  29],[74.01546392  8.98453608] ; [271.98453608  33.01546392],0
n5,1,0.123395,2.373694,[63 20] ; [254  51],[67.81185567 15.18814433] ; [249.18814433  55.81185567],0
d5,1,0.184594,1.760241,[75  8] ; [259  47],[71.26478149 11.73521851] ; [262.73521851  43.26478149],0
p3,1,0.185307,1.754544,[62 21] ; [206 101],[57.03589744 25.96410256] ; [210.96410256  96.03589744],0
p12,1,0.185537,1.752706,[ 6 77] ; [ 38 268],[ 9.38817481 73.61182519] ; [ 34.61182519 271.38817481],0
u4,1,0.188044,1.732873,[ 1 82] ; [ 13 294],[ 2.97948718 80.02051282] ; [ 11.02051282 295.97948718],0
s1,1,0.189492,1.721563,[ 5 78] ; [  9 293],[ 3.01818182 79.98181818] ; [ 10.98181818 291.01818182],0
n1,1,0.198496,1.653404,[ 5 13] ; [26 32],[ 7.34210526 10.65789474] ; [23.65789474 34.34210526],0
p5,1,0.200712,1.637184,[11 72] ; [ 59 246],[14.9742268 68.0257732] ; [ 55.0257732 249.9742268],0
p7,1,0.238304,1.390599,[64 18] ; [216  86],[59.79166667 22.20833333] ; [220.20833333  81.79166667],0
a4,1,0.257709,1.281021,[45 38] ; [144 161],[40.43041237 42.56958763] ; [148.56958763 156.43041237],0
d3,1,0.270913,1.212119,[67 16] ; [230  77],[63.20769231 19.79230769] ; [233.79230769  73.20769231],0
a1,1,0.2779,1.177333,[ 3 80] ; [ 21 286],[ 5.10769231 77.89230769] ; [ 18.89230769 288.10769231],0
p1,1,0.324637,0.970173,[11 72] ; [ 29 275],[ 8.57881137 74.42118863] ; [ 31.42118863 272.57881137],0
u1,1,0.332872,0.937691,[22 61] ; [ 66 241],[18.72820513 64.27179487] ; [ 69.27179487 237.72820513],0
d2,1,0.377043,0.780322,[49 34] ; [164 142],[45.44730077 37.55269923] ; [167.55269923 138.44730077],0
u3,1,0.377926,0.777439,[15  5] ; [53 29],[13.33333333  6.66666667] ; [54.66666667 27.33333333],0
b5,1,0.382724,0.761935,[52 31] ; [176 131],[48.52307692 34.47692308] ; [179.47692308 127.52307692],0
r1,1,0.405717,0.691316,[72 11] ; [253  52],[69.52319588 13.47680412] ; [255.47680412  49.52319588],0
b1,1,0.446262,0.580129,[36 47] ; [119 188],[32.98717949 50.01282051] ; [122.01282051 184.98717949],0
p11,1,0.45791,0.550999,[64 19] ; [248  59],[66.4 16.6] ; [245.6  61.4],0
a2,1,0.45918,0.547892,[25 58] ; [ 80 227],[22.34615385 60.65384615] ; [ 82.65384615 224.34615385],0
s7,1,0.473657,0.513432,[54 25] ; [185 104],[51.30706522 27.69293478] ; [187.69293478 101.30706522],0
a3,1,0.512869,0.428209,[63 20] ; [222  85],[60.65384615 22.34615385] ; [224.34615385  82.65384615],0
p2,1,0.556789,0.345295,[73 10] ; [275  30],[74.44329897  8.55670103] ; [273.55670103  31.44329897],0
p10,1,0.563771,0.333217,[70 13] ; [263  40],[71.60362694 11.39637306] ; [261.39637306  41.60362694],0
p8,1,0.589978,0.290379,[54 28] ; [191 114],[51.9121447 30.0878553] ; [193.0878553 111.9121447],0
d4,1,0.636893,0.222828,[73 10] ; [263  43],[71.69151671 11.30848329] ; [264.30848329  41.69151671],0
u2,1,0.645703,0.21136,[12  8] ; [55 29],[12.88461538  7.11538462] ; [54.11538462 29.88461538],0
r4,1,0.731444,0.11779,[77  6] ; [288  19],[77.67948718  5.32051282] ; [287.32051282  19.67948718],0
n3,1,0.760443,0.092963,[13  5] ; [39 18],[12.48  5.52] ; [39.52 17.48],0
r2,1,0.778251,0.079298,[79  4] ; [286  17],[78.48445596  4.51554404] ; [286.51554404  16.48445596],0
a6,1,0.786045,0.073685,[57 26] ; [206 101],[55.97179487 27.02820513] ; [207.02820513  99.97179487],0
v4,1,0.796468,0.066523,[80  3] ; [293  13],[79.58611825  3.41388175] ; [293.41388175  12.58611825],0
s8,1,0.79874,0.065014,[50 33] ; [179 126],[48.9871134 34.0128866] ; [180.0128866 124.9871134],0
r3,1,0.811071,0.057142,[80  2] ; [298   9],[79.68123393  2.31876607] ; [298.31876607   8.68123393],0
a5,1,0.891022,0.018772,[66 17] ; [242  65],[65.54871795 17.45128205] ; [242.45128205  64.54871795],0
n2,1,0.900328,0.015687,[13  5] ; [41 17],[12.78947368  5.21052632] ; [41.21052632 16.78947368],0
n6,1,0.956529,0.002971,[72 10] ; [268  38],[71.8556701 10.1443299] ; [268.1443299  37.8556701],0
a7,1,0.994822,4.2e-05,[61 22] ; [225  81],[61.02313625 21.97686375] ; [224.97686375  81.02313625],0
