Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.001512,10.063524,[ 7 36] ; [17 17],[13.4025974 29.5974026] ; [10.5974026 23.4025974],0
p8,1,0.003165,8.709901,[ 6 37] ; [15 19],[11.72727273 31.27272727] ; [ 9.27272727 24.72727273],0
d2,1,0.030137,4.701476,[27 16] ; [12 20],[22.36 20.64] ; [16.64 15.36],0
a2,1,0.035765,4.408276,[12 31] ; [ 3 31],[ 8.37662338 34.62337662] ; [ 6.62337662 27.37662338],0
n5,1,0.071503,3.248175,[23 20] ; [25  9],[26.80519481 16.19480519] ; [21.19480519 12.80519481],0
a4,1,0.082783,3.009408,[25 18] ; [13 21],[21.22077922 21.77922078] ; [16.77922078 17.22077922],0
u2,1,0.133348,2.253089,[8 3] ; [5 7],[6.2173913 4.7826087] ; [6.7826087 5.2173913],0
n1,1,0.149173,2.080688,[10  8] ; [2 6],[8.30769231 9.69230769] ; [3.69230769 4.30769231],0
a5,1,0.153835,2.033808,[33 10] ; [21 13],[30.15584416 12.84415584] ; [23.84415584 10.15584416],0
r4,1,0.159915,1.975034,[39  4] ; [27  7],[36.85714286  6.14285714] ; [29.14285714  4.85714286],0
v3,1,0.17954,1.801428,[17 20] ; [10 23],[14.27142857 22.72857143] ; [12.72857143 20.27142857],0
u1,1,0.194213,1.685363,[10 33] ; [ 4 30],[ 7.81818182 35.18181818] ; [ 6.18181818 27.81818182],0
d4,1,0.215502,1.534073,[36  7] ; [23  9],[33.82666667  9.17333333] ; [25.17333333  6.82666667],0
v1,1,0.239767,1.381961,[21 20] ; [22 12],[23.50666667 17.49333333] ; [19.49333333 14.50666667],0
d1,1,0.240719,1.376379,[26 17] ; [16 18],[23.45454545 19.54545455] ; [18.54545455 15.45454545],0
a8,1,0.264724,1.243882,[ 3 39] ; [ 5 28],[ 4.48 37.52] ; [ 3.52 29.48],0
