Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.3e-05,19.034469,[58 35] ; [ 51 100],[41.54508197 51.45491803] ; [67.45491803 83.54508197],1
p9,1,0.000191,13.915023,[77 17] ; [91 63],[63.67741935 30.32258065] ; [104.32258065  49.67741935],1
p2,1,0.000272,13.254461,[77 18] ; [93 65],[63.83399209 31.16600791] ; [106.16600791  51.83399209],1
r1,1,0.002317,9.279367,[73 20] ; [95 64],[62. 31.] ; [106.  53.],0
p10,1,0.004168,8.209138,[71 24] ; [88 67],[60.42 34.58] ; [98.58 56.42],0
v3,1,0.004454,8.088955,[35 55] ; [ 34 121],[25.34693878 64.65306122] ; [ 43.65306122 111.34693878],0
p6,1,0.00479,7.95692,[27 67] ; [ 22 134],[18.424 75.576] ; [ 30.576 125.424],0
p11,1,0.005491,7.710095,[74 21] ; [97 62],[63.95669291 31.04330709] ; [107.04330709  51.95669291],0
r4,1,0.005658,7.655968,[80 15] ; [109  50],[70.68897638 24.31102362] ; [118.31102362  40.68897638],0
s6,1,0.006245,7.478343,[43 49] ; [ 47 112],[32.98804781 59.01195219] ; [ 57.01195219 101.98804781],0
a5,1,0.008452,6.935167,[70 25] ; [91 68],[60.21653543 34.78346457] ; [100.78346457  58.21653543],0
p4,1,0.013555,6.095218,[39 56] ; [ 41 116],[30.15873016 64.84126984] ; [ 49.84126984 107.15873016],0
p8,1,0.023139,5.158052,[40 52] ; [ 46 111],[31.7751004 60.2248996] ; [ 54.2248996 102.7751004],0
u1,1,0.042966,4.09673,[14 81] ; [ 11 148],[ 9.3503937 85.6496063] ; [ 15.6496063 143.3503937],0
s8,1,0.046227,3.973285,[23 71] ; [ 23 136],[17.09090909 76.90909091] ; [ 28.90909091 130.09090909],0
u2,1,0.051556,3.790127,[23 12] ; [28 34],[18.40206186 16.59793814] ; [32.59793814 29.40206186],0
s2,1,0.072957,3.215208,[16 77] ; [ 15 143],[11.48605578 81.51394422] ; [ 19.51394422 138.48605578],0
p7,1,0.079432,3.076482,[43 50] ; [ 55 102],[36.456 56.544] ; [61.544 95.456],0
b1,1,0.080046,3.063974,[29 66] ; [66 93],[35.53149606 59.46850394] ; [59.46850394 99.53149606],0
r3,1,0.082545,3.014069,[84  9] ; [130  28],[79.29083665 13.70916335] ; [134.70916335  23.29083665],0
n5,1,0.087411,2.921419,[66 28] ; [94 64],[59.68253968 34.31746032] ; [100.31746032  57.68253968],0
n4,1,0.094531,2.795473,[66 28] ; [95 64],[59.81818182 34.18181818] ; [101.18181818  57.81818182],0
u3,1,0.131381,2.276106,[20 15] ; [26 37],[16.42857143 18.57142857] ; [29.57142857 33.42857143],0
p5,1,0.134668,2.237846,[ 6 89] ; [  4 154],[ 3.75494071 91.24505929] ; [  6.24505929 151.75494071],0
n6,1,0.136647,2.215318,[74 19] ; [113  46],[69.01190476 23.98809524] ; [117.98809524  41.01190476],0
b5,1,0.166,1.918703,[65 30] ; [95 64],[59.84251969 35.15748031] ; [100.15748031  58.84251969],0
r2,1,0.16609,1.917881,[82 11] ; [128  29],[78.12 14.88] ; [131.88  25.12],0
p1,1,0.193068,1.694046,[ 8 87] ; [  7 151],[ 5.63241107 89.36758893] ; [  9.36758893 148.63241107],0
a6,1,0.197888,1.657894,[65 30] ; [96 63],[60.21653543 34.78346457] ; [100.78346457  58.21653543],0
v4,1,0.208713,1.580335,[84 10] ; [133  26],[80.62450593 13.37549407] ; [136.37549407  22.62450593],0
b2,1,0.212006,1.557672,[24 35] ; [27 61],[20.46938776 38.53061224] ; [30.53061224 57.46938776],0
b3,1,0.212006,1.557672,[24 35] ; [27 61],[20.46938776 38.53061224] ; [30.53061224 57.46938776],0
s7,1,0.216973,1.524281,[21 71] ; [ 25 127],[17.3442623 74.6557377] ; [ 28.6557377 123.3442623],0
u4,1,0.291968,1.110523,[ 2 93] ; [  1 158],[ 1.12204724 93.87795276] ; [  1.87795276 157.12204724],0
n2,1,0.364001,0.824042,[17  8] ; [38 28],[15.10989011  9.89010989] ; [39.89010989 26.10989011],0
n3,1,0.405881,0.690835,[16  8] ; [37 28],[14.29213483  9.70786517] ; [38.70786517 26.29213483],0
s4,1,0.458172,0.550356,[ 9 85] ; [ 20 138],[10.81746032 83.18253968] ; [ 18.18253968 139.81746032],0
d4,1,0.474461,0.511568,[73 22] ; [115  43],[70.59288538 24.40711462] ; [117.40711462  40.59288538],0
a1,1,0.477821,0.503833,[ 3 92] ; [  8 151],[ 4.11417323 90.88582677] ; [  6.88582677 152.11417323],0
b4,1,0.510731,0.432569,[56 39] ; [87 72],[53.48425197 41.51574803] ; [89.51574803 69.48425197],0
d2,1,0.560212,0.339337,[37 58] ; [67 90],[39.20634921 55.79365079] ; [64.79365079 92.20634921],0
a8,1,0.563143,0.334291,[10 76] ; [ 14 137],[ 8.70886076 77.29113924] ; [ 15.29113924 135.70886076],0
a4,1,0.601385,0.272912,[38 57] ; [ 58 100],[36.04743083 58.95256917] ; [59.95256917 98.04743083],0
p12,1,0.618871,0.247458,[ 2 93] ; [  5 153],[ 2.6284585 92.3715415] ; [  4.3715415 153.6284585],0
s1,1,0.622528,0.24233,[ 2 92] ; [  5 152],[ 2.62151394 91.37848606] ; [  4.37848606 152.62151394],0
a3,1,0.703984,0.144361,[60 35] ; [96 62],[58.5770751 36.4229249] ; [97.4229249 60.5770751],0
d5,1,0.733287,0.116115,[71 24] ; [115  43],[69.84189723 25.15810277] ; [116.15810277  41.84189723],0
a7,1,0.740099,0.11004,[63 31] ; [102  55],[61.79282869 32.20717131] ; [103.20717131  53.79282869],0
n1,1,0.867834,0.027692,[ 8 17] ; [22 43],[ 8.33333333 16.66666667] ; [21.66666667 43.33333333],0
s5,1,0.903245,0.014778,[14 78] ; [ 23 134],[13.67068273 78.32931727] ; [ 23.32931727 133.67068273],0
a2,1,0.906108,0.013912,[15 80] ; [ 26 133],[15.33464567 79.66535433] ; [ 25.66535433 133.33464567],0
d1,1,0.975526,0.000941,[45 50] ; [75 84],[44.88188976 50.11811024] ; [75.11811024 83.88188976],0
d3,1,0.988181,0.000219,[58 37] ; [96 61],[58.05555556 36.94444444] ; [95.94444444 61.05555556],0
