Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1e-06,25.099206,[23 41] ; [23  1],[33.45454545 30.54545455] ; [12.54545455 11.45454545],1
d3,1,1e-06,24.401528,[18 45] ; [21  3],[28.24137931 34.75862069] ; [10.75862069 13.24137931],1
d2,1,4e-06,21.516387,[13 51] ; [17  6],[22.06896552 41.93103448] ; [ 7.93103448 15.06896552],1
d4,1,2.9e-05,17.465588,[30 34] ; [23  1],[38.54545455 25.45454545] ; [14.45454545  9.54545455],1
a4,1,0.000154,14.324901,[12 52] ; [14  9],[19.12643678 44.87356322] ; [ 6.87356322 16.12643678],1
p5,1,0.000266,13.297121,[ 1 61] ; [ 6 17],[ 5.10588235 56.89411765] ; [ 1.89411765 21.10588235],1
a5,1,0.004075,8.25,[26 38] ; [18  6],[32. 32.] ; [12. 12.],0
p7,1,0.014499,5.976309,[26 35] ; [ 3 19],[21.31325301 39.68674699] ; [ 7.68674699 14.31325301],0
a2,1,0.018954,5.505729,[ 3 61] ; [ 5 19],[ 5.81818182 58.18181818] ; [ 2.18181818 21.81818182],0
r2,1,0.02226,5.225309,[31 32] ; [17  5],[35.57647059 27.42352941] ; [12.42352941  9.57647059],0
u1,1,0.028254,4.8125,[ 1 63] ; [ 3 21],[ 2.90909091 61.09090909] ; [ 1.09090909 22.90909091],0
a3,1,0.032515,4.571154,[28 34] ; [17  7],[32.44186047 29.55813953] ; [12.55813953 11.44186047],0
n4,1,0.079752,3.069946,[32 32] ; [17  7],[35.63636364 28.36363636] ; [13.36363636 10.63636364],0
p2,1,0.087264,2.924144,[39 24] ; [ 9 13],[35.57647059 27.42352941] ; [12.42352941  9.57647059],0
p3,1,0.148669,2.085853,[15 49] ; [ 9 14],[17.65517241 46.34482759] ; [ 6.34482759 16.65517241],0
a6,1,0.150962,2.0625,[29 35] ; [15  9],[32. 32.] ; [12. 12.],0
p8,1,0.204291,1.611431,[22 41] ; [ 5 19],[19.55172414 43.44827586] ; [ 7.44827586 16.55172414],0
s6,1,0.268925,1.222222,[18 46] ; [ 4 20],[16. 48.] ; [ 6. 18.],0
a7,1,0.314845,1.010243,[27 37] ; [13 11],[29.09090909 34.90909091] ; [10.90909091 13.09090909],0
n2,1,0.31667,1.002653,[16 13] ; [5 8],[14.5 14.5] ; [6.5 6.5],0
u3,1,0.359397,0.84,[ 9 26] ; [3 4],[10. 25.] ; [2. 5.],0
v3,1,0.36202,0.830873,[10 53] ; [ 2 22],[ 8.68965517 54.31034483] ; [ 3.31034483 20.68965517],0
p6,1,0.395191,0.722909,[10 53] ; [ 2 21],[ 8.79069767 54.20930233] ; [ 3.20930233 19.79069767],0
b5,1,0.40819,0.684065,[33 31] ; [10 14],[31.27272727 32.72727273] ; [11.72727273 12.27272727],0
s8,1,0.439291,0.598134,[ 9 55] ; [ 5 19],[10.18181818 53.81818182] ; [ 3.81818182 20.18181818],0
p9,1,0.442375,0.590113,[36 27] ; [11 12],[34.43023256 28.56976744] ; [12.56976744 10.43023256],0
s3,1,0.499439,0.456128,[21 41] ; [10 14],[22.34883721 39.65116279] ; [ 8.65116279 15.34883721],0
p11,1,0.50993,0.434211,[29 35] ; [ 9 15],[27.63636364 36.36363636] ; [10.36363636 13.63636364],0
s5,1,0.559578,0.340435,[ 8 56] ; [ 4 19],[ 8.82758621 55.17241379] ; [ 3.17241379 19.82758621],0
b1,1,0.570665,0.321571,[33 31] ; [14 10],[34.18181818 29.81818182] ; [12.81818182 11.18181818],0
b4,1,0.570665,0.321571,[33 31] ; [14 10],[34.18181818 29.81818182] ; [12.81818182 11.18181818],0
r1,1,0.58042,0.305556,[15 49] ; [ 7 17],[16. 48.] ; [ 6. 18.],0
