Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000123,14.74359,[10 36] ; [40 29],[20. 26.] ; [30. 39.],1
p4,1,0.001659,9.89295,[16 31] ; [44 25],[24.31034483 22.68965517] ; [35.68965517 33.31034483],0
b1,1,0.002077,9.480416,[17 30] ; [45 24],[25.12068966 21.87931034] ; [36.87931034 32.12068966],0
p6,1,0.01344,6.11031,[ 7 40] ; [24 43],[12.78070175 34.21929825] ; [18.21929825 48.78070175],0
r2,1,0.018515,5.5468,[45  2] ; [54 13],[40.81578947  6.18421053] ; [58.18421053  8.81578947],0
p11,1,0.023944,5.098701,[26 21] ; [52 17],[31.60344828 15.39655172] ; [46.39655172 22.60344828],0
p3,1,0.02501,5.023191,[14 33] ; [35 34],[19.85344828 27.14655172] ; [29.14655172 39.85344828],0
s6,1,0.028331,4.807791,[21 26] ; [45 24],[26.74137931 20.25862069] ; [39.25862069 29.74137931],0
u2,1,0.053007,3.743704,[8 7] ; [22  5],[10.71428571  4.28571429] ; [19.28571429  7.71428571],0
a2,1,0.085403,2.958961,[ 4 43] ; [14 55],[ 7.29310345 39.70689655] ; [10.70689655 58.29310345],0
s8,1,0.094143,2.802058,[12 35] ; [28 41],[16.20689655 30.79310345] ; [23.79310345 45.20689655],0
p10,1,0.11704,2.456484,[26 21] ; [48 21],[29.98275862 17.01724138] ; [44.01724138 24.98275862],0
n5,1,0.122494,2.385135,[16 31] ; [33 35],[20.02608696 26.97391304] ; [28.97391304 39.02608696],0
p1,1,0.178069,1.813668,[ 5 41] ; [ 3 66],[ 3.2 42.8] ; [ 4.8 64.2],0
r4,1,0.203419,1.617656,[40  7] ; [52 17],[37.27586207  9.72413793] ; [54.72413793 14.27586207],0
p5,1,0.221686,1.493425,[ 1 46] ; [ 5 64],[ 2.43103448 44.56896552] ; [ 3.56896552 65.43103448],0
b2,1,0.281959,1.157623,[ 7 14] ; [ 9 34],[ 5.25 15.75] ; [10.75 32.25],0
b3,1,0.281959,1.157623,[ 7 14] ; [ 9 34],[ 5.25 15.75] ; [10.75 32.25],0
a7,1,0.290394,1.117792,[35 12] ; [45 24],[32.4137931 14.5862069] ; [47.5862069 21.4137931],0
b4,1,0.307785,1.040155,[31 16] ; [39 30],[28.36206897 18.63793103] ; [41.63793103 27.36206897],0
s7,1,0.308854,1.035569,[13 31] ; [25 39],[15.48148148 28.51851852] ; [22.51851852 41.48148148],0
v4,1,0.344625,0.893149,[41  5] ; [63  4],[42.33628319  3.66371681] ; [61.66371681  5.33628319],0
u1,1,0.34697,0.884509,[ 3 44] ; [ 8 61],[ 4.45689655 42.54310345] ; [ 6.54310345 62.45689655],0
d4,1,0.362495,0.829233,[38  9] ; [50 18],[35.96521739 11.03478261] ; [52.03478261 15.96521739],0
