Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,5.6e-05,16.23437,[ 31 108] ; [23 19],[41.46961326 97.53038674] ; [12.53038674 29.46961326],1
p7,1,0.000308,13.022342,[49 90] ; [28 14],[59.13259669 79.86740331] ; [17.86740331 24.13259669],1
p4,1,0.001482,10.100539,[43 99] ; [24 18],[51.70652174 90.29347826] ; [15.29347826 26.70652174],0
s8,1,0.00407,8.252424,[ 25 116] ; [16 25],[ 31.76373626 109.23626374] ; [ 9.23626374 31.76373626],0
s7,1,0.005441,7.726661,[ 30 103] ; [18 22],[36.9017341 96.0982659] ; [11.0982659 28.9017341],0
r3,1,0.015864,5.817831,[111  29] ; [40  2],[116.15384615  23.84615385] ; [34.84615385  7.15384615],0
p3,1,0.016782,5.719013,[ 34 108] ; [18 24],[ 40.13043478 101.86956522] ; [11.86956522 30.13043478],0
n6,1,0.016965,5.699956,[81 58] ; [33  9],[87.54696133 51.45303867] ; [26.45303867 15.54696133],0
b2,1,0.021749,5.265734,[25 68] ; [14 14],[29.97520661 63.02479339] ; [ 9.02479339 18.97520661],0
b3,1,0.021749,5.265734,[25 68] ; [14 14],[29.97520661 63.02479339] ; [ 9.02479339 18.97520661],0
p1,1,0.021999,5.245882,[  6 134] ; [ 6 36],[  9.23076923 130.76923077] ; [ 2.76923077 39.23076923],0
v4,1,0.028707,4.785095,[109  31] ; [39  3],[113.84615385  26.15384615] ; [34.15384615  7.84615385],0
n3,1,0.036555,4.371041,[28 24] ; [14  3],[31.65217391 20.34782609] ; [10.34782609  6.65217391],0
u4,1,0.044648,4.031896,[  2 140] ; [ 3 39],[  3.85869565 138.14130435] ; [ 1.14130435 40.85869565],0
p2,1,0.047099,3.941853,[77 65] ; [30 12],[82.57608696 59.42391304] ; [24.42391304 17.57608696],0
r4,1,0.048009,3.909657,[96 46] ; [35  7],[101.09782609  40.90217391] ; [29.90217391 12.09782609],0
b5,1,0.060297,3.529185,[82 60] ; [31 11],[87.20652174 54.79347826] ; [25.79347826 16.20652174],0
n4,1,0.066379,3.37037,[85 55] ; [32 10],[90. 50.] ; [27. 15.],0
v2,1,0.073493,3.203227,[52 85] ; [22 19],[56.95505618 80.04494382] ; [17.04494382 23.95505618],0
s2,1,0.113051,2.511042,[ 36 105] ; [16 26],[ 40.06557377 100.93442623] ; [11.93442623 30.06557377],0
p11,1,0.117368,2.452096,[65 77] ; [25 17],[69.45652174 72.54347826] ; [20.54347826 21.45652174],0
n2,1,0.123841,2.368054,[30 24] ; [13  4],[32.70422535 21.29577465] ; [10.29577465  6.70422535],0
r2,1,0.131475,2.275,[117  23] ; [39  3],[120.  20.] ; [36.  6.],0
a5,1,0.141074,2.166204,[89 53] ; [21 21],[84.89130435 57.10869565] ; [25.10869565 16.89130435],0
p9,1,0.151493,2.05715,[45 91] ; [19 23],[48.8988764 87.1011236] ; [15.1011236 26.8988764],0
p5,1,0.187293,1.738785,[  6 135] ; [ 4 38],[  7.70491803 133.29508197] ; [ 2.29508197 39.70491803],0
s6,1,0.189437,1.721994,[56 85] ; [21 20],[59.65384615 81.34615385] ; [17.34615385 23.65384615],0
u2,1,0.203067,1.620179,[23 33] ; [11  8],[25.38666667 30.61333333] ; [ 8.61333333 10.38666667],0
s3,1,0.236173,1.403292,[52 87] ; [20 22],[55.29281768 83.70718232] ; [16.70718232 25.29281768],0
n5,1,0.26526,1.241094,[73 67] ; [26 16],[76.15384615 63.84615385] ; [22.84615385 19.15384615],0
v1,1,0.341041,0.906515,[50 90] ; [18 23],[52.59668508 87.40331492] ; [15.40331492 25.59668508],0
a8,1,0.455654,0.556549,[ 17 112] ; [ 7 32],[ 18.42857143 110.57142857] ; [ 5.57142857 33.42857143],0
r1,1,0.463526,0.537368,[95 45] ; [31 11],[96.92307692 43.07692308] ; [29.07692308 12.92307692],0
s5,1,0.46649,0.530278,[ 25 116] ; [ 5 34],[ 23.5 117.5] ; [ 6.5 32.5],0
a7,1,0.507528,0.43916,[82 58] ; [27 15],[83.84615385 56.15384615] ; [25.15384615 16.84615385],0
d1,1,0.51962,0.414648,[63 79] ; [21 21],[64.82608696 77.17391304] ; [19.17391304 22.82608696],0
a4,1,0.545253,0.36589,[56 84] ; [19 23],[57.69230769 82.30769231] ; [17.30769231 24.69230769],0
a3,1,0.568191,0.325719,[83 56] ; [23 19],[81.40331492 57.59668508] ; [24.59668508 17.40331492],0
d2,1,0.577759,0.309871,[66 73] ; [22 20],[67.5801105 71.4198895] ; [20.4198895 21.5801105],0
a2,1,0.589872,0.290544,[ 29 113] ; [ 7 35],[ 27.7826087 114.2173913] ; [ 8.2173913 33.7826087],0
u1,1,0.591177,0.288511,[ 19 123] ; [ 7 35],[ 20.06521739 121.93478261] ; [ 5.93478261 36.06521739],0
b1,1,0.6088,0.261926,[68 74] ; [22 20],[69.45652174 72.54347826] ; [20.54347826 21.45652174],0
d3,1,0.629664,0.232517,[78 63] ; [25 17],[79.36065574 61.63934426] ; [23.63934426 18.36065574],0
d4,1,0.648188,0.208193,[101  38] ; [29 13],[99.83425414 39.16574586] ; [30.16574586 11.83425414],0
s1,1,0.669602,0.182067,[  8 133] ; [ 3 37],[  8.56906077 132.43093923] ; [ 2.43093923 37.56906077],0
n1,1,0.727383,0.121528,[21 33] ; [7 9],[21.6 32.4] ; [6.4 9.6],0
b4,1,0.816033,0.054126,[84 58] ; [24 18],[83.34782609 58.65217391] ; [24.65217391 17.34782609],0
v3,1,0.836247,0.042723,[37 97] ; [12 29],[37.52 96.48] ; [11.48 29.52],0
d5,1,0.838772,0.041398,[95 46] ; [29 13],[95.54098361 45.45901639] ; [28.45901639 13.54098361],0
a1,1,0.896871,0.0168,[ 11 131] ; [ 3 39],[ 10.80434783 131.19565217] ; [ 3.19565217 38.80434783],0
u3,1,0.902814,0.01491,[27 32] ; [ 9 10],[27.23076923 31.76923077] ; [ 8.76923077 10.23076923],0
a6,1,0.995315,3.4e-05,[84 57] ; [25 17],[83.98360656 57.01639344] ; [25.01639344 16.98360656],0
