Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,24.097541,[258  27] ; [49 23],[245.08403361  39.91596639] ; [61.91596639 10.08403361],1
p7,1,1.5e-05,18.773351,[207  69] ; [35 37],[191.93103448  84.06896552] ; [50.06896552 21.93103448],1
b1,1,7.1e-05,15.797183,[ 98 189] ; [44 30],[112.89196676 174.10803324] ; [29.10803324 44.89196676],1
n4,1,0.001446,10.14656,[251  36] ; [52 20],[242.23119777  44.76880223] ; [60.76880223 11.23119777],0
p8,1,0.001756,9.788175,[161 119] ; [27 46],[149.12181303 130.87818697] ; [38.87818697 34.12181303],0
n5,1,0.002413,9.205138,[236  49] ; [48 24],[226.72268908  58.27731092] ; [57.27731092 14.72268908],0
p2,1,0.015232,5.889471,[249  37] ; [56 18],[242.30555556  43.69444444] ; [62.69444444 11.30555556],0
p9,1,0.03079,4.664639,[258  26] ; [59 13],[252.88764045  31.11235955] ; [64.11235955  7.88764045],0
p4,1,0.03949,4.239675,[202  84] ; [43 31],[194.63888889  91.36111111] ; [50.36111111 23.63888889],0
u2,1,0.053337,3.733333,[30 12] ; [6 8],[27. 15.] ; [9. 5.],0
r3,1,0.06183,3.487593,[279   7] ; [68  5],[276.44011142   9.55988858] ; [70.55988858  2.44011142],0
n6,1,0.063699,3.438358,[256  29] ; [59 13],[251.47058824  33.52941176] ; [63.52941176  8.47058824],0
p1,1,0.064621,3.414636,[ 20 266] ; [10 63],[ 23.89972145 262.10027855] ; [ 6.10027855 66.89972145],0
p3,1,0.074445,3.182182,[172 114] ; [36 38],[165.24444444 120.75555556] ; [42.75555556 31.24444444],0
v3,1,0.080552,3.053725,[137 139] ; [27 44],[130.44380403 145.55619597] ; [33.55619597 37.44380403],0
a7,1,0.09027,2.869558,[196  91] ; [58 16],[201.93351801  85.06648199] ; [52.06648199 21.93351801],0
p5,1,0.098067,2.736701,[ 49 234] ; [ 7 67],[ 44.39215686 238.60784314] ; [11.60784314 62.39215686],0
a5,1,0.107368,2.59254,[237  50] ; [55 19],[232.14404432  54.85595568] ; [59.85595568 14.14404432],0
b4,1,0.115651,2.475244,[157 130] ; [48 26],[162.97783934 124.02216066] ; [42.02216066 31.97783934],0
p12,1,0.157401,1.999017,[ 31 254] ; [ 4 70],[ 27.78551532 257.21448468] ; [ 7.21448468 66.78551532],0
