Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,4e-06,21.192069,[51  8] ; [2 8],[45.31884058 13.68115942] ; [7.68115942 2.31884058],1
p1,1,1.8e-05,18.343251,[ 1 57] ; [4 6],[ 4.26470588 53.73529412] ; [0.73529412 9.26470588],1
d3,1,0.019124,5.490113,[49 10] ; [5 5],[46.17391304 12.82608696] ; [7.82608696 2.17391304],0
d2,1,0.020916,5.333781,[29 30] ; [1 9],[25.65217391 33.34782609] ; [4.34782609 5.65217391],0
s8,1,0.050762,3.81612,[25 34] ; [1 9],[22.23188406 36.76811594] ; [3.76811594 6.23188406],0
a4,1,0.090511,2.865254,[22 37] ; [1 9],[19.66666667 39.33333333] ; [3.33333333 6.66666667],0
s2,1,0.126959,2.329305,[27 32] ; [2 8],[24.79710145 34.20289855] ; [4.20289855 5.79710145],0
n1,1,0.143963,2.135076,[ 2 16] ; [1 1],[ 2.7 15.3] ; [0.3 1.7],0
p8,1,0.154818,2.024122,[26 31] ; [7 3],[28.07462687 28.92537313] ; [4.92537313 5.07462687],0
p12,1,0.177267,1.820393,[ 4 54] ; [2 8],[ 5.11764706 52.88235294] ; [0.88235294 9.11764706],0
s7,1,0.19205,1.701818,[23 32] ; [2 8],[21.15384615 33.84615385] ; [3.84615385 6.15384615],0
p4,1,0.205602,1.602127,[22 35] ; [6 4],[23.82089552 33.17910448] ; [4.17910448 5.82089552],0
r1,1,0.245358,1.349546,[43 16] ; [9 1],[44.46376812 14.53623188] ; [7.53623188 2.46376812],0
n4,1,0.25439,1.299035,[24 35] ; [6 4],[25.65217391 33.34782609] ; [4.34782609 5.65217391],0
u3,1,0.368066,0.810185,[11  7] ; [1 2],[10.28571429  7.71428571] ; [1.71428571 1.28571429],0
n6,1,0.407143,0.687129,[37 21] ; [5 5],[35.82352941 22.17647059] ; [6.17647059 3.82352941],0
b4,1,0.438024,0.601453,[40 19] ; [8 2],[41.04347826 17.95652174] ; [6.95652174 3.04347826],0
a7,1,0.493403,0.469096,[47 12] ; [7 3],[46.17391304 12.82608696] ; [7.82608696 2.17391304],0
s1,1,0.538522,0.378286,[ 3 56] ; [1 9],[ 3.42028986 55.57971014] ; [0.57971014 9.42028986],0
p3,1,0.539295,0.376847,[23 35] ; [5 5],[23.88235294 34.11764706] ; [4.11764706 5.88235294],0
p2,1,0.544527,0.367214,[41 17] ; [8 2],[41.79411765 16.20588235] ; [7.20588235 2.79411765],0
b1,1,0.551468,0.354693,[18 41] ; [4 6],[18.8115942 40.1884058] ; [3.1884058 6.8115942],0
a2,1,0.578826,0.308137,[10 49] ; [1 9],[ 9.4057971 49.5942029] ; [1.5942029 8.4057971],0
s4,1,0.580984,0.304647,[13 46] ; [3 7],[13.68115942 45.31884058] ; [2.31884058 7.68115942],0
p11,1,0.587772,0.293837,[36 23] ; [7 3],[36.76811594 22.23188406] ; [6.23188406 3.76811594],0
p7,1,0.594231,0.283784,[29 28] ; [6 4],[29.7761194 27.2238806] ; [5.2238806 4.7761194],0
v1,1,0.661897,0.191228,[31 28] ; [6 4],[31.63768116 27.36231884] ; [5.36231884 4.63768116],0
p6,1,0.667399,0.184659,[13 42] ; [3 7],[13.53846154 41.46153846] ; [2.46153846 7.53846154],0
p10,1,0.704447,0.143887,[37 21] ; [7 3],[37.52941176 20.47058824] ; [6.47058824 3.52941176],0
v4,1,0.716436,0.131933,[55  4] ; [9 1],[54.72463768  4.27536232] ; [9.27536232 0.72463768],0
r3,1,0.716436,0.131933,[55  4] ; [9 1],[54.72463768  4.27536232] ; [9.27536232 0.72463768],0
b5,1,0.731297,0.117924,[38 21] ; [7 3],[38.47826087 20.52173913] ; [6.52173913 3.47826087],0
r4,1,0.757288,0.095508,[51  8] ; [9 1],[51.30434783  7.69565217] ; [8.69565217 1.30434783],0
s3,1,0.840101,0.040709,[27 31] ; [5 5],[27.29411765 30.70588235] ; [4.70588235 5.29411765],0
v2,1,0.875161,0.024682,[42 16] ; [7 3],[41.79411765 16.20588235] ; [7.20588235 2.79411765],0
p5,1,0.887062,0.020171,[ 5 53] ; [1 9],[ 5.11764706 52.88235294] ; [0.88235294 9.11764706],0
a6,1,0.890039,0.019115,[40 19] ; [7 3],[40.1884058 18.8115942] ; [6.8115942 3.1884058],0
a3,1,0.890039,0.019115,[40 19] ; [7 3],[40.1884058 18.8115942] ; [6.8115942 3.1884058],0
b3,1,0.919753,0.01015,[10 22] ; [2 4],[10.10526316 21.89473684] ; [1.89473684 4.10526316],0
b2,1,0.919753,0.01015,[10 22] ; [2 4],[10.10526316 21.89473684] ; [1.89473684 4.10526316],0
p9,1,0.920917,0.009856,[39 18] ; [7 3],[39.13432836 17.86567164] ; [6.86567164 3.13432836],0
a5,1,0.939046,0.005847,[42 17] ; [7 3],[41.89855072 17.10144928] ; [7.10144928 2.89855072],0
s6,1,0.983579,0.000424,[35 23] ; [6 4],[34.97058824 23.02941176] ; [6.02941176 3.97058824],0
s5,1,0.991078,0.000125,[17 40] ; [3 7],[17.01492537 39.98507463] ; [2.98507463 7.01492537],0
