Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.003761,8.395549,[18  9] ; [ 7 19],[12.73584906 14.26415094] ; [12.26415094 13.73584906],0
r1,1,0.018921,5.508807,[10 17] ; [18  8],[14.26415094 12.73584906] ; [13.73584906 12.26415094],0
n1,1,0.018945,5.506548,[9 5] ; [1 7],[6.36363636 7.63636364] ; [3.63636364 4.36363636],0
a8,1,0.04733,3.933611,[ 6 19] ; [ 1 23],[ 3.57142857 21.42857143] ; [ 3.42857143 20.57142857],0
s8,1,0.058537,3.578366,[ 2 25] ; [ 7 19],[ 4.58490566 22.41509434] ; [ 4.41509434 21.58490566],0
p3,1,0.059305,3.556723,[ 5 22] ; [11 15],[ 8.1509434 18.8490566] ; [ 7.8490566 18.1509434],0
u2,1,0.098168,2.735065,[6 9] ; [8 3],[8.07692308 6.92307692] ; [5.92307692 5.07692308],0
a6,1,0.119428,2.424811,[14 13] ; [ 8 18],[11.20754717 15.79245283] ; [10.79245283 15.20754717],0
v1,1,0.124755,2.356584,[ 7 20] ; [12 14],[ 9.67924528 17.32075472] ; [ 9.32075472 16.67924528],0
u3,1,0.125695,2.344877,[ 5 10] ; [7 4],[6.92307692 8.07692308] ; [5.07692308 5.92307692],0
p8,1,0.1259,2.342342,[ 5 21] ; [10 16],[ 7.5 18.5] ; [ 7.5 18.5],0
r3,1,0.168432,1.89684,[16 11] ; [20  6],[18.33962264  8.66037736] ; [17.66037736  8.33962264],0
s3,1,0.205621,1.601992,[13 14] ; [17  9],[15.28301887 11.71698113] ; [14.71698113 11.28301887],0
p7,1,0.209686,1.57359,[10 16] ; [14 11],[12.23529412 13.76470588] ; [11.76470588 13.23529412],0
b5,1,0.212676,1.553114,[12 15] ; [16 10],[14.26415094 12.73584906] ; [13.73584906 12.26415094],0
r4,1,0.212676,1.553114,[12 15] ; [16 10],[14.26415094 12.73584906] ; [13.73584906 12.26415094],0
d2,1,0.215435,1.534524,[ 8 19] ; [ 4 22],[ 6.11320755 20.88679245] ; [ 5.88679245 20.11320755],0
