Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,1e-06,24.63201,[ 10 326] ; [14 67],[ 19.3381295 316.6618705] ; [ 4.6618705 76.3381295],1
s6,1,6e-06,20.565288,[129 208] ; [53 27],[147.08393285 189.91606715] ; [34.91606715 45.08393285],1
s2,1,0.000102,15.107453,[ 73 263] ; [35 47],[ 86.81339713 249.18660287] ; [21.18660287 60.81339713],1
d4,1,0.000111,14.943224,[245  93] ; [76  6],[258.32857143  79.67142857] ; [62.67142857 19.32857143],1
p1,1,0.006956,7.284325,[ 20 317] ; [12 69],[ 25.79904306 311.20095694] ; [ 6.20095694 74.79904306],0
n6,1,0.007391,7.175386,[243  93] ; [71 11],[252.40191388  83.59808612] ; [61.59808612 20.40191388],0
d1,1,0.012414,6.250773,[160 178] ; [52 31],[170.20427553 167.79572447] ; [41.79572447 41.20427553],0
v1,1,0.014146,6.019845,[144 187] ; [47 33],[153.82238443 177.17761557] ; [37.17761557 42.82238443],0
p3,1,0.015214,5.891494,[115 220] ; [40 42],[124.52038369 210.47961631] ; [30.47961631 51.52038369],0
b5,1,0.023043,5.165248,[213 125] ; [41 42],[203.9239905 134.0760095] ; [50.0760095 32.9239905],0
s3,1,0.039005,4.260662,[109 224] ; [36 44],[116.91283293 216.08716707] ; [28.08716707 51.91283293],0
p11,1,0.040806,4.184041,[244  94] ; [69 14],[251.29216152  86.70783848] ; [61.70783848 21.29216152],0
a5,1,0.047199,3.93829,[209 129] ; [61 22],[216.7695962 121.2304038] ; [53.2304038 29.7695962],0
p10,1,0.050593,3.82168,[225 108] ; [63 17],[232.21307506 100.78692494] ; [55.78692494 24.21307506],0
d5,1,0.057804,3.599292,[247  91] ; [69 14],[253.70071259  84.29928741] ; [62.29928741 20.70071259],0
s8,1,0.05893,3.567236,[ 52 286] ; [20 63],[ 57.80522565 280.19477435] ; [14.19477435 68.80522565],0
a7,1,0.065593,3.390004,[240  96] ; [50 32],[233.11004785 102.88995215] ; [56.88995215 25.11004785],0
d2,1,0.067531,3.34204,[133 204] ; [41 40],[140.28229665 196.71770335] ; [33.71770335 47.28229665],0
p8,1,0.06828,3.323889,[145 187] ; [45 37],[152.36714976 179.63285024] ; [37.63285024 44.36714976],0
p12,1,0.096873,2.756283,[ 14 323] ; [ 7 74],[ 16.93062201 320.06937799] ; [ 4.06937799 76.93062201],0
r4,1,0.110027,2.553832,[267  71] ; [72 11],[272.16627078  65.83372922] ; [66.83372922 16.16627078],0
p7,1,0.110147,2.552117,[173 156] ; [50 30],[179.38141809 149.61858191] ; [43.61858191 36.38141809],0
p2,1,0.121904,2.392686,[249  85] ; [67 14],[254.32289157  79.67710843] ; [61.67710843 19.32289157],0
r1,1,0.127697,2.320285,[233 102] ; [64 18],[238.5971223  96.4028777] ; [58.4028777 23.5971223],0
r2,1,0.137157,2.209564,[293  39] ; [77  5],[296.71497585  35.28502415] ; [73.28502415  8.71497585],0
u1,1,0.154167,2.03053,[ 31 307] ; [12 71],[ 34.52256532 303.47743468] ; [ 8.47743468 74.52256532],0
a4,1,0.154789,2.024406,[121 214] ; [37 46],[126.62679426 208.37320574] ; [31.37320574 51.62679426],0
p9,1,0.167468,1.90546,[242  92] ; [64 16],[246.86956522  87.13043478] ; [59.13043478 20.86956522],0
p4,1,0.169911,1.88373,[149 185] ; [43 38],[154.5253012 179.4746988] ; [37.4746988 43.5253012],0
b2,1,0.193887,1.68783,[ 59 127] ; [20 28],[ 62.79487179 123.20512821] ; [16.20512821 31.79487179],0
b3,1,0.193887,1.68783,[ 59 127] ; [20 28],[ 62.79487179 123.20512821] ; [16.20512821 31.79487179],0
v4,1,0.223483,1.481862,[296  41] ; [75  6],[299.1076555  37.8923445] ; [71.8923445  9.1076555],0
a1,1,0.236173,1.403294,[ 14 324] ; [ 6 77],[ 16.05700713 321.94299287] ; [ 3.94299287 79.05700713],0
u2,1,0.241128,1.373987,[72 67] ; [12 18],[69.0887574 69.9112426] ; [14.9112426 15.0887574],0
b4,1,0.26321,1.251793,[193 145] ; [53 30],[197.50118765 140.49881235] ; [48.49881235 34.50118765],0
n2,1,0.290307,1.118195,[63 32] ; [12  3],[64.77272727 30.22727273] ; [10.22727273  4.77272727],0
n1,1,0.356251,0.851065,[29 66] ; [6 8],[30.50458716 64.49541284] ; [4.49541284 9.50458716],0
p6,1,0.400364,0.707234,[ 76 254] ; [22 58],[ 78.87804878 251.12195122] ; [19.12195122 60.87804878],0
a3,1,0.428723,0.626279,[197 139] ; [52 30],[200.15311005 135.84688995] ; [48.84688995 33.15311005],0
r3,1,0.467626,0.52758,[298  38] ; [75  7],[299.8277512  36.1722488] ; [73.1722488  8.8277512],0
a6,1,0.498858,0.457366,[229 109] ; [53 30],[226.40380048 111.59619952] ; [55.59619952 27.40380048],0
b1,1,0.525564,0.402961,[135 203] ; [30 53],[132.47030879 205.52969121] ; [32.52969121 50.47030879],0
a8,1,0.69934,0.14916,[ 34 276] ; [10 70],[ 34.97435897 275.02564103] ; [ 9.02564103 70.97435897],0
v3,1,0.711272,0.13701,[ 99 227] ; [26 54],[100.36945813 225.63054187] ; [24.63054187 55.36945813],0
n3,1,0.743244,0.107296,[65 29] ; [11  4],[65.5412844 28.4587156] ; [10.4587156  4.5412844],0
v2,1,0.744389,0.106307,[155 164] ; [41 40],[156.31 162.69] ; [39.69 41.31],0
d3,1,0.760565,0.092866,[205 132] ; [52 31],[206.21190476 130.78809524] ; [50.78809524 32.21190476],0
s1,1,0.781797,0.076717,[ 10 322] ; [ 2 80],[  9.62318841 322.37681159] ; [ 2.37681159 79.62318841],0
n4,1,0.932789,0.007113,[229 108] ; [56 27],[228.67857143 108.32142857] ; [56.32142857 26.67857143],0
u3,1,0.954943,0.003192,[66 72] ; [15 16],[66.14201183 71.85798817] ; [14.85798817 16.14201183],0
n5,1,0.961196,0.002367,[219 115] ; [54 28],[219.1875 114.8125] ; [53.8125 28.1875],0
a2,1,0.99938,1e-06,[ 57 281] ; [14 69],[ 57.0023753 280.9976247] ; [13.9976247 69.0023753],0
