Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.002415,9.204079,[42 48] ; [ 1 15],[36.50943396 53.49056604] ; [6.49056604 9.50943396],0
b3,1,0.002415,9.204079,[42 48] ; [ 1 15],[36.50943396 53.49056604] ; [6.49056604 9.50943396],0
s5,1,0.007664,7.110362,[ 30 104] ; [12 13],[35.39622642 98.60377358] ; [ 6.60377358 18.39622642],0
u1,1,0.016978,5.698599,[  1 138] ; [ 2 25],[  2.51204819 136.48795181] ; [ 0.48795181 26.51204819],0
s7,1,0.028347,4.806833,[49 85] ; [16 11],[54.09937888 79.90062112] ; [10.90062112 16.09937888],0
s6,1,0.033541,4.517962,[66 69] ; [18  7],[70.875 64.125] ; [13.125 11.875],0
b5,1,0.049836,3.846966,[75 64] ; [ 9 18],[70.3373494 68.6626506] ; [13.6626506 13.3373494],0
p11,1,0.067182,3.350568,[94 45] ; [23  4],[97.96987952 41.03012048] ; [19.03012048  7.96987952],0
a5,1,0.10501,2.627755,[70 69] ; [ 9 18],[66.15060241 72.84939759] ; [12.84939759 14.15060241],0
s3,1,0.107562,2.589683,[66 71] ; [17  9],[69.7607362 67.2392638] ; [13.2392638 12.7607362],0
v3,1,0.154724,2.025052,[45 90] ; [ 5 21],[41.92546584 93.07453416] ; [ 8.07453416 17.92546584],0
p7,1,0.16803,1.900432,[71 65] ; [18  9],[74.25766871 61.74233129] ; [14.74233129 12.25766871],0
u3,1,0.187723,1.735397,[22 41] ; [8 7],[24.23076923 38.76923077] ; [5.76923077 9.23076923],0
d3,1,0.198049,1.656702,[ 26 113] ; [ 8 19],[ 28.46987952 110.53012048] ; [ 5.53012048 21.46987952],0
s2,1,0.201134,1.634122,[51 88] ; [13 13],[53.91515152 85.08484848] ; [10.08484848 15.91515152],0
a8,1,0.201368,1.632427,[ 17 115] ; [ 1 24],[ 15.13375796 116.86624204] ; [ 2.86624204 22.13375796],0
s1,1,0.206255,1.597521,[  7 131] ; [ 3 23],[  8.41463415 129.58536585] ; [ 1.58536585 24.41463415],0
p10,1,0.224087,1.478007,[84 52] ; [20  7],[86.77300613 49.22699387] ; [17.22699387  9.77300613],0
p8,1,0.225249,1.470614,[49 88] ; [13 14],[51.79268293 85.20731707] ; [10.20731707 16.79268293],0
p4,1,0.282531,1.154873,[61 76] ; [ 9 18],[58.47560976 78.52439024] ; [11.52439024 15.47560976],0
r2,1,0.29914,1.078025,[114  24] ; [20  7],[112.07272727  25.92727273] ; [21.92727273  5.07272727],0
a3,1,0.311373,1.024845,[76 62] ; [12 15],[73.6 64.4] ; [14.4 12.6],0
p12,1,0.316896,1.001716,[  8 129] ; [ 3 24],[  9.18902439 127.81097561] ; [ 1.81097561 25.18902439],0
p5,1,0.374158,0.78981,[ 12 125] ; [ 1 26],[ 10.8597561 126.1402439] ; [ 2.1402439 24.8597561],0
n5,1,0.418371,0.654886,[96 41] ; [21  6],[97.73780488 39.26219512] ; [19.26219512  7.73780488],0
p3,1,0.420358,0.649314,[50 88] ; [12 15],[51.85454545 86.14545455] ; [10.14545455 16.85454545],0
n4,1,0.423433,0.640769,[92 47] ; [20  7],[93.78313253 45.21686747] ; [18.21686747  8.78313253],0
r4,1,0.437057,0.603996,[98 41] ; [17 10],[96.29518072 42.70481928] ; [18.70481928  8.29518072],0
v2,1,0.459516,0.547072,[53 80] ; [ 8 17],[51.34810127 81.65189873] ; [ 9.65189873 15.34810127],0
p1,1,0.495432,0.464707,[ 10 128] ; [ 3 24],[ 10.87272727 127.12727273] ; [ 2.12727273 24.87272727],0
a1,1,0.504627,0.445192,[ 10 129] ; [ 1 26],[  9.21084337 129.78915663] ; [ 1.78915663 25.21084337],0
d4,1,0.528082,0.398082,[71 68] ; [12 15],[69.5 69.5] ; [13.5 13.5],0
b4,1,0.533659,0.387419,[76 63] ; [13 14],[74.52409639 64.47590361] ; [14.47590361 12.52409639],0
v4,1,0.537533,0.380132,[118  20] ; [21  5],[116.96341463  21.03658537] ; [22.03658537  3.96341463],0
r1,1,0.538442,0.378435,[86 53] ; [15 12],[84.57228916 54.42771084] ; [16.42771084 10.57228916],0
s8,1,0.605053,0.267442,[48 90] ; [ 8 19],[46.83636364 91.16363636] ; [ 9.16363636 17.83636364],0
p2,1,0.689984,0.159103,[91 46] ; [19  8],[91.8902439 45.1097561] ; [18.1097561  8.8902439],0
v1,1,0.70046,0.147994,[60 76] ; [13 14],[60.90797546 75.09202454] ; [12.09202454 14.90797546],0
p6,1,0.744478,0.10623,[ 34 101] ; [ 6 21],[ 33.33333333 101.66666667] ; [ 6.66666667 20.33333333],0
a4,1,0.759453,0.093758,[ 32 106] ; [ 7 20],[ 32.61818182 105.38181818] ; [ 6.38181818 20.61818182],0
a6,1,0.762912,0.090998,[61 78] ; [11 16],[60.28915663 78.71084337] ; [11.71084337 15.28915663],0
b1,1,0.762912,0.090998,[61 78] ; [11 16],[60.28915663 78.71084337] ; [11.71084337 15.28915663],0
d2,1,0.820403,0.051541,[ 28 110] ; [ 6 21],[ 28.43636364 109.56363636] ; [ 5.56363636 21.43636364],0
n1,1,0.830888,0.045609,[18 29] ; [5 7],[18.3220339 28.6779661] ; [4.6779661 7.3220339],0
p9,1,0.838742,0.041414,[93 43] ; [19  8],[93.44785276 42.55214724] ; [18.55214724  8.44785276],0
d5,1,0.840932,0.040281,[64 75] ; [13 14],[64.47590361 74.52409639] ; [12.52409639 14.47590361],0
n6,1,0.841435,0.040024,[99 38] ; [19  8],[98.57317073 38.42682927] ; [19.42682927  7.57317073],0
n2,1,0.8787,0.023292,[37 11] ; [9 3],[36.8 11.2] ; [9.2 2.8],0
r3,1,0.913045,0.011924,[112  27] ; [22  5],[112.20481928  26.79518072] ; [21.79518072  5.20481928],0
n3,1,0.925058,0.008848,[30 16] ; [8 4],[30.13793103 15.86206897] ; [7.86206897 4.13793103],0
u2,1,0.964641,0.001965,[29 34] ; [7 8],[29.07692308 33.92307692] ; [6.92307692 8.07692308],0
