Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,5.2e-05,16.389502,[24 44] ; [67 33],[36.83333333 31.16666667] ; [54.16666667 45.83333333],1
d3,1,0.000469,12.234796,[27 41] ; [67 33],[38.04761905 29.95238095] ; [55.95238095 44.04761905],1
d5,1,0.004741,7.97564,[40 28] ; [79 21],[48.16666667 19.83333333] ; [70.83333333 29.16666667],0
p10,1,0.005527,7.698463,[42 26] ; [78 18],[49.75609756 18.24390244] ; [70.24390244 25.75609756],0
r4,1,0.007507,7.147441,[36 32] ; [73 27],[44.11904762 23.88095238] ; [64.88095238 35.11904762],0
r3,1,0.009034,6.816082,[55 13] ; [93  6],[60.26347305  7.73652695] ; [87.73652695 11.26347305],0
d4,1,0.022229,5.227765,[42 26] ; [78 22],[48.57142857 19.42857143] ; [71.42857143 28.57142857],0
b2,1,0.035527,4.419643,[11 33] ; [25 30],[16. 28.] ; [20. 35.],0
b3,1,0.035527,4.419643,[11 33] ; [25 30],[16. 28.] ; [20. 35.],0
u2,1,0.0385,4.28281,[ 8 21] ; [21 19],[12.1884058 16.8115942] ; [16.8115942 23.1884058],0
b5,1,0.03918,4.25303,[37 31] ; [70 30],[43.30952381 24.69047619] ; [63.69047619 36.30952381],0
r2,1,0.040256,4.207068,[50 18] ; [82 13],[55.06748466 12.93251534] ; [76.93251534 18.06748466],0
a4,1,0.05168,3.786099,[27 40] ; [26 74],[21.26347305 45.73652695] ; [31.73652695 68.26347305],0
v4,1,0.059792,3.543147,[55 13] ; [90  9],[59.04191617  8.95808383] ; [85.95808383 13.04191617],0
p1,1,0.060777,3.516059,[ 9 59] ; [ 5 94],[ 5.7005988 62.2994012] ; [ 8.2994012 90.7005988],0
a2,1,0.062693,3.464675,[ 3 65] ; [13 87],[ 6.47619048 61.52380952] ; [ 9.52380952 90.47619048],0
v1,1,0.062797,3.46194,[21 45] ; [45 52],[26.72392638 39.27607362] ; [39.27607362 57.72392638],0
d2,1,0.089453,2.884183,[29 37] ; [31 69],[23.85542169 42.14457831] ; [36.14457831 63.85542169],0
p3,1,0.090297,2.86907,[25 43] ; [50 50],[30.35714286 37.64285714] ; [44.64285714 55.35714286],0
u3,1,0.113935,2.498772,[ 7 22] ; [17 23],[10.08695652 18.91304348] ; [13.91304348 26.08695652],0
b1,1,0.158959,1.984102,[29 39] ; [32 68],[24.69047619 43.30952381] ; [36.30952381 63.69047619],0
n2,1,0.176617,1.825866,[18 10] ; [21  5],[20.22222222  7.77777778] ; [18.77777778  7.22222222],0
p11,1,0.195343,1.676856,[47 21] ; [78 22],[50.5952381 17.4047619] ; [74.4047619 25.5952381],0
p2,1,0.208571,1.581318,[47 21] ; [77 22],[50.49101796 17.50898204] ; [73.50898204 25.49101796],0
s6,1,0.244932,1.351984,[32 34] ; [56 41],[35.63190184 30.36809816] ; [52.36809816 44.63190184],0
a8,1,0.272177,1.205742,[ 4 59] ; [11 84],[ 5.98101266 57.01898734] ; [ 9.01898734 85.98101266],0
d1,1,0.287901,1.129412,[25 43] ; [45 55],[28.33333333 39.66666667] ; [41.66666667 58.33333333],0
p5,1,0.30663,1.045137,[ 5 63] ; [12 86],[ 6.96385542 61.03614458] ; [10.03614458 87.96385542],0
p6,1,0.347697,0.881844,[18 47] ; [34 64],[20.73619632 44.26380368] ; [31.26380368 66.73619632],0
v2,1,0.371907,0.797284,[25 41] ; [44 54],[27.76829268 38.23170732] ; [41.23170732 56.76829268],0
n5,1,0.375785,0.784444,[51 17] ; [68 31],[48.45508982 19.54491018] ; [70.54491018 28.45508982],0
b4,1,0.385237,0.753922,[39 29] ; [64 36],[41.69047619 26.30952381] ; [61.30952381 38.69047619],0
p4,1,0.393801,0.727172,[31 36] ; [53 47],[33.7005988 33.2994012] ; [50.2994012 49.7005988],0
v3,1,0.408022,0.684558,[19 49] ; [33 64],[21.43030303 46.56969697] ; [30.56969697 66.43030303],0
p9,1,0.411833,0.673502,[51 15] ; [80 17],[53.04294479 12.95705521] ; [77.95705521 19.04294479],0
u1,1,0.486454,0.48436,[ 3 65] ; [ 7 93],[ 4.04761905 63.95238095] ; [ 5.95238095 94.04761905],0
s4,1,0.530598,0.393246,[11 57] ; [20 80],[12.54761905 55.45238095] ; [18.45238095 81.54761905],0
s5,1,0.552295,0.353221,[15 49] ; [26 68],[16.60759494 47.39240506] ; [24.39240506 69.60759494],0
s2,1,0.580226,0.305869,[27 41] ; [44 56],[28.73809524 39.26190476] ; [42.26190476 57.73809524],0
a5,1,0.603452,0.26982,[36 32] ; [57 43],[37.64285714 30.35714286] ; [55.35714286 44.64285714],0
s1,1,0.628391,0.234248,[ 3 65] ; [ 3 97],[ 2.42857143 65.57142857] ; [ 3.57142857 96.42857143],0
p12,1,0.642922,0.214941,[ 3 65] ; [ 6 93],[ 3.66467066 64.33532934] ; [ 5.33532934 93.66467066],0
s3,1,0.650108,0.205764,[28 38] ; [46 54],[29.42168675 36.57831325] ; [44.57831325 55.42168675],0
p8,1,0.650108,0.205764,[28 38] ; [46 54],[29.42168675 36.57831325] ; [44.57831325 55.42168675],0
n3,1,0.700116,0.148352,[18 10] ; [18  8],[18.66666667  9.33333333] ; [17.33333333  8.66666667],0
p7,1,0.72507,0.123686,[33 34] ; [51 47],[34.10909091 32.89090909] ; [49.89090909 48.10909091],0
n1,1,0.913525,0.011793,[ 9 19] ; [ 8 18],[ 8.81481481 19.18518519] ; [ 8.18518519 17.81481481],0
a3,1,0.918951,0.010354,[39 28] ; [59 41],[39.31736527 27.68263473] ; [58.68263473 41.31736527],0
s7,1,0.922764,0.0094,[24 41] ; [34 60],[23.71069182 41.28930818] ; [34.28930818 59.71069182],0
n4,1,0.934764,0.0067,[48 20] ; [70 30],[47.76190476 20.23809524] ; [70.23809524 29.76190476],0
a1,1,0.974763,0.001001,[ 4 64] ; [ 6 94],[ 4.04761905 63.95238095] ; [ 5.95238095 94.04761905],0
s8,1,0.987082,0.000262,[21 47] ; [31 69],[21.04761905 46.95238095] ; [30.95238095 69.04761905],0
