Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,7e-06,20.072837,[ 28 156] ; [56 98],[ 45.72781065 138.27218935] ; [ 38.27218935 115.72781065],1
s7,1,3.4e-05,17.179465,[ 29 144] ; [55 93],[ 45.27102804 127.72897196] ; [ 38.72897196 109.27102804],1
s3,1,0.000106,15.025637,[ 26 158] ; [ 48 103],[ 40.64477612 143.35522388] ; [ 33.35522388 117.64477612],1
s5,1,0.000381,12.62551,[ 16 165] ; [ 35 118],[ 27.63772455 153.36227545] ; [ 23.36227545 129.63772455],1
p4,1,0.003736,8.407826,[ 82 102] ; [93 61],[95.26627219 88.73372781] ; [79.73372781 74.26627219],0
v1,1,0.005747,7.627913,[ 76 106] ; [86 65],[88.54054054 93.45945946] ; [73.45945946 77.54054054],0
p12,1,0.006585,7.382733,[  3 179] ; [ 12 142],[  8.125 173.875] ; [  6.875 147.125],0
p7,1,0.007111,7.244697,[94 89] ; [99 51],[106.06306306  76.93693694] ; [86.93693694 63.06306306],0
u2,1,0.00971,6.687307,[25 32] ; [35 16],[31.66666667 25.33333333] ; [28.33333333 22.66666667],0
p5,1,0.025012,5.023063,[ 10 173] ; [ 19 135],[ 15.74777448 167.25222552] ; [ 13.25222552 140.74777448],0
p9,1,0.028673,4.787123,[131  50] ; [127  27],[139.39701493  41.60298507] ; [118.60298507  35.39701493],0
n2,1,0.03527,4.432076,[24 20] ; [32 10],[28.65116279 15.34883721] ; [27.34883721 14.65116279],0
v2,1,0.035372,4.427128,[88 89] ; [92 58],[97.43119266 79.56880734] ; [82.56880734 67.43119266],0
n5,1,0.035544,4.418851,[112  71] ; [111  43],[121.09495549  61.90504451] ; [101.90504451  52.09495549],0
p2,1,0.037353,4.334246,[137  47] ; [129  25],[144.80473373  39.19526627] ; [121.19526627  32.80473373],0
s4,1,0.03874,4.27225,[ 11 173] ; [ 19 134],[ 16.37982196 167.62017804] ; [ 13.62017804 139.37982196],0
u3,1,0.043438,4.078277,[27 30] ; [34 17],[32.19444444 24.80555556] ; [28.80555556 22.19444444],0
p10,1,0.052043,3.774395,[127  56] ; [119  32],[134.78443114  48.21556886] ; [111.21556886  39.78443114],0
r3,1,0.062582,3.467592,[165  18] ; [148   7],[169.46449704  13.53550296] ; [143.53550296  11.46449704],0
n6,1,0.067152,3.351301,[136  47] ; [128  27],[142.93491124  40.06508876] ; [121.06508876  33.93491124],0
r4,1,0.071523,3.247716,[151  33] ; [138  17],[156.86135693  27.13864307] ; [132.13864307  22.86135693],0
p1,1,0.091628,2.845544,[ 17 166] ; [  7 147],[ 13.03264095 169.96735905] ; [ 10.96735905 143.03264095],0
p8,1,0.098285,2.73316,[83 98] ; [83 68],[90.5 90.5] ; [75.5 75.5],0
