Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0016,9.95935,[4 4] ; [ 3 38],[1.14285714 6.85714286] ; [ 5.85714286 35.14285714],0
s7,1,0.004143,8.220207,[5 3] ; [ 6 33],[1.87234043 6.12765957] ; [ 9.12765957 29.87234043],0
v3,1,0.019743,5.434513,[4 3] ; [ 7 34],[1.60416667 5.39583333] ; [ 9.39583333 31.60416667],0
p2,1,0.024044,5.091468,[7 1] ; [18 23],[4.08163265 3.91836735] ; [20.91836735 20.08163265],0
p4,1,0.032406,4.576907,[5 3] ; [10 31],[2.44897959 5.55102041] ; [12.55102041 28.44897959],0
p10,1,0.036181,4.388571,[6 2] ; [14 26],[3.33333333 4.66666667] ; [16.66666667 23.33333333],0
s2,1,0.041179,4.168631,[4 4] ; [ 7 34],[1.79591837 6.20408163] ; [ 9.20408163 31.79591837],0
p6,1,0.04424,4.047387,[3 5] ; [ 4 36],[1.16666667 6.83333333] ; [ 5.83333333 34.16666667],0
r1,1,0.070873,3.262694,[5 3] ; [12 29],[2.7755102 5.2244898] ; [14.2244898 26.7755102],0
p9,1,0.079384,3.077459,[6 2] ; [16 23],[3.74468085 4.25531915] ; [18.25531915 20.74468085],0
p11,1,0.098414,2.731057,[5 3] ; [13 28],[2.93877551 5.06122449] ; [15.06122449 25.93877551],0
d3,1,0.100235,2.701793,[4 4] ; [ 9 32],[2.12244898 5.87755102] ; [10.87755102 30.12244898],0
n6,1,0.107511,2.590427,[6 2] ; [18 23],[3.91836735 4.08163265] ; [20.08163265 20.91836735],0
s6,1,0.142457,2.15122,[4 4] ; [10 31],[2.28571429 5.71428571] ; [11.71428571 29.28571429],0
u3,1,0.143583,2.139137,[2 1] ; [ 5 15],[0.91304348 2.08695652] ; [ 6.08695652 13.91304348],0
s3,1,0.146259,2.110837,[4 4] ; [ 9 28],[2.31111111 5.68888889] ; [10.68888889 26.31111111],0
p8,1,0.155566,2.016807,[4 4] ; [10 30],[2.33333333 5.66666667] ; [11.66666667 28.33333333],0
n3,1,0.161178,1.963141,[1 4] ; [11  9],[2.4 2.6] ; [ 9.6 10.4],0
p12,1,0.188321,1.730702,[1 7] ; [ 1 40],[0.32653061 7.67346939] ; [ 1.67346939 39.32653061],0
p3,1,0.189755,1.71952,[3 5] ; [ 7 34],[1.63265306 6.36734694] ; [ 8.36734694 32.63265306],0
s5,1,0.343765,0.896341,[2 6] ; [ 5 36],[1.14285714 6.85714286] ; [ 5.85714286 35.14285714],0
d4,1,0.394859,0.723927,[4 4] ; [14 27],[2.93877551 5.06122449] ; [15.06122449 25.93877551],0
b2,1,0.425213,0.635861,[3 2] ; [11 16],[2.1875 2.8125] ; [11.8125 15.1875],0
b3,1,0.425213,0.635861,[3 2] ; [11 16],[2.1875 2.8125] ; [11.8125 15.1875],0
a4,1,0.442543,0.589681,[1 7] ; [10 30],[1.83333333 6.16666667] ; [ 9.16666667 30.83333333],0
r2,1,0.451651,0.566505,[6 2] ; [25 16],[5.06122449 2.93877551] ; [25.93877551 15.06122449],0
n2,1,0.61193,0.257374,[4 2] ; [11  9],[3.46153846 2.53846154] ; [11.53846154  8.46153846],0
a3,1,0.65381,0.201131,[5 3] ; [21 18],[4.42553191 3.57446809] ; [21.57446809 17.42553191],0
b1,1,0.655378,0.199187,[4 4] ; [24 17],[4.57142857 3.42857143] ; [23.42857143 17.57142857],0
a5,1,0.655378,0.199187,[4 4] ; [17 24],[3.42857143 4.57142857] ; [17.57142857 23.42857143],0
b4,1,0.655378,0.199187,[4 4] ; [24 17],[4.57142857 3.42857143] ; [23.42857143 17.57142857],0
p7,1,0.682001,0.167882,[2 5] ; [15 26],[2.47916667 4.52083333] ; [14.52083333 26.47916667],0
n4,1,0.73783,0.112043,[5 3] ; [23 18],[4.57142857 3.42857143] ; [23.42857143 17.57142857],0
s4,1,0.748876,0.102478,[1 7] ; [ 7 34],[1.30612245 6.69387755] ; [ 6.69387755 34.30612245],0
v1,1,0.749277,0.10214,[3 5] ; [13 28],[2.6122449 5.3877551] ; [13.3877551 27.6122449],0
a6,1,0.751111,0.100599,[4 4] ; [18 23],[3.59183673 4.40816327] ; [18.40816327 22.59183673],0
n5,1,0.806882,0.059756,[6 2] ; [29 12],[5.71428571 2.28571429] ; [29.28571429 11.71428571],0
d5,1,0.855358,0.033228,[3 5] ; [14 27],[2.7755102 5.2244898] ; [14.2244898 26.7755102],0
a7,1,0.855358,0.033228,[3 5] ; [14 27],[2.7755102 5.2244898] ; [14.2244898 26.7755102],0
v2,1,0.896085,0.017059,[1 6] ; [ 5 35],[0.89361702 6.10638298] ; [ 5.10638298 34.89361702],0
d2,1,0.914631,0.011492,[2 6] ; [11 30],[2.12244898 5.87755102] ; [10.87755102 30.12244898],0
b5,1,0.949673,0.003984,[4 4] ; [20 21],[3.91836735 4.08163265] ; [20.08163265 20.91836735],0
n1,1,1.0,0.0,[3 3] ; [10 10],[3. 3.] ; [10. 10.],0
