Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.003549,8.501197,[1 4] ; [30  7],[3.69047619 1.30952381] ; [27.30952381  9.69047619],0
s2,1,0.004944,7.899687,[4 1] ; [ 7 28],[1.375 3.625] ; [ 9.625 25.375],0
d4,1,0.014769,5.943792,[2 3] ; [31  5],[4.02439024 0.97560976] ; [28.97560976  7.02439024],0
s1,1,0.03875,4.27179,[2 3] ; [ 3 34],[0.5952381 4.4047619] ; [ 4.4047619 32.5952381],0
s3,1,0.078671,3.092152,[4 1] ; [13 21],[2.17948718 2.82051282] ; [14.82051282 19.17948718],0
s7,1,0.137181,2.209298,[3 1] ; [12 21],[1.62162162 2.37837838] ; [13.37837838 19.62162162],0
p6,1,0.203665,1.615898,[2 3] ; [ 6 31],[0.95238095 4.04761905] ; [ 7.04761905 29.95238095],0
p11,1,0.22704,1.459311,[1 4] ; [18 19],[2.26190476 2.73809524] ; [16.73809524 20.26190476],0
p7,1,0.228863,1.447916,[3 2] ; [11 23],[1.79487179 3.20512821] ; [12.20512821 21.79487179],0
p3,1,0.298086,1.082735,[2 3] ; [ 7 29],[1.09756098 3.90243902] ; [ 7.90243902 28.09756098],0
s6,1,0.304839,1.052903,[3 2] ; [13 23],[1.95121951 3.04878049] ; [14.04878049 21.95121951],0
r2,1,0.305982,1.047938,[4 1] ; [19 15],[2.94871795 2.05128205] ; [20.05128205 13.94871795],0
d3,1,0.320305,0.987701,[4 1] ; [21 16],[2.97619048 2.02380952] ; [22.02380952 14.97619048],0
n2,1,0.331567,0.942769,[2 3] ; [14  8],[2.96296296 2.03703704] ; [13.03703704  8.96296296],0
n3,1,0.372929,0.793882,[3 2] ; [ 8 13],[2.11538462 2.88461538] ; [ 8.88461538 12.11538462],0
p1,1,0.395194,0.722902,[1 4] ; [ 3 34],[0.47619048 4.52380952] ; [ 3.52380952 33.47619048],0
v1,1,0.434618,0.61045,[1 4] ; [14 23],[1.78571429 3.21428571] ; [13.21428571 23.78571429],0
a7,1,0.438901,0.599155,[2 3] ; [21 15],[2.80487805 2.19512195] ; [20.19512195 15.80487805],0
d5,1,0.454296,0.559911,[3 2] ; [28  9],[3.69047619 1.30952381] ; [27.30952381  9.69047619],0
p8,1,0.454296,0.559911,[2 3] ; [ 9 28],[1.30952381 3.69047619] ; [ 9.69047619 27.30952381],0
a3,1,0.476538,0.506775,[4 1] ; [23 13],[3.29268293 1.70731707] ; [23.70731707 12.29268293],0
b1,1,0.554795,0.348796,[3 2] ; [17 20],[2.38095238 2.61904762] ; [17.61904762 19.38095238],0
v3,1,0.572474,0.31856,[1 4] ; [12 25],[1.54761905 3.45238095] ; [11.45238095 25.54761905],0
p9,1,0.592219,0.286892,[2 3] ; [19 17],[2.56097561 2.43902439] ; [18.43902439 17.56097561],0
p4,1,0.670648,0.180846,[2 3] ; [11 25],[1.58536585 3.41463415] ; [11.41463415 24.58536585],0
r3,1,0.676166,0.174474,[2 3] ; [17 17],[2.43589744 2.56410256] ; [16.56410256 17.43589744],0
d1,1,0.716276,0.132088,[2 3] ; [18 19],[2.38095238 2.61904762] ; [17.61904762 19.38095238],0
a6,1,0.716276,0.132088,[2 3] ; [18 19],[2.38095238 2.61904762] ; [17.61904762 19.38095238],0
a4,1,0.716276,0.132088,[2 3] ; [18 19],[2.38095238 2.61904762] ; [17.61904762 19.38095238],0
b5,1,0.80203,0.062861,[3 2] ; [20 17],[2.73809524 2.26190476] ; [20.26190476 16.73809524],0
s5,1,0.807262,0.059516,[1 4] ; [ 9 27],[1.2195122 3.7804878] ; [ 8.7804878 27.2195122],0
p10,1,0.865664,0.028618,[3 2] ; [23 13],[3.17073171 1.82926829] ; [22.82926829 13.17073171],0
n1,1,0.879193,0.023102,[2 3] ; [ 8 14],[1.85185185 3.14814815] ; [ 8.14814815 13.85185185],0
n4,1,0.925551,0.008732,[3 2] ; [23 14],[3.0952381 1.9047619] ; [22.9047619 14.0952381],0
d2,1,0.94349,0.005025,[2 3] ; [15 21],[2.07317073 2.92682927] ; [14.92682927 21.07317073],0
n5,1,0.94349,0.005025,[3 2] ; [21 15],[2.92682927 2.07317073] ; [21.07317073 14.92682927],0
v4,1,0.960173,0.002494,[3 2] ; [20 14],[2.94871795 2.05128205] ; [20.05128205 13.94871795],0
p2,1,0.961935,0.002278,[3 2] ; [22 14],[3.04878049 1.95121951] ; [21.95121951 14.04878049],0
a5,1,0.981561,0.000534,[3 2] ; [22 15],[2.97619048 2.02380952] ; [22.02380952 14.97619048],0
n6,1,1.0,0.0,[3 2] ; [21 14],[3. 2.] ; [21. 14.],0
