Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,41.156421,[54  8] ; [15 38],[37.2 24.8] ; [31.8 21.2],1
v1,1,7.6e-05,15.651437,[34 28] ; [10 43],[23.72173913 38.27826087] ; [20.27826087 32.72173913],1
p11,1,9e-05,15.341991,[51 12] ; [25 29],[40.92307692 22.07692308] ; [35.07692308 18.92307692],1
n5,1,0.000105,15.046982,[51 11] ; [26 28],[41.15517241 20.84482759] ; [35.84482759 18.15517241],1
p4,1,0.000301,13.063957,[30 31] ; [ 9 44],[20.86842105 40.13157895] ; [18.13157895 34.86842105],1
p8,1,0.000502,12.107027,[30 33] ; [ 9 44],[21.18103448 41.81896552] ; [17.81896552 35.18103448],1
v2,1,0.001226,10.451129,[35 28] ; [13 38],[26.52631579 36.47368421] ; [21.47368421 29.52631579],0
a3,1,0.001266,10.391968,[48 15] ; [25 28],[39.64655172 23.35344828] ; [33.35344828 19.64655172],0
s8,1,0.00372,8.41549,[16 47] ; [ 3 51],[10.23076923 52.76923077] ; [ 8.76923077 45.23076923],0
p2,1,0.003917,8.321833,[47 15] ; [27 27],[39.55172414 22.44827586] ; [34.44827586 19.55172414],0
s7,1,0.008303,6.966964,[19 41] ; [ 5 43],[13.33333333 46.66666667] ; [10.66666667 37.33333333],0
a5,1,0.008473,6.930713,[41 22] ; [22 32],[33.92307692 29.07692308] ; [29.07692308 24.92307692],0
p3,1,0.010235,6.59346,[24 39] ; [ 9 45],[17.76923077 45.23076923] ; [15.23076923 38.76923077],0
n6,1,0.012033,6.306047,[49 13] ; [31 23],[42.75862069 19.24137931] ; [37.24137931 16.75862069],0
p7,1,0.012203,6.281205,[38 23] ; [21 33],[31.29565217 29.70434783] ; [27.70434783 26.29565217],0
d4,1,0.014541,5.97125,[47 16] ; [28 25],[40.73275862 22.26724138] ; [34.26724138 18.73275862],0
d5,1,0.01567,5.839572,[42 21] ; [24 30],[35.53846154 27.46153846] ; [30.46153846 23.53846154],0
r3,1,0.015872,5.817034,[53 10] ; [35 19],[47.38461538 15.61538462] ; [40.61538462 13.38461538],0
n4,1,0.018172,5.579475,[47 16] ; [29 25],[40.92307692 22.07692308] ; [35.07692308 18.92307692],0
n3,1,0.02557,4.984857,[16  3] ; [13 12],[12.52272727  6.47727273] ; [16.47727273  8.52272727],0
u3,1,0.052794,3.750435,[8 7] ; [ 7 22],[5.11363636 9.88636364] ; [ 9.88636364 19.11363636],0
s5,1,0.053272,3.735374,[12 48] ; [ 4 50],[ 8.42105263 51.57894737] ; [ 7.57894737 46.42105263],0
v4,1,0.069774,3.28832,[53  9] ; [38 15],[49.06086957 12.93913043] ; [41.93913043 11.06086957],0
b1,1,0.086361,2.94093,[25 38] ; [30 24],[29.61538462 33.38461538] ; [25.38461538 28.61538462],0
d1,1,0.090062,2.873265,[27 36] ; [15 39],[22.61538462 40.38461538] ; [19.38461538 34.61538462],0
s2,1,0.096964,2.754775,[13 50] ; [ 5 48],[ 9.77586207 53.22413793] ; [ 8.22413793 44.77586207],0
r4,1,0.106806,2.60086,[43 20] ; [29 25],[38.76923077 24.23076923] ; [33.23076923 20.76923077],0
b3,1,0.121304,2.400401,[23 21] ; [11 21],[19.68421053 24.31578947] ; [14.31578947 17.68421053],0
b2,1,0.121304,2.400401,[23 21] ; [11 21],[19.68421053 24.31578947] ; [14.31578947 17.68421053],0
v3,1,0.129679,2.296345,[20 42] ; [10 41],[16.46017699 45.53982301] ; [13.53982301 37.46017699],0
r2,1,0.187183,1.739654,[52  9] ; [40 13],[49.22807018 11.77192982] ; [42.77192982 10.22807018],0
r1,1,0.19547,1.675898,[39 24] ; [27 27],[35.53846154 27.46153846] ; [30.46153846 23.53846154],0
p1,1,0.213697,1.546199,[ 6 57] ; [ 2 52],[ 4.30769231 58.69230769] ; [ 3.69230769 50.30769231],0
p6,1,0.27257,1.203768,[12 50] ; [ 6 45],[ 9.87610619 52.12389381] ; [ 8.12389381 42.87610619],0
u2,1,0.376667,0.781553,[8 7] ; [11 17],[6.62790698 8.37209302] ; [12.37209302 15.62790698],0
a4,1,0.419083,0.652884,[26 37] ; [18 35],[23.89655172 39.10344828] ; [20.10344828 32.89655172],0
a6,1,0.486404,0.484472,[24 39] ; [24 30],[25.84615385 37.15384615] ; [22.15384615 31.84615385],0
