Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.006459,7.417582,[ 6 12] ; [8 1],[9.33333333 8.66666667] ; [4.66666667 4.33333333],0
s4,1,0.0109,6.481476,[ 7 36] ; [7 7],[10.56140351 32.43859649] ; [ 3.43859649 10.56140351],0
p7,1,0.033224,4.534186,[15 27] ; [9 4],[18.32727273 23.67272727] ; [5.67272727 7.32727273],0
s8,1,0.039537,4.237623,[ 7 36] ; [6 8],[ 9.80701754 33.19298246] ; [ 3.19298246 10.80701754],0
p8,1,0.049925,3.843984,[ 7 34] ; [6 8],[ 9.69090909 31.30909091] ; [ 3.30909091 10.69090909],0
r3,1,0.051491,3.792228,[21 22] ; [11  3],[24.14035088 18.85964912] ; [7.85964912 6.14035088],0
n4,1,0.051491,3.792228,[22 21] ; [ 3 11],[18.85964912 24.14035088] ; [6.14035088 7.85964912],0
b5,1,0.104854,2.630122,[20 23] ; [10  4],[22.63157895 20.36842105] ; [7.36842105 6.63157895],0
p11,1,0.106322,2.60805,[17 26] ; [9 5],[19.61403509 23.38596491] ; [6.38596491 7.61403509],0
s5,1,0.123794,2.368648,[ 6 37] ; [4 8],[ 7.81818182 35.18181818] ; [2.18181818 9.81818182],0
p2,1,0.14047,2.172807,[21 22] ; [10  4],[23.38596491 19.61403509] ; [7.61403509 6.38596491],0
a3,1,0.144403,2.130399,[25 18] ; [5 9],[22.63157895 20.36842105] ; [7.36842105 6.63157895],0
r4,1,0.156293,2.009734,[10 33] ; [6 8],[12.07017544 30.92982456] ; [ 3.92982456 10.07017544],0
s7,1,0.173477,1.852638,[11 31] ; [6 7],[12.98181818 29.01818182] ; [4.01818182 8.98181818],0
d5,1,0.184425,1.761603,[22 21] ; [10  4],[24.14035088 18.85964912] ; [7.85964912 6.14035088],0
v2,1,0.189005,1.725353,[10 31] ; [6 8],[11.92727273 29.07272727] ; [4.07272727 9.92727273],0
v4,1,0.197703,1.659259,[25 17] ; [11  3],[27. 15.] ; [9. 5.],0
b2,1,0.230549,1.437471,[ 8 21] ; [4 4],[ 9.40540541 19.59459459] ; [2.59459459 5.40540541],0
b3,1,0.230549,1.437471,[ 8 21] ; [4 4],[ 9.40540541 19.59459459] ; [2.59459459 5.40540541],0
p3,1,0.264349,1.245839,[ 9 34] ; [5 9],[10.56140351 32.43859649] ; [ 3.43859649 10.56140351],0
p4,1,0.38412,0.757475,[13 30] ; [6 8],[14.33333333 28.66666667] ; [4.66666667 9.33333333],0
s2,1,0.38412,0.757475,[13 30] ; [6 8],[14.33333333 28.66666667] ; [4.66666667 9.33333333],0
u1,1,0.394866,0.723905,[ 1 42] ; [ 1 13],[ 1.50877193 41.49122807] ; [ 0.49122807 13.50877193],0
n5,1,0.399051,0.711185,[24 19] ; [6 8],[22.63157895 20.36842105] ; [7.36842105 6.63157895],0
p5,1,0.405703,0.691358,[ 1 41] ; [ 1 13],[ 1.5 40.5] ; [ 0.5 13.5],0
v3,1,0.422539,0.643242,[ 7 35] ; [ 1 12],[ 6.10909091 35.89090909] ; [ 1.89090909 11.10909091],0
n3,1,0.431847,0.617851,[10  6] ; [7 2],[10.88  5.12] ; [6.12 2.88],0
n2,1,0.431847,0.617851,[10  6] ; [7 2],[10.88  5.12] ; [6.12 2.88],0
n1,1,0.469064,0.524179,[7 8] ; [5 3],[7.82608696 7.17391304] ; [4.17391304 3.82608696],0
a5,1,0.479477,0.500052,[20 23] ; [5 9],[18.85964912 24.14035088] ; [6.14035088 7.85964912],0
d4,1,0.577097,0.310952,[24 19] ; [9 5],[24.89473684 18.10526316] ; [8.10526316 5.89473684],0
d2,1,0.577097,0.310952,[19 24] ; [5 9],[18.10526316 24.89473684] ; [5.89473684 8.10526316],0
d1,1,0.579166,0.307585,[12 31] ; [5 9],[12.8245614 30.1754386] ; [4.1754386 9.8245614],0
u3,1,0.585957,0.296703,[ 8 10] ; [5 4],[8.66666667 9.33333333] ; [4.33333333 4.66666667],0
s3,1,0.641509,0.216774,[18 24] ; [7 7],[18.75 23.25] ; [6.25 7.75],0
r2,1,0.660549,0.192857,[26 14] ; [10  4],[26.66666667 13.33333333] ; [9.33333333 4.66666667],0
v1,1,0.701105,0.147325,[14 27] ; [ 4 10],[13.41818182 27.58181818] ; [4.58181818 9.41818182],0
s6,1,0.706153,0.14215,[16 27] ; [6 8],[16.59649123 26.40350877] ; [5.40350877 8.59649123],0
d3,1,0.714757,0.133572,[19 24] ; [5 8],[18.42857143 24.57142857] ; [5.57142857 7.42857143],0
p9,1,0.752044,0.099822,[25 17] ; [9 5],[25.5 16.5] ; [8.5 5.5],0
p1,1,0.792425,0.069255,[ 5 38] ; [ 2 12],[ 5.28070175 37.71929825] ; [ 1.71929825 12.28070175],0
b4,1,0.820387,0.05155,[20 23] ; [7 7],[20.36842105 22.63157895] ; [6.63157895 7.36842105],0
a8,1,0.85842,0.031822,[ 4 39] ; [ 1 12],[ 3.83928571 39.16071429] ; [ 1.16071429 11.83928571],0
p10,1,0.877293,0.02384,[20 22] ; [7 7],[20.25 21.75] ; [6.75 7.25],0
a4,1,0.906067,0.013924,[13 30] ; [ 4 10],[12.8245614 30.1754386] ; [4.1754386 9.8245614],0
b1,1,0.919772,0.010145,[27 16] ; [9 5],[27.15789474 15.84210526] ; [8.84210526 5.15789474],0
a6,1,0.930645,0.007575,[24 19] ; [8 6],[24.14035088 18.85964912] ; [7.85964912 6.14035088],0
a7,1,0.939746,0.005714,[22 21] ; [7 7],[21.87719298 21.12280702] ; [7.12280702 6.87719298],0
