Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,2.2e-05,18.025005,[107  80] ; [27 63],[90.46209386 96.53790614] ; [43.53790614 46.46209386],1
r3,1,0.000118,14.823451,[189   5] ; [76 13],[181.66077739  12.33922261] ; [83.33922261  5.66077739],1
p6,1,0.000124,14.726645,[ 81 109] ; [17 72],[ 66.73835125 123.26164875] ; [31.26164875 57.73835125],1
d1,1,0.002291,9.300501,[120  75] ; [38 52],[108.10526316  86.89473684] ; [49.89473684 40.10526316],0
d4,1,0.003615,8.467589,[162  33] ; [61 29],[152.57894737  42.42105263] ; [70.42105263 19.57894737],0
d3,1,0.003729,8.411341,[144  51] ; [51 39],[133.42105263  61.57894737] ; [61.57894737 28.42105263],0
s4,1,0.012503,6.238166,[ 14 181] ; [15 74],[ 19.91197183 175.08802817] ; [ 9.08802817 79.91197183],0
d5,1,0.021896,5.254023,[160  35] ; [63 27],[152.57894737  42.42105263] ; [70.42105263 19.57894737],0
v4,1,0.039501,4.239207,[185   9] ; [79 10],[180.97526502  13.02473498] ; [83.02473498  5.97526502],0
p11,1,0.04281,4.102884,[163  32] ; [66 24],[156.68421053  38.31578947] ; [72.31578947 17.68421053],0
r4,1,0.043859,4.061997,[175  20] ; [73 17],[169.68421053  25.31578947] ; [78.31578947 11.68421053],0
p2,1,0.050773,3.815737,[170  24] ; [70 19],[164.5229682  29.4770318] ; [75.4770318 13.5229682],0
p9,1,0.078893,3.087556,[165  27] ; [69 20],[159.886121  32.113879] ; [74.113879 14.886121],0
b1,1,0.084509,2.975988,[ 68 127] ; [41 49],[ 74.57894737 120.42105263] ; [34.42105263 55.57894737],0
s1,1,0.094279,2.799748,[  5 188] ; [ 6 83],[  7.52836879 185.47163121] ; [ 3.47163121 85.52836879],0
a4,1,0.098075,2.736576,[ 91 103] ; [32 56],[ 84.61702128 109.38297872] ; [38.38297872 49.61702128],0
d2,1,0.103437,2.651728,[96 99] ; [35 55],[ 89.63157895 105.36842105] ; [41.36842105 48.63157895],0
a6,1,0.105028,2.627485,[140  55] ; [56 34],[134.10526316  60.89473684] ; [61.89473684 28.10526316],0
a2,1,0.111565,2.531911,[ 49 146] ; [15 75],[ 43.78947368 151.21052632] ; [20.21052632 69.78947368],0
p3,1,0.136134,2.221126,[103  90] ; [39 50],[97.18439716 95.81560284] ; [44.81560284 44.18439716],0
p10,1,0.148327,2.08937,[156  35] ; [66 23],[151.43571429  39.56428571] ; [70.56428571 18.43571429],0
p12,1,0.159965,1.974554,[ 15 178] ; [ 3 86],[ 12.31914894 180.68085106] ; [ 5.68085106 83.31914894],0
r1,1,0.183778,1.766808,[162  33] ; [68 21],[157.92253521  37.07746479] ; [72.07746479 16.92253521],0
a7,1,0.186226,1.747222,[148  46] ; [62 28],[143.45070423  50.54929577] ; [66.54929577 23.45070423],0
s8,1,0.189364,1.722557,[ 76 118] ; [28 62],[ 71.04225352 122.95774648] ; [32.95774648 57.04225352],0
p4,1,0.207353,1.589813,[123  71] ; [50 40],[118.17605634  75.82394366] ; [54.82394366 35.17605634],0
p7,1,0.215839,1.53182,[126  64] ; [51 36],[121.40794224  68.59205776] ; [55.59205776 31.40794224],0
n6,1,0.263234,1.251671,[164  31] ; [70 19],[160.66901408  34.33098592] ; [73.33098592 15.66901408],0
s6,1,0.274917,1.192047,[121  73] ; [50 40],[116.80985915  77.19014085] ; [54.19014085 35.80985915],0
s7,1,0.312178,1.021438,[ 84 102] ; [32 51],[ 80.20817844 105.79182156] ; [35.79182156 47.20817844],0
u1,1,0.329085,0.952496,[ 35 160] ; [12 78],[ 32.15789474 162.84210526] ; [14.84210526 75.15789474],0
n1,1,0.346317,0.886906,[12 23] ; [ 9 10],[13.61111111 21.38888889] ; [ 7.38888889 11.61111111],0
p8,1,0.358087,0.844591,[103  87] ; [43 46],[99.4265233 90.5734767] ; [46.5734767 42.4265233],0
b5,1,0.364978,0.820693,[132  63] ; [56 34],[128.63157895  66.36842105] ; [59.36842105 30.63157895],0
u3,1,0.383512,0.759415,[30 26] ; [19 11],[31.90697674 24.09302326] ; [17.09302326 12.90697674],0
a5,1,0.387308,0.747378,[146  49] ; [63 27],[143.  52.] ; [66. 24.],0
b4,1,0.422852,0.642376,[116  79] ; [49 41],[112.89473684  82.10526316] ; [52.10526316 37.89473684],0
n4,1,0.517936,0.418,[154  41] ; [68 22],[151.89473684  43.10526316] ; [70.10526316 19.89473684],0
a1,1,0.584742,0.298632,[  8 187] ; [ 5 85],[  8.89473684 186.10526316] ; [ 4.10526316 85.89473684],0
a3,1,0.597207,0.279229,[139  56] ; [60 28],[137.12014134  57.87985866] ; [61.87985866 26.12014134],0
s2,1,0.619362,0.246765,[ 72 120] ; [31 59],[ 70.12765957 121.87234043] ; [32.87234043 57.12765957],0
u4,1,0.684698,0.164885,[  6 189] ; [ 2 88],[  5.47368421 189.52631579] ; [ 2.52631579 87.47368421],0
n2,1,0.694373,0.154393,[24 11] ; [14  5],[24.62962963 10.37037037] ; [13.37037037  5.62962963],0
s3,1,0.725051,0.123704,[ 82 110] ; [40 49],[ 83.3594306 108.6405694] ; [38.6405694 50.3594306],0
a8,1,0.74052,0.10967,[ 24 147] ; [10 70],[ 23.16334661 147.83665339] ; [10.83665339 69.16334661],0
u2,1,0.78829,0.07211,[31 24] ; [16 14],[30.41176471 24.58823529] ; [16.58823529 13.41176471],0
