Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,90.576542,[155  87] ; [ 4 83],[116.95440729 125.04559271] ; [42.04559271 44.95440729],1
d5,1,0.0,74.04752,[203  39] ; [30 56],[171.90853659  70.09146341] ; [61.09146341 24.90853659],1
d3,1,0.0,61.778708,[177  65] ; [21 64],[146.53211009  95.46788991] ; [51.46788991 33.53211009],1
r1,1,0.0,25.490227,[181  60] ; [39 47],[162.14067278  78.85932722] ; [57.85932722 28.14067278],1
a3,1,9e-06,19.658006,[175  65] ; [40 46],[158.28220859  81.71779141] ; [56.71779141 29.28220859],1
a5,1,0.0001,15.127351,[168  74] ; [40 47],[152.99696049  89.00303951] ; [55.00303951 31.99696049],1
d2,1,0.000115,14.871411,[118 122] ; [22 65],[102.75229358 137.24770642] ; [37.24770642 49.75229358],1
r3,1,0.000438,12.361924,[217  25] ; [63 22],[207.21712538  34.78287462] ; [72.78287462 12.21712538],1
a6,1,0.000852,11.124001,[168  74] ; [43 44],[155.20364742  86.79635258] ; [55.79635258 31.20364742],1
a7,1,0.001219,10.460567,[172  70] ; [44 41],[159.85321101  82.14678899] ; [56.14678899 28.85321101],0
a4,1,0.00176,9.784383,[107 134] ; [22 65],[ 94.78353659 146.21646341] ; [34.21646341 52.78353659],0
v2,1,0.00184,9.702499,[123 113] ; [26 55],[110.92744479 125.07255521] ; [38.07255521 42.92744479],0
r4,1,0.002871,8.887388,[192  50] ; [55 32],[181.68389058  60.31610942] ; [65.31610942 21.68389058],0
u1,1,0.003266,8.652682,[ 33 209] ; [ 2 85],[ 25.74468085 216.25531915] ; [ 9.25531915 77.74468085],0
p10,1,0.003935,8.31367,[166  74] ; [44 41],[155.07692308  84.92307692] ; [54.92307692 30.07692308],0
a2,1,0.004204,8.193505,[ 49 193] ; [ 6 81],[ 40.45592705 201.54407295] ; [14.54407295 72.45592705],0
p9,1,0.004586,8.035791,[173  65] ; [47 37],[162.60869565  75.39130435] ; [57.39130435 26.60869565],0
b4,1,0.013197,6.142574,[143  99] ; [38 49],[133.13677812 108.86322188] ; [47.86322188 39.13677812],0
r2,1,0.022257,5.225564,[212  24] ; [69 17],[205.95031056  30.04968944] ; [75.04968944 10.95031056],0
p11,1,0.024626,5.050028,[176  66] ; [52 35],[167.70820669  74.29179331] ; [60.29179331 26.70820669],0
p1,1,0.026033,4.953816,[ 13 228] ; [11 76],[ 17.63414634 223.36585366] ; [ 6.36585366 80.63414634],0
u2,1,0.045588,3.996735,[35 31] ; [16 31],[29.78761062 36.21238938] ; [21.21238938 25.78761062],0
