Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.038142,4.298684,[2 6] ; [13  6],[4.44444444 3.55555556] ; [10.55555556  8.44444444],0
r1,1,0.052634,3.755495,[1 7] ; [10  9],[3.25925926 4.74074074] ; [ 7.74074074 11.25925926],0
d5,1,0.06999,3.283256,[2 6] ; [12  7],[4.14814815 3.85185185] ; [9.85185185 9.14814815],0
s1,1,0.136198,2.220395,[2 6] ; [ 1 18],[0.88888889 7.11111111] ; [ 2.11111111 16.88888889],0
p2,1,0.187039,1.740789,[6 2] ; [ 9 10],[4.44444444 3.55555556] ; [10.55555556  8.44444444],0
r2,1,0.187039,1.740789,[6 2] ; [ 9 10],[4.44444444 3.55555556] ; [10.55555556  8.44444444],0
s7,1,0.204008,1.613445,[1 7] ; [ 6 10],[2.33333333 5.66666667] ; [ 4.66666667 11.33333333],0
n3,1,0.204894,1.607143,[4 2] ; [3 6],[2.8 3.2] ; [4.2 4.8],0
n5,1,0.22052,1.500987,[5 3] ; [ 7 12],[3.55555556 4.44444444] ; [ 8.44444444 10.55555556],0
p8,1,0.234657,1.412406,[4 3] ; [ 6 13],[2.69230769 4.30769231] ; [ 7.30769231 11.69230769],0
b3,1,0.261651,1.26,[2 2] ; [2 8],[1.14285714 2.85714286] ; [2.85714286 7.14285714],0
b2,1,0.261651,1.26,[2 2] ; [2 8],[1.14285714 2.85714286] ; [2.85714286 7.14285714],0
n1,1,0.263552,1.25,[3 3] ; [2 7],[2. 4.] ; [3. 6.],0
a5,1,0.280077,1.166717,[2 6] ; [ 9 10],[3.25925926 4.74074074] ; [ 7.74074074 11.25925926],0
n6,1,0.280077,1.166717,[2 6] ; [ 9 10],[3.25925926 4.74074074] ; [ 7.74074074 11.25925926],0
a4,1,0.301611,1.067058,[1 7] ; [ 6 13],[2.07407407 5.92592593] ; [ 4.92592593 14.07407407],0
b5,1,0.33281,0.937934,[3 5] ; [11  8],[4.14814815 3.85185185] ; [9.85185185 9.14814815],0
b4,1,0.33281,0.937934,[3 5] ; [11  8],[4.14814815 3.85185185] ; [9.85185185 9.14814815],0
p6,1,0.333697,0.934497,[2 6] ; [ 2 17],[1.18518519 6.81481481] ; [ 2.81481481 16.18518519],0
a3,1,0.365416,0.819195,[4 4] ; [13  6],[5.03703704 2.96296296] ; [11.96296296  7.03703704],0
v3,1,0.430412,0.621711,[1 7] ; [ 5 14],[1.77777778 6.22222222] ; [ 4.22222222 14.77777778],0
p5,1,0.443789,0.586466,[1 6] ; [ 1 18],[0.53846154 6.46153846] ; [ 1.46153846 17.53846154],0
p10,1,0.472423,0.516303,[5 3] ; [ 9 10],[4.14814815 3.85185185] ; [9.85185185 9.14814815],0
a7,1,0.472423,0.516303,[3 5] ; [10  9],[3.85185185 4.14814815] ; [9.14814815 9.85185185],0
p1,1,0.512054,0.429868,[1 7] ; [ 1 18],[0.59259259 7.40740741] ; [ 1.40740741 17.59259259],0
s3,1,0.573714,0.316507,[2 6] ; [ 3 16],[1.48148148 6.51851852] ; [ 3.51851852 15.48148148],0
s4,1,0.573714,0.316507,[2 6] ; [ 3 16],[1.48148148 6.51851852] ; [ 3.51851852 15.48148148],0
v2,1,0.573714,0.316507,[2 6] ; [ 3 16],[1.48148148 6.51851852] ; [ 3.51851852 15.48148148],0
p7,1,0.596613,0.280135,[4 4] ; [ 7 11],[3.38461538 4.61538462] ; [ 7.61538462 10.38461538],0
u3,1,0.746886,0.104167,[3 1] ; [5 1],[3.2 0.8] ; [4.8 1.2],0
b1,1,0.765688,0.088816,[5 3] ; [13  6],[5.33333333 2.66666667] ; [12.66666667  6.33333333],0
v4,1,0.765688,0.088816,[5 3] ; [13  6],[5.33333333 2.66666667] ; [12.66666667  6.33333333],0
d2,1,0.82176,0.050752,[2 6] ; [ 4 15],[1.77777778 6.22222222] ; [ 4.22222222 14.77777778],0
n2,1,0.832662,0.044643,[3 3] ; [5 4],[3.2 2.8] ; [4.8 4.2],0
s2,1,0.881546,0.022204,[1 7] ; [ 2 17],[0.88888889 7.11111111] ; [ 2.11111111 16.88888889],0
p4,1,0.974213,0.001045,[3 5] ; [ 7 12],[2.96296296 5.03703704] ; [ 7.03703704 11.96296296],0
v1,1,0.974213,0.001045,[3 5] ; [ 7 12],[2.96296296 5.03703704] ; [ 7.03703704 11.96296296],0
p11,1,0.974213,0.001045,[3 5] ; [ 7 12],[2.96296296 5.03703704] ; [ 7.03703704 11.96296296],0
u2,1,1.0,0.0,[2 2] ; [3 3],[2. 2.] ; [3. 3.],0
p9,1,1.0,0.0,[4 4] ; [9 9],[4. 4.] ; [9. 9.],0
