Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,118.927357,[249  50] ; [ 46 101],[197.7690583 101.2309417] ; [97.2309417 49.7690583],1
n6,1,1e-06,24.355158,[259  42] ; [97 50],[239.1875  61.8125] ; [116.8125  30.1875],1
p11,1,4.3e-05,16.727659,[250  52] ; [97 51],[232.87555556  69.12444444] ; [114.12444444  33.87555556],1
a5,1,0.000141,14.48211,[216  86] ; [79 69],[197.97777778 104.02222222] ; [97.02222222 50.97777778],1
p4,1,0.000144,14.453171,[164 133] ; [53 94],[145.15540541 151.84459459] ; [71.84459459 75.15540541],1
a4,1,0.00018,14.025262,[134 166] ; [ 39 109],[115.84821429 184.15178571] ; [57.15178571 90.84821429],1
v1,1,0.000406,12.502503,[159 135] ; [52 92],[141.63013699 152.36986301] ; [69.36986301 74.63013699],1
p3,1,0.000456,12.288407,[135 164] ; [ 41 106],[117.99103139 181.00896861] ; [58.00896861 88.99103139],1
p10,1,0.000462,12.262012,[235  61] ; [94 53],[219.82844244  76.17155756] ; [109.17155756  37.82844244],1
a8,1,0.000517,12.053217,[ 38 238] ; [  4 135],[ 27.93253012 248.06746988] ; [ 14.06746988 124.93253012],1
r4,1,0.000625,11.699259,[278  24] ; [120  28],[267.10222222  34.89777778] ; [130.89777778  17.10222222],1
d2,1,0.000911,10.999497,[140 159] ; [ 45 103],[123.74720358 175.25279642] ; [61.25279642 86.74720358],1
a2,1,0.001576,9.987174,[ 65 237] ; [ 14 134],[ 53.01777778 248.98222222] ; [ 25.98222222 122.01777778],0
v3,1,0.003868,8.344621,[104 184] ; [ 32 111],[ 90.87703016 197.12296984] ; [45.12296984 97.87703016],0
r1,1,0.005708,7.640129,[238  62] ; [99 48],[226.17449664  73.82550336] ; [110.82550336  36.17449664],0
u1,1,0.011372,6.406263,[ 40 262] ; [  8 140],[ 32.21333333 269.78666667] ; [ 15.78666667 132.21333333],0
p1,1,0.014403,5.988068,[ 27 274] ; [  4 143],[ 20.828125 280.171875] ; [ 10.171875 136.828125],0
r2,1,0.017954,5.600662,[285  13] ; [133  15],[279.29147982  18.70852018] ; [138.70852018   9.29147982],0
p2,1,0.02046,5.372204,[246  53] ; [107  40],[236.65246637  62.34753363] ; [116.34753363  30.65246637],0
p7,1,0.023919,5.100509,[177 118] ; [70 74],[165.97949886 129.02050114] ; [81.02050114 62.97949886],0
p8,1,0.026563,4.918986,[148 146] ; [58 90],[137.02262443 156.97737557] ; [68.97737557 79.02262443],0
d1,1,0.027722,4.845297,[168 134] ; [66 82],[157.04 144.96] ; [76.96 71.04],0
s1,1,0.033076,4.541828,[  3 291] ; [  6 142],[  5.98642534 288.01357466] ; [  3.01357466 144.98642534],0
n3,1,0.033582,4.515874,[47  9] ; [38 19],[42.12389381 13.87610619] ; [42.87610619 14.12389381],0
d5,1,0.038872,4.26645,[242  60] ; [105  42],[233.39420935  68.60579065] ; [113.60579065  33.39420935],0
p9,1,0.039241,4.250421,[239  57] ; [106  41],[230.51918736  65.48081264] ; [114.48081264  32.51918736],0
p6,1,0.039988,4.218373,[ 86 209] ; [ 29 116],[ 77.10227273 217.89772727] ; [ 37.89772727 107.10227273],0
b2,1,0.040828,4.183155,[ 63 109] ; [15 51],[ 56.3697479 115.6302521] ; [21.6302521 44.3697479],0
b3,1,0.040828,4.183155,[ 63 109] ; [15 51],[ 56.3697479 115.6302521] ; [21.6302521 44.3697479],0
s8,1,0.044465,4.038801,[ 65 237] ; [ 20 127],[ 57.1714922 244.8285078] ; [ 27.8285078 119.1714922],0
a6,1,0.044702,4.029843,[216  86] ; [92 56],[206.70222222  95.29777778] ; [101.29777778  46.70222222],0
n1,1,0.046823,3.951737,[21 34] ; [12 45],[16.20535714 38.79464286] ; [16.79464286 40.20535714],0
a3,1,0.048524,3.891735,[191 110] ; [79 68],[181.40625 119.59375] ; [88.59375 58.40625],0
a7,1,0.088738,2.897119,[225  75] ; [99 48],[217.44966443  82.55033557] ; [106.55033557  40.44966443],0
s4,1,0.124801,2.35601,[ 36 259] ; [ 26 122],[ 41.28668172 253.71331828] ; [ 20.71331828 127.28668172],0
b4,1,0.185442,1.75346,[187 115] ; [82 66],[180.52888889 121.47111111] ; [88.47111111 59.52888889],0
s6,1,0.188579,1.728685,[155 140] ; [67 79],[148.50340136 146.49659864] ; [73.49659864 72.50340136],0
u3,1,0.22359,1.481183,[57 53] ; [41 26],[60.9039548 49.0960452] ; [37.0960452 29.9039548],0
p12,1,0.234145,1.4155,[ 18 281] ; [  5 143],[ 15.38478747 283.61521253] ; [  7.61521253 140.38478747],0
b1,1,0.306403,1.046117,[117 185] ; [50 98],[112.07555556 189.92444444] ; [54.92444444 93.07555556],0
v2,1,0.372718,0.794582,[147 135] ; [68 75],[142.65882353 139.34117647] ; [72.34117647 70.65882353],0
s2,1,0.380226,0.76997,[ 83 214] ; [ 47 100],[ 86.95945946 210.04054054] ; [ 43.04054054 103.95945946],0
p5,1,0.4132,0.669576,[ 20 279] ; [  7 141],[ 18.06040268 280.93959732] ; [  8.93959732 139.06040268],0
n2,1,0.455629,0.556611,[44 14] ; [39 17],[42.22807018 15.77192982] ; [40.77192982 15.22807018],0
