Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.006755,7.336898,[ 5 12] ; [9 2],[8.5 8.5] ; [5.5 5.5],0
p10,1,0.024841,5.034965,[20 10] ; [ 6 12],[16.25 13.75] ; [9.75 8.25],0
p9,1,0.027629,4.851097,[22  9] ; [ 7 11],[18.34693878 12.65306122] ; [10.65306122  7.34693878],0
p1,1,0.039723,4.229689,[ 2 29] ; [ 5 13],[ 4.42857143 26.57142857] ; [ 2.57142857 15.42857143],0
a7,1,0.049124,3.871117,[21 10] ; [ 7 11],[17.71428571 13.28571429] ; [10.28571429  7.71428571],0
p2,1,0.074091,3.189968,[26  5] ; [11  7],[23.40816327  7.59183673] ; [13.59183673  4.40816327],0
p7,1,0.082088,3.023065,[20 11] ; [ 7 11],[17.08163265 13.91836735] ; [9.91836735 8.08163265],0
b1,1,0.145241,2.121533,[11 21] ; [10  8],[13.44 18.56] ; [ 7.56 10.44],0
v1,1,0.179852,1.798849,[ 8 23] ; [ 8 10],[10.12244898 20.87755102] ; [ 5.87755102 12.12244898],0
r1,1,0.185804,1.750579,[17 15] ; [13  5],[19.2 12.8] ; [10.8  7.2],0
v2,1,0.231427,1.43207,[13 19] ; [ 4 13],[11.10204082 20.89795918] ; [ 5.89795918 11.10204082],0
b3,1,0.231998,1.428571,[ 3 18] ; [3 6],[ 4.2 16.8] ; [1.8 7.2],0
b2,1,0.231998,1.428571,[ 3 18] ; [3 6],[ 4.2 16.8] ; [1.8 7.2],0
s2,1,0.235442,1.407679,[12 19] ; [ 4 14],[10.12244898 20.87755102] ; [ 5.87755102 12.12244898],0
v3,1,0.278484,1.174473,[ 5 26] ; [ 5 12],[ 6.45833333 24.54166667] ; [ 3.54166667 13.45833333],0
s5,1,0.3046,1.053944,[ 5 26] ; [ 1 16],[ 3.875 27.125] ; [ 2.125 14.875],0
a6,1,0.309259,1.033839,[19 13] ; [ 8 10],[17.28 14.72] ; [9.72 8.28],0
p4,1,0.351732,0.8672,[15 17] ; [ 6 12],[13.44 18.56] ; [ 7.56 10.44],0
s7,1,0.416871,0.659119,[ 9 23] ; [ 3 14],[ 7.83673469 24.16326531] ; [ 4.16326531 12.83673469],0
a8,1,0.426006,0.633688,[ 4 26] ; [ 1 16],[ 3.19148936 26.80851064] ; [ 1.80851064 15.19148936],0
p6,1,0.49474,0.4662,[ 8 24] ; [ 3 15],[ 7.04 24.96] ; [ 3.96 14.04],0
s8,1,0.494963,0.465719,[10 22] ; [ 4 14],[ 8.96 23.04] ; [ 5.04 12.96],0
v4,1,0.524146,0.405727,[29  2] ; [15  2],[28.41666667  2.58333333] ; [15.58333333  1.41666667],0
n4,1,0.584156,0.299564,[10 22] ; [ 7 11],[10.88 21.12] ; [ 6.12 11.88],0
a3,1,0.585024,0.298183,[15 17] ; [ 7 11],[14.08 17.92] ; [ 7.92 10.08],0
b5,1,0.610138,0.259975,[19 13] ; [12  6],[19.84 12.16] ; [11.16  6.84],0
a4,1,0.658827,0.194952,[ 5 27] ; [ 2 16],[ 4.48 27.52] ; [ 2.52 15.48],0
b4,1,0.705857,0.14245,[16 16] ; [10  8],[16.64 15.36] ; [9.36 8.64],0
p3,1,0.797046,0.066138,[10 22] ; [ 5 13],[ 9.6 22.4] ; [ 5.4 12.6],0
u2,1,0.823218,0.049911,[ 7 10] ; [5 6],[7.28571429 9.71428571] ; [4.71428571 6.28571429],0
r4,1,0.825283,0.048733,[24  8] ; [14  4],[24.32  7.68] ; [13.68  4.32],0
s6,1,0.834309,0.043755,[13 18] ; [ 7 11],[12.65306122 18.34693878] ; [ 7.34693878 10.65306122],0
r3,1,0.844283,0.03858,[29  3] ; [16  2],[28.8  3.2] ; [16.2  1.8],0
s4,1,0.853972,0.033875,[ 6 26] ; [ 3 15],[ 5.76 26.24] ; [ 3.24 14.76],0
s3,1,0.864154,0.029271,[13 18] ; [ 8 10],[13.28571429 17.71428571] ; [ 7.71428571 10.28571429],0
p8,1,0.868533,0.027398,[15 17] ; [ 8 10],[14.72 17.28] ; [8.28 9.72],0
d5,1,0.878822,0.023245,[11 20] ; [ 6 12],[10.75510204 20.24489796] ; [ 6.24489796 11.75510204],0
r2,1,0.88466,0.021044,[28  4] ; [16  2],[28.16  3.84] ; [15.84  2.16],0
d2,1,0.923171,0.009301,[ 5 27] ; [ 3 15],[ 5.12 26.88] ; [ 2.88 15.12],0
d3,1,0.938323,0.005987,[10 21] ; [ 6 12],[10.12244898 20.87755102] ; [ 5.87755102 12.12244898],0
p11,1,0.940505,0.00557,[21 11] ; [12  6],[21.12 10.88] ; [11.88  6.12],0
n2,1,0.95218,0.003596,[8 3] ; [5 2],[7.94444444 3.05555556] ; [5.05555556 1.94444444],0
n1,1,0.95218,0.003596,[3 8] ; [2 5],[3.05555556 7.94444444] ; [1.94444444 5.05555556],0
a5,1,0.962128,0.002255,[14 18] ; [ 8 10],[14.08 17.92] ; [ 7.92 10.08],0
