Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,80.025035,[208  89] ; [ 37 110],[163.88513514 133.11486486] ; [81.11486486 65.88513514],1
p6,1,0.0,43.653369,[156 144] ; [ 28 118],[123.76681614 176.23318386] ; [60.23318386 85.76681614],1
p2,1,0.0,36.594666,[275  24] ; [103  44],[253.41255605  45.58744395] ; [124.58744395  22.41255605],1
p3,1,1e-06,24.522667,[192 107] ; [58 89],[167.60089686 131.39910314] ; [82.39910314 64.60089686],1
p10,1,6e-06,20.567062,[271  26] ; [110  36],[255.43340858  41.56659142] ; [125.56659142  20.43340858],1
p4,1,1.2e-05,19.234747,[227  72] ; [81 65],[206.94831461  92.05168539] ; [101.05168539  44.94831461],1
s5,1,0.002125,9.438164,[153 142] ; [51 90],[138.02752294 156.97247706] ; [65.97247706 75.02752294],0
p9,1,0.003135,8.727152,[277  22] ; [122  24],[268.09213483  30.90786517] ; [130.90786517  15.09213483],0
s8,1,0.010488,6.550144,[185 113] ; [72 74],[172.49099099 125.50900901] ; [84.50900901 61.49099099],0
d3,1,0.017799,5.615838,[230  68] ; [98 49],[219.6494382  78.3505618] ; [108.3505618  38.6494382],0
s7,1,0.020805,5.343039,[197  94] ; [80 62],[186.15935335 104.84064665] ; [90.84064665 51.15935335],0
b5,1,0.033148,4.538121,[177 123] ; [102  45],[187.24832215 112.75167785] ; [91.75167785 55.24832215],0
r3,1,0.050478,3.825502,[293   6] ; [139   8],[289.61434978   9.38565022] ; [142.38565022   4.61434978],0
p5,1,0.061671,3.491865,[ 46 253] ; [ 13 132],[ 39.73198198 259.26801802] ; [ 19.26801802 125.73198198],0
b1,1,0.088031,2.910016,[123 177] ; [48 99],[114.76510067 185.23489933] ; [56.23489933 90.76510067],0
p11,1,0.093029,2.821158,[245  55] ; [110  37],[238.25503356  61.74496644] ; [116.74496644  30.25503356],0
a8,1,0.121849,2.393397,[ 47 227] ; [ 15 118],[ 41.73955774 232.26044226] ; [ 20.26044226 112.73955774],0
d5,1,0.122091,2.390284,[264  33] ; [123  24],[258.87162162  38.12837838] ; [128.12837838  18.87162162],0
d2,1,0.140839,2.168771,[168 130] ; [93 53],[175.17567568 122.82432432] ; [85.82432432 60.17567568],0
a1,1,0.14826,2.090058,[ 23 277] ; [  6 141],[ 19.46308725 280.53691275] ; [  9.53691275 137.46308725],0
